epoch,lr,loss_original,loss_nca,loss_refine,loss_total,acc,macro_f1,bacc,probability_macro_auc,weighted_f1,test_gate_active_ratio,train_neighbor_agreement_weighted,train_neighbor_agreement_unweighted
1,0.01,3.3061938285827637,0.8954623341560364,1.1979817152023315,4.683268070220947,0.35,0.1728395061728395,0.3333333333333333,0.81541535639413,0.18148148148148147,0.0,0.6669976115226746,0.6661245226860046
2,0.01,2.8987884521484375,0.8881863355636597,1.385702133178711,4.462127685546875,0.35,0.1728395061728395,0.3333333333333333,0.5929846544528148,0.18148148148148147,0.30000001192092896,0.7103580832481384,0.7098048329353333
3,0.01,6.127223014831543,0.9754863381385803,0.9725806713104248,7.294900894165039,0.7,0.4852564102564103,0.5193452380952381,0.8398834961334961,0.6618269230769231,0.8000000715255737,0.7165657877922058,0.7160780429840088
4,0.01,5.42275857925415,0.7593275308609009,0.9442589282989502,6.518882751464844,0.65,0.5843137254901961,0.6666666666666666,0.6317504833129833,0.518235294117647,0.36666667461395264,0.7180816531181335,0.7179368138313293
5,0.01,4.882905960083008,1.015546202659607,0.9668112397193909,6.052826404571533,0.6166666666666667,0.5288515406162465,0.6086309523809524,0.6646312446725183,0.48901960784313725,0.18333333730697632,0.6965545415878296,0.6963289976119995
6,0.01,6.060019493103027,1.0924129486083984,0.9680385589599609,7.246540546417236,0.6333333333333333,0.5571428571428572,0.65625,0.7339548608711345,0.5025396825396825,0.1666666716337204,0.6929425597190857,0.6928438544273376
7,0.01,3.424198627471924,1.1949520111083984,0.9756050109863281,4.6387939453125,0.6333333333333333,0.5571428571428572,0.65625,0.736908793512567,0.5025396825396825,0.15000000596046448,0.6831974983215332,0.6830855011940002
8,0.01,5.263650894165039,1.7071468830108643,0.923839271068573,6.528919219970703,0.6166666666666667,0.5288515406162465,0.6086309523809524,0.7366816556085424,0.48901960784313725,0.13333334028720856,0.6734393835067749,0.6733271479606628
9,0.01,3.1852006912231445,1.3224525451660156,0.9168419241905212,4.366533279418945,0.6166666666666667,0.5288515406162465,0.6086309523809524,0.8132658854946592,0.48901960784313725,0.5166667103767395,0.6640970706939697,0.6640334725379944
10,0.01,2.6449429988861084,1.2161153554916382,0.860985279083252,3.7491512298583984,0.65,0.6058879392212726,0.6140873015873015,0.8512949860237596,0.5924976258309591,0.7166666984558105,0.6717482805252075,0.6717007160186768
11,0.01,3.30281925201416,1.4691134691238403,0.8296817541122437,4.426323890686035,0.7666666666666667,0.7573111573111574,0.7361111111111112,0.8579341801629538,0.7623562023562024,0.7833333611488342,0.6712576746940613,0.6712360382080078
12,0.01,2.9923830032348633,1.3474881649017334,0.7793081998825073,4.041188716888428,0.7,0.710216612655637,0.6944444444444445,0.8477923467605072,0.6995735971345727,0.7666667103767395,0.6596456170082092,0.6596189737319946
13,0.01,2.5190987586975098,1.6716500520706177,0.7599771618843079,3.61340594291687,0.7333333333333333,0.7335344394167924,0.7152777777777778,0.8424373276967616,0.730920060331825,0.7000000476837158,0.6626554131507874,0.6626393795013428
14,0.01,3.5026495456695557,1.6769288778305054,0.7417651414871216,4.579800605773926,0.7166666666666667,0.7218331419823958,0.7048611111111112,0.8478418419456156,0.7152535399923461,0.7333333492279053,0.6559177041053772,0.6559014916419983
15,0.01,3.29758882522583,2.1493070125579834,0.732356607913971,4.4598069190979,0.65,0.6794328552803129,0.6741071428571429,0.8212560282135755,0.6519964146023469,0.6666666865348816,0.6535875797271729,0.6535780429840088
16,0.01,2.4084038734436035,1.7771114110946655,0.7011105418205261,3.4649367332458496,0.75,0.7628000671478933,0.7574404761904762,0.8297144253806991,0.7444183313748531,0.6500000357627869,0.6408135294914246,0.6407992243766785
17,0.01,2.71885347366333,1.681095004081726,0.7149076461791992,3.7699801921844482,0.7666666666666667,0.794620412267471,0.7733134920634921,0.8236998304804909,0.764555052790347,0.6666666865348816,0.6382550001144409,0.6382434964179993
18,0.01,2.696780204772949,1.717866063117981,0.7248751521110535,3.765228509902954,0.7333333333333333,0.741051976346094,0.736111111111111,0.8326461001873738,0.7206971677559914,0.6333333849906921,0.631981372833252,0.631970226764679
19,0.01,2.4699769020080566,1.9463653564453125,0.7174162864685059,3.5766663551330566,0.7333333333333333,0.7587301587301587,0.7733134920634921,0.8390200001343869,0.7203174603174602,0.6500000357627869,0.6278020739555359,0.6277881264686584
20,0.01,2.3712775707244873,1.727513313293457,0.7500526905059814,3.4668328762054443,0.7,0.7237947810703229,0.720734126984127,0.8366189137120741,0.6947884416924666,0.550000011920929,0.6219969987869263,0.6219795346260071
21,0.009999830837037664,2.3548943996429443,1.5691215991973877,0.7079343199729919,3.3766531944274902,0.75,0.7641265218622335,0.7311507936507936,0.848696758779306,0.7501769607248311,0.6333333849906921,0.6201276779174805,0.6201208233833313
22,0.009999323359712722,2.43410062789917,1.7785052061080933,0.6881979703903198,3.477999687194824,0.7666666666666667,0.7758169934640522,0.7415674603174603,0.8561004585473926,0.765751633986928,0.6000000238418579,0.6205919981002808,0.6205855011940002
23,0.009998477602710573,2.3152828216552734,1.643517255783081,0.7774702906608582,3.4214565753936768,0.85,0.8783008036739379,0.8735119047619048,0.9025297619047619,0.8475889781859931,0.6166666746139526,0.6182760000228882,0.6182620525360107
24,0.009997293623837585,2.247126579284668,1.2617535591125488,0.6841331720352173,3.183610439300537,0.8,0.8422619047619048,0.8422619047619048,0.8950415903540904,0.8,0.6666666865348816,0.6231361627578735,0.6231412291526794
25,0.00999577150401714,2.143925666809082,1.3852252960205078,0.6879733204841614,3.1089439392089844,0.7833333333333333,0.8200809505157332,0.8154761904761904,0.8811813186813188,0.7765439352395874,0.550000011920929,0.6240637898445129,0.6240706443786621
26,0.009993911347284109,2.2713875770568848,1.4153108596801758,0.678774356842041,3.2332241535186768,0.8333333333333334,0.8632610939112487,0.8576388888888888,0.9201675061050061,0.8294633642930856,0.6000000238418579,0.6286912560462952,0.6287174820899963
27,0.009991713280777732,2.2498486042022705,1.2750438451766968,0.6455162763595581,3.1503734588623047,0.75,0.8043558508674788,0.8055555555555555,0.9108541921041922,0.7509228497600591,0.550000011920929,0.6354509592056274,0.6354553699493408
28,0.009989177454732934,1.9769104719161987,1.3856879472732544,0.6331433653831482,2.8871915340423584,0.75,0.8043558508674788,0.8055555555555555,0.9209242724867724,0.7509228497600591,0.5333333611488342,0.6563704609870911,0.6563661694526672
29,0.00998630404247006,2.085610866546631,1.6463030576705933,0.680314302444458,3.0951857566833496,0.7166666666666667,0.784938536818236,0.8174603174603176,0.9228766025641025,0.7105800214822772,0.6000000238418579,0.6554572582244873,0.6554368138313293
30,0.009983093240383016,1.9837732315063477,1.4828921556472778,0.6102681159973145,2.8906197547912598,0.8,0.844574780058651,0.847718253968254,0.919016458078958,0.8013196480938416,0.5333333611488342,0.6798909306526184,0.6798326969146729
31,0.009979545267925863,2.0547473430633545,1.410474181175232,0.5747207403182983,2.911562919616699,0.7666666666666667,0.7731705193504855,0.7514880952380952,0.9252486518111519,0.7460058334421663,0.25,0.6939449310302734,0.69400554895401
32,0.009975660367597807,2.034243106842041,1.3009470701217651,0.620495617389679,2.9149281978607178,0.7166666666666667,0.7672026655077503,0.7584325396825397,0.9227843915343915,0.7206866579747936,0.2666666805744171,0.6986616253852844,0.6981877088546753
33,0.009971438804926623,1.8796260356903076,1.1864585876464844,0.5412324070930481,2.6581501960754395,0.7333333333333333,0.7810816634346046,0.7797619047619048,0.9205522486772487,0.7357035121741003,0.1666666716337204,0.7069984674453735,0.7063196897506714
34,0.00996688086845051,1.848031997680664,0.9665036201477051,0.5248777270317078,2.5662105083465576,0.7333333333333333,0.780364135043938,0.7743055555555555,0.9262375356125355,0.7367563471011747,0.01666666753590107,0.7141858339309692,0.7139869928359985
35,0.009961986869698373,1.841770887374878,1.342313289642334,0.5065576434135437,2.616791248321533,0.8166666666666667,0.836299272866437,0.8154761904761904,0.9066824379324379,0.8159634519709146,0.13333334028720856,0.7286155819892883,0.7286245226860046
36,0.009956757143168527,1.7835581302642822,1.4095975160598755,0.5267963409423828,2.5922739505767822,0.7333333333333333,0.780364135043938,0.7743055555555555,0.9243074633699634,0.7367563471011747,0.03333333507180214,0.7256312966346741,0.7260687947273254
37,0.009951192046305833,1.677770733833313,1.0070775747299194,0.4379511773586273,2.3171374797821045,0.7333333333333333,0.780364135043938,0.7743055555555555,0.9174488705738706,0.7367563471011747,0.03333333507180214,0.7222683429718018,0.7223513126373291
38,0.009945291959477269,1.6524064540863037,1.0215497016906738,0.42015764117240906,2.27687406539917,0.8166666666666667,0.8541588492808004,0.8526785714285715,0.935782967032967,0.8158411507191995,0.06666667014360428,0.7349231839179993,0.7348977327346802
39,0.009939057285945933,1.6116280555725098,1.2871508598327637,0.41342654824256897,2.282484769821167,0.8,0.8463768115942029,0.8531746031746031,0.9376780626780626,0.8020289855072463,0.03333333507180214,0.7500907182693481,0.7502323389053345
40,0.009932488451843476,1.5040316581726074,1.1244691610336304,0.35164013504981995,2.0805656909942627,0.7833333333333333,0.7340538106495553,0.704861111111111,0.9222978988603989,0.7762591466846785,0.01666666753590107,0.7603626847267151,0.7602230310440063
41,0.009925585906140986,1.502327561378479,1.3237355947494507,0.3977210223674774,2.1647956371307373,0.8333333333333334,0.8704789833822092,0.8740079365079364,0.9319005647130646,0.8344330400782013,0.0,0.7949697971343994,0.7953066825866699
42,0.009918350120618293,1.4206825494766235,1.1201897859573364,0.3176672160625458,1.9623878002166748,0.8,0.8305635251448059,0.8268849206349206,0.9331565425315426,0.8021093848680055,0.0,0.7964144349098206,0.7964683771133423
43,0.009910781589831726,1.4272050857543945,0.8217169642448425,0.262734591960907,1.854283094406128,0.8166666666666667,0.8143812709030099,0.7782738095238096,0.9363425925925926,0.8147621701969529,0.05000000447034836,0.7909374237060547,0.7908921837806702
44,0.009902880831080306,1.3935149908065796,1.0855504274368286,0.3270559012889862,1.937680959701538,0.8,0.8088122605363984,0.7951388888888888,0.9405107471145207,0.8002107279693487,0.0,0.8077638745307922,0.8076208233833313
45,0.009894648384370404,1.2511119842529297,0.6401385068893433,0.23685497045516968,1.6159946918487549,0.7666666666666667,0.7758169934640522,0.7415674603174603,0.9503932257469994,0.765751633986928,0.01666666753590107,0.8013908863067627,0.8011152148246765
46,0.009886084812378817,1.3765769004821777,0.7350528240203857,0.37852242588996887,1.9021098613739014,0.8166666666666667,0.8195767195767196,0.7946428571428571,0.9425952443346312,0.8174338624338624,0.03333333507180214,0.8179326057434082,0.8180761933326721
47,0.009877190700414313,1.1956061124801636,0.9097241759300232,0.18918797373771667,1.5667389631271362,0.8166666666666667,0.841785916625546,0.8318452380952381,0.9512362637362637,0.8187638211159238,0.06666667014360428,0.8386660218238831,0.8378252983093262
48,0.00986796665637763,1.1584839820861816,0.8140549659729004,0.19008372724056244,1.5113787651062012,0.8333333333333334,0.8685515873015873,0.8685515873015873,0.9603746947496948,0.8333333333333334,0.01666666753590107,0.8481647968292236,0.848280668258667
49,0.009858413310719925,1.0860267877578735,0.8705548644065857,0.1536051481962204,1.4137428998947144,0.8166666666666667,0.8385836385836386,0.8209325396825397,0.9479580026455027,0.8174358974358974,0.01666666753590107,0.8680257201194763,0.8673326969146729
50,0.009848531316399685,1.128829002380371,0.8450843095779419,0.15186598896980286,1.449711799621582,0.8166666666666667,0.836299272866437,0.8154761904761904,0.937007147944648,0.8159634519709146,0.0,0.8866555094718933,0.8866170644760132
51,0.009838321348838096,1.0363879203796387,0.7188059687614441,0.1691204160451889,1.3492695093154907,0.8166666666666667,0.8385836385836386,0.8209325396825397,0.9452353475053948,0.8174358974358974,0.0,0.8863096237182617,0.8861523866653442
52,0.009827784105872876,1.058098316192627,0.8444839715957642,0.1578630805015564,1.3848581314086914,0.8166666666666667,0.8385836385836386,0.8209325396825397,0.9538395904846376,0.8174358974358974,0.0,0.893826961517334,0.8935873508453369
53,0.009816920307710586,1.1277103424072266,0.666189432144165,0.12723179161548615,1.3881800174713135,0.8333333333333334,0.8380114509146767,0.8422619047619048,0.9366892988650064,0.8336754643206257,0.03333333507180214,0.888601541519165,0.8884758353233337
54,0.0098057306968774,1.0484840869903564,0.6878883838653564,0.14760401844978333,1.3336657285690308,0.85,0.851348772660248,0.8581349206349206,0.9553149669600142,0.850200364298725,0.0,0.8960410952568054,0.8959107995033264
55,0.009794216038168352,1.022057294845581,1.0314319133758545,0.14481030404567719,1.3731540441513062,0.8333333333333334,0.8287581699346406,0.7941468253968255,0.9723185728492333,0.8321241830065359,0.01666666753590107,0.9002895951271057,0.9000928997993469
56,0.009782377118595071,1.041168451309204,0.9358417987823486,0.18705563247203827,1.4153923988342285,0.8166666666666667,0.8165473445779234,0.7837301587301587,0.9698483731502598,0.8161640982081463,0.01666666753590107,0.9070837497711182,0.9070631861686707
57,0.009770214747331984,0.9699915647506714,0.6860885620117188,0.13353168964385986,1.2407410144805908,0.8,0.8044733044733046,0.7733134920634921,0.9607321999715869,0.8002525252525252,0.0,0.8961872458457947,0.8961431384086609
58,0.009757729755661011,1.0538740158081055,0.7539780139923096,0.13531939685344696,1.3399889469146729,0.8,0.8044733044733046,0.7733134920634921,0.9602902229671098,0.8002525252525252,0.03333333507180214,0.9155877232551575,0.9154275059700012
59,0.009744922996914747,0.9673523902893066,0.6461824774742126,0.15244832634925842,1.2490371465682983,0.8333333333333334,0.8304473304473304,0.7996031746031745,0.9721854457998326,0.8330808080808081,0.01666666753590107,0.9285851120948792,0.928438663482666
60,0.00973179534641814,0.8787566423416138,0.5956072807312012,0.10169409960508347,1.0995721817016602,0.8833333333333333,0.8678929765886289,0.8308531746031745,0.9786497569516438,0.881577480490524,0.03333333507180214,0.9263467192649841,0.926347553730011
61,0.009718347701428667,0.8923650979995728,0.6424338817596436,0.10699333995580673,1.1278451681137085,0.8666666666666667,0.8794963698189505,0.8685515873015873,0.9767546613065482,0.8677639922801212,0.0,0.9268093109130859,0.9268122315406799
62,0.009704580981074998,0.8489350080490112,0.5449221730232239,0.09571441262960434,1.0536338090896606,0.8833333333333333,0.8908424908424908,0.8735119047619048,0.9774987089255956,0.8835897435897436,0.01666666753590107,0.9366768598556519,0.9365706443786621
63,0.009690496126294182,0.8027285933494568,0.4354744255542755,0.09207651019096375,0.9818999767303467,0.85,0.8427577559357683,0.8100198412698413,0.9775336855230723,0.8491576669498038,0.03333333507180214,0.9401184916496277,0.9400557279586792
64,0.009676094099767331,0.782282292842865,0.23937664926052094,0.08103230595588684,0.9111899137496948,0.8333333333333334,0.8317550505050505,0.8050595238095237,0.9560880517543252,0.8335858585858585,0.01666666753590107,0.9347590804100037,0.9347118735313416
65,0.009661375885853831,0.763698399066925,0.48801690340042114,0.07614713907241821,0.9374489188194275,0.8333333333333334,0.8043222926943857,0.7678571428571428,0.955681051347325,0.8303969931876909,0.0,0.9442460536956787,0.9442378878593445
66,0.00964634249052405,0.7568702101707458,0.38602569699287415,0.08967554569244385,0.9237508773803711,0.8666666666666667,0.861976911976912,0.8576388888888888,0.968353498571659,0.8661868686868687,0.01666666753590107,0.9461597800254822,0.946096658706665
67,0.009630994941290591,0.8202996850013733,0.3239569067955017,0.09473862498998642,0.9798296689987183,0.85,0.8371794871794872,0.8472222222222222,0.9512900185069997,0.8503205128205129,0.01666666753590107,0.9567628502845764,0.9567843675613403
68,0.009615334287138054,0.7951669096946716,0.4150805175304413,0.09754298627376556,0.9757260084152222,0.85,0.8504983388704318,0.8526785714285715,0.9636239186651921,0.8501661129568105,0.0,0.9596758484840393,0.9595724940299988
69,0.00959936159845135,0.7603027820587158,0.3523324429988861,0.07518938928842545,0.9059587121009827,0.8166666666666667,0.8042698042698042,0.7946428571428571,0.9639259892797628,0.8163188663188663,0.03333333507180214,0.961334764957428,0.9611988663673401
70,0.009583077966942534,0.6847943663597107,0.2620367407798767,0.06009937450289726,0.7973010540008545,0.85,0.8427577559357683,0.8100198412698413,0.9660659211071948,0.8491576669498038,0.01666666753590107,0.964439868927002,0.9644516706466675
71,0.009566484505576189,0.7274624109268188,0.43762436509132385,0.08392061293125153,0.8989078998565674,0.8333333333333334,0.8317550505050505,0.8050595238095237,0.9564250989663726,0.8335858585858585,0.01666666753590107,0.9641056656837463,0.9639869928359985
72,0.009549582348493355,0.709917426109314,0.29989877343177795,0.09250779449939728,0.8624049425125122,0.8333333333333334,0.8317550505050505,0.8050595238095237,0.9698706309850178,0.8335858585858585,0.01666666753590107,0.9721229076385498,0.9721189737319946
73,0.009532372650934018,0.670094907283783,0.2635597288608551,0.06278906017541885,0.7855959534645081,0.8333333333333334,0.8539288668320927,0.8422619047619048,0.9651187932437932,0.8350041356492971,0.01666666753590107,0.9688301086425781,0.9688661694526672
74,0.009514856589158148,0.6511456966400146,0.3118206262588501,0.06103776395320892,0.7745475769042969,0.8333333333333334,0.8525081991651758,0.8368055555555555,0.9658978174603176,0.8344364937388192,0.0,0.9764281511306763,0.9765334725379944
75,0.009497035360365296,0.6825318336486816,0.294736385345459,0.09279252588748932,0.8342716097831726,0.8333333333333334,0.8317550505050505,0.8050595238095237,0.96655739329678,0.8335858585858585,0.0,0.9790811538696289,0.9790892004966736
76,0.00947891018261278,0.6810945272445679,0.1966935396194458,0.08192697912454605,0.8023602366447449,0.85,0.8427577559357683,0.8100198412698413,0.9750771644934381,0.8491576669498038,0.01666666753590107,0.9782452583312988,0.9781598448753357
77,0.00946048229473242,0.6775850653648376,0.2881990373134613,0.08599424362182617,0.8212190866470337,0.8333333333333334,0.8304473304473304,0.7996031746031745,0.966822687488961,0.8330808080808081,0.0,0.9742259383201599,0.9742100238800049
78,0.009441752956245879,0.6542959213256836,0.24845817685127258,0.07854080945253372,0.7825283408164978,0.85,0.8427577559357683,0.8100198412698413,0.9526508061295798,0.8491576669498038,0.01666666753590107,0.9730993509292603,0.9730483293533325
79,0.009422723447278559,0.6786274313926697,0.307821124792099,0.06663060188293457,0.8068222403526306,0.8833333333333333,0.8678929765886289,0.8308531746031745,0.9434424219211954,0.881577480490524,0.01666666753590107,0.9749728441238403,0.9749070405960083
80,0.00940339506847212,0.7234941720962524,0.33533626794815063,0.08872728049755096,0.8792887330055237,0.85,0.828300803673938,0.8100198412698413,0.9573472092634828,0.8489351320321468,0.0,0.978889524936676,0.9788568615913391
81,0.009383769140895582,0.6717706918716431,0.20178940892219543,0.06957735866308212,0.781705915927887,0.8666666666666667,0.8411261940673705,0.8204365079365079,0.9522088291251029,0.8654600301659126,0.0,0.9798552393913269,0.9795538783073425
82,0.009363847005955023,0.6881102919578552,0.22676020860671997,0.060815077275037766,0.7942774295806885,0.8333333333333334,0.8156613034661815,0.7996031746031745,0.9533010528735765,0.8325127447078666,0.0,0.9791828989982605,0.9790892004966736
