epoch,lr,train_loss,acc,macro_f1,bacc,probability_macro_auc,weighted_f1,selection_macro_auc_adjusted
1,0.01,3.290257215499878,0.35,0.1728395061728395,0.3333333333333333,0.7882562384331252,0.18148148148148147,0.7615468367237234
2,0.01,3.1519832611083984,0.35,0.1728395061728395,0.3333333333333333,0.5797780191942928,0.18148148148148147,0.7393444365732101
3,0.01,4.824033737182617,0.35,0.20144534778681122,0.22420634920634921,0.5523849839887576,0.3133694670280036,0.7234873191535928
4,0.01,4.652367115020752,0.5,0.24096385542168675,0.3125,0.553591466622127,0.3855421686746988,0.7238175870251342
5,0.01,5.053303241729736,0.6166666666666667,0.5288515406162465,0.6086309523809524,0.5937781972569708,0.48901960784313725,0.7526355436143173
6,0.01,7.699321269989014,0.6,0.4967203339296362,0.5610119047619048,0.6503798710461447,0.4742397137745975,0.7410869070656806
7,0.01,4.185758113861084,0.6,0.4967203339296362,0.5610119047619048,0.7239865305903042,0.4742397137745975,0.7495830405618141
8,0.01,3.6635773181915283,0.6166666666666667,0.5229885057471265,0.5714285714285715,0.7530584424747161,0.48955938697318013,0.7455003177290913
9,0.01,2.738849639892578,0.6,0.4967203339296362,0.5610119047619048,0.7325104413842621,0.4742397137745975,0.7441163123651332
10,0.01,2.4912400245666504,0.6,0.4967203339296362,0.5610119047619048,0.7288678957311033,0.4742397137745975,0.7522290831547908
11,0.01,2.633419990539551,0.6,0.4967203339296362,0.5610119047619048,0.6992622157716498,0.4742397137745975,0.7185184225278566
12,0.01,3.0759100914001465,0.43333333333333335,0.4430769230769231,0.5714285714285715,0.7580569162231899,0.28574358974358977,0.7689537161824896
13,0.01,2.3856050968170166,0.6166666666666667,0.6904970760233918,0.716765873015873,0.7769079223973092,0.6166008771929825,0.7586882948026816
14,0.01,2.5526702404022217,0.6166666666666667,0.5326305220883535,0.6458333333333334,0.8110246235246236,0.4876255020080321,0.7778509106634107
15,0.01,2.415238857269287,0.6333333333333333,0.5571428571428572,0.65625,0.8250693172568173,0.5025396825396825,0.7931738400488401
16,0.01,2.498556613922119,0.6333333333333333,0.5571428571428572,0.65625,0.7798859126984127,0.5025396825396825,0.7294178622303621
17,0.01,2.70493745803833,0.6333333333333333,0.5571428571428572,0.65625,0.762375356125356,0.5025396825396825,0.7074779965404966
18,0.01,2.488579511642456,0.65,0.5843137254901961,0.6666666666666666,0.785711106023606,0.518235294117647,0.7585978835978836
19,0.01,2.304610252380371,0.6333333333333333,0.5571428571428572,0.65625,0.7939083485958486,0.5025396825396825,0.7947446072446072
20,0.01,2.491598129272461,0.6333333333333333,0.5571428571428572,0.65625,0.8098958333333334,0.5025396825396825,0.8111963268213268
21,0.009999830837037664,2.513700246810913,0.55,0.6070835541423777,0.71875,0.8094888329263329,0.46920950362126834,0.8108942562067561
22,0.009999323359712722,2.2801387310028076,0.55,0.6070835541423777,0.71875,0.8184650997150996,0.46920950362126834,0.8105349511599512
23,0.009998477602710573,2.2452399730682373,0.65,0.7142061737492836,0.7375992063492064,0.8270343660968661,0.6502178007041676,0.7982136497761498
