epoch,lr,train_loss,acc,macro_f1,bacc,probability_macro_auc,weighted_f1,selection_macro_auc_adjusted
1,0.01,3.2740120887756348,0.35,0.1728395061728395,0.3333333333333333,0.7133265299978314,0.18148148148148147,0.7016389632490857
2,0.01,3.198451519012451,0.35,0.1728395061728395,0.3333333333333333,0.4594509291742328,0.18148148148148147,0.7223242552775367
3,0.01,5.284214496612549,0.23333333333333334,0.14930555555555555,0.15565796210957503,0.45624580096910466,0.22447916666666667,0.7241883392119766
4,0.01,4.311539649963379,0.4,0.21052631578947367,0.25806451612903225,0.4794346519874884,0.32631578947368417,0.7393798755728679
5,0.01,4.06735897064209,0.5666666666666667,0.46293639406982307,0.5510752688172044,0.5822470887473669,0.44696317551410814,0.7694392918600371
6,0.01,7.858336448669434,0.5833333333333334,0.48293172690763053,0.5618279569892474,0.6568267725456267,0.4610441767068273,0.7824916568312008
7,0.01,4.560011386871338,0.5666666666666667,0.4376863446630888,0.489247311827957,0.7707727246798437,0.44251639833035183,0.7853903321784301
8,0.01,2.595792770385742,0.6,0.5102821616451458,0.603494623655914,0.8526269324030725,0.4752510760401722,0.8006137291106702
9,0.01,2.917433023452759,0.5833333333333334,0.49451476793248944,0.6236559139784946,0.8494794559866863,0.459831223628692,0.7815484169766705
10,0.01,2.766770839691162,0.6,0.5076305220883534,0.5725806451612904,0.8127510505499936,0.4801606425702811,0.7704990661400561
11,0.01,2.8783421516418457,0.5833333333333334,0.5998213168944876,0.6384408602150538,0.8876976543828602,0.5482212096846244,0.7867049627338837
12,0.01,2.452637195587158,0.48333333333333334,0.4598506069094304,0.6666666666666666,0.9158322931960307,0.31776377217553686,0.825737657112796
13,0.01,2.3296263217926025,0.5333333333333333,0.4444444444444444,0.5295698924731184,0.902102693016208,0.4333333333333333,0.8662866572001722
14,0.01,2.2216873168945312,0.5666666666666667,0.4376863446630888,0.489247311827957,0.8525226498669213,0.44251639833035183,0.8054853972192682
15,0.01,2.2825403213500977,0.55,0.3655430711610487,0.4166666666666667,0.7642928192497157,0.41325842696629217,0.7557122665576502
16,0.01,2.4533019065856934,0.5666666666666667,0.4523809523809524,0.5201612903225806,0.7991021345790535,0.4456349206349206,0.7919277903635523
17,0.01,2.3078465461730957,0.55,0.45274261603375526,0.571236559139785,0.8507839285091787,0.4334177215189873,0.8395350954096782
18,0.01,2.521237850189209,0.55,0.4588744588744589,0.6021505376344086,0.8478090679147409,0.43246753246753245,0.8116005613572354
19,0.01,2.5813326835632324,0.55,0.4588744588744589,0.6021505376344086,0.8664161367512313,0.43246753246753245,0.8061515972389164
20,0.01,2.311659812927246,0.5666666666666667,0.4761904761904761,0.6129032258064516,0.8519855474110202,0.446031746031746,0.7993199239375546
21,0.009999830837037664,2.249572992324829,0.5833333333333334,0.49451476793248944,0.6236559139784946,0.8559748814198201,0.459831223628692,0.8033581947653138
22,0.009999323359712722,2.2213191986083984,0.5666666666666667,0.46293639406982307,0.5510752688172044,0.8622803601251876,0.44696317551410814,0.8285201517264921
23,0.009998477602710573,2.077984571456909,0.7333333333333333,0.7247354497354497,0.7407194060419867,0.8922793233833278,0.7210251322751323,0.8432808205472275
24,0.009997293623837585,2.1257853507995605,0.7,0.7011855905152758,0.7139016897081413,0.8918488236828059,0.6999703602371182,0.8434425285092694
25,0.00999577150401714,2.042099952697754,0.5666666666666667,0.46293639406982307,0.5510752688172044,0.894567851812012,0.44696317551410814,0.7916117312321429
26,0.009993911347284109,1.9367955923080444,0.5833333333333334,0.47338935574229696,0.5309139784946236,0.9060192230728937,0.45994397759103645,0.8601146476911216
27,0.009991713280777732,1.9374616146087646,0.6,0.5228956228956229,0.6086149513568868,0.9221950699981845,0.4971885521885522,0.9007259117103388
28,0.009989177454732934,1.920978307723999,0.7833333333333333,0.7829404298406993,0.8241807475678443,0.9189987840919431,0.7793550963362283,0.9089066227205826
29,0.00998630404247006,1.8050332069396973,0.5833333333333334,0.47338935574229696,0.5309139784946236,0.9426627141449165,0.45994397759103645,0.8892700556354617
30,0.009983093240383016,1.9201091527938843,0.7,0.715357624831309,0.7137096774193549,0.9259009552738696,0.6911255060728744,0.9266063019191494
31,0.009979545267925863,1.7978489398956299,0.7,0.7121578099838969,0.7755376344086021,0.926463608436634,0.6806964573268921,0.9256944274672305
32,0.009975660367597807,1.7605171203613281,0.8166666666666667,0.8205924647684787,0.8561187916026626,0.9353623848548764,0.8157779695139489,0.9320253436980356
33,0.009971438804926623,1.7276705503463745,0.7666666666666667,0.7652899610136452,0.782706093189964,0.9346932562658369,0.7652442738791423,0.9283537382466748
34,0.00996688086845051,1.6951870918273926,0.7833333333333333,0.780386864597391,0.7623527905785971,0.9390212715435186,0.7813945119208278,0.93548412562595
35,0.009961986869698373,1.6361794471740723,0.7833333333333333,0.780386864597391,0.7623527905785971,0.9344543868667895,0.7813945119208278,0.9313604594124616
36,0.009956757143168527,1.5446640253067017,0.8,0.8017533936651584,0.8093317972350231,0.9368239531963113,0.7988263574660633,0.9312622179349098
37,0.009951192046305833,1.509711503982544,0.7833333333333333,0.8041836231347886,0.8293010752688171,0.9455076000195577,0.7789924774941424,0.9318954963073427
38,0.009945291959477269,1.3748524188995361,0.8,0.7873303167420814,0.7475038402457758,0.9290801649325009,0.7972850678733032,0.9271538170662197
39,0.009939057285945933,1.3886089324951172,0.75,0.7755538579067992,0.7768817204301075,0.9345824233546702,0.7462643239113829,0.9283963793488264
40,0.009932488451843476,1.4150886535644531,0.8,0.8054298642533936,0.8400537634408601,0.96810811983921,0.795475113122172,0.9677735555446901
41,0.009925585906140986,1.3042645454406738,0.8666666666666667,0.8825396825396825,0.8830645161290324,0.9629512062423631,0.8673015873015874,0.9581034194145985
