epoch,lr,train_loss,test_loss,acc,macro_f1,bacc,macro_auc,weighted_f1
1,0.01,3.2858409881591797,3.469355583190918,0.35,0.1728395061728395,0.3333333333333333,0.7189870369410464,0.18148148148148147
2,0.01,3.198434352874756,4.988112926483154,0.35,0.1728395061728395,0.3333333333333333,0.733367817978667,0.18148148148148147
3,0.01,4.747209072113037,4.841156005859375,0.3333333333333333,0.182648401826484,0.20833333333333334,0.7438353596962087,0.2922374429223744
4,0.01,4.711835861206055,3.478929042816162,0.4166666666666667,0.2109704641350211,0.2604166666666667,0.7723948014337165,0.3375527426160338
5,0.01,4.260615825653076,6.713187217712402,0.5166666666666667,0.4109704641350211,0.5461309523809524,0.7946439370378049,0.40755274261603375
6,0.01,7.488467216491699,3.593221664428711,0.5333333333333333,0.4271929824561404,0.5565476190476191,0.8019581855077139,0.4203508771929825
7,0.01,3.882049798965454,2.9005210399627686,0.5666666666666667,0.46293639406982307,0.5773809523809524,0.7907629145836692,0.44658058345289336
8,0.01,2.928280830383301,3.342026948928833,0.5666666666666667,0.46293639406982307,0.5773809523809524,0.7586569778491948,0.44658058345289336
9,0.01,2.9008307456970215,2.6701247692108154,0.5166666666666667,0.4109704641350211,0.5461309523809524,0.716604428721174,0.40755274261603375
10,0.01,2.6056556701660156,3.189117431640625,0.5666666666666667,0.46293639406982307,0.5773809523809524,0.7567500033596731,0.44658058345289336
11,0.01,2.5946974754333496,4.258727550506592,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8176380801675612,0.46019076305220885
12,0.01,2.7743215560913086,2.447857141494751,0.6166666666666667,0.6345469564112339,0.7232142857142857,0.8329293326345214,0.576545622061253
13,0.01,2.5082597732543945,2.438709020614624,0.75,0.7504316191885558,0.8010912698412698,0.8214021739965135,0.7443997410284867
14,0.01,2.253091812133789,2.355773448944092,0.6166666666666667,0.5229885057471265,0.5714285714285715,0.8407756093487225,0.48955938697318013
15,0.01,2.3273589611053467,2.6156649589538574,0.5166666666666667,0.4109704641350211,0.5461309523809524,0.7918790460064044,0.40755274261603375
16,0.01,2.3806192874908447,2.727501392364502,0.4666666666666667,0.3668954996186118,0.5148809523809524,0.8192879196711744,0.3696414950419527
17,0.01,2.4344100952148438,2.5101757049560547,0.45,0.35333333333333333,0.5044642857142857,0.8008439139040554,0.35700000000000004
18,0.01,2.2667863368988037,2.365407943725586,0.48333333333333334,0.38095238095238093,0.5252976190476191,0.7913353788943412,0.38225108225108223
19,0.01,2.218684196472168,2.201066017150879,0.5166666666666667,0.4109704641350211,0.5461309523809524,0.7808517587409097,0.40755274261603375
20,0.01,2.083242416381836,2.3284549713134766,0.55,0.4471218206157965,0.5297619047619048,0.7530981586111304,0.43761713520749657
21,0.009999830837037664,2.1564629077911377,2.2678401470184326,0.6,0.5047619047619047,0.5982142857142857,0.7765838339246359,0.4742857142857143
22,0.009999323359712722,2.128389358520508,2.065922737121582,0.55,0.4444444444444444,0.5669642857142857,0.8199221779705269,0.43333333333333335
23,0.009998477602710573,2.0238728523254395,2.1516551971435547,0.8,0.7746031746031745,0.8214285714285715,0.8795167806075824,0.8044444444444444
24,0.009997293623837585,2.1172544956207275,2.1047558784484863,0.7666666666666667,0.744385026737968,0.7678571428571428,0.8909863448483731,0.7635650623885918
25,0.00999577150401714,2.09553861618042,2.051866054534912,0.7166666666666667,0.6916858237547893,0.714781746031746,0.7652536361262777,0.6930478927203064
26,0.009993911347284109,2.0744004249572754,2.0502381324768066,0.5833333333333334,0.6154979674796749,0.7023809523809524,0.9039090277297824,0.5311509146341463
27,0.009991713280777732,1.9217593669891357,2.0826852321624756,0.6333333333333333,0.6781874039938556,0.7336309523809524,0.9171192626381305,0.603763440860215
28,0.009989177454732934,1.9244251251220703,1.9995691776275635,0.8833333333333333,0.8748200389991435,0.8680555555555555,0.9241382198339746,0.8827401454267125
29,0.00998630404247006,1.8530303239822388,1.99847412109375,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8987152129840809,0.46019076305220885
30,0.009983093240383016,1.7917821407318115,2.0321390628814697,0.5833333333333334,0.4960498228472085,0.5932539682539683,0.8980643363013646,0.48289540283004334
31,0.009979545267925863,1.6827545166015625,2.227816581726074,0.75,0.7308847308847309,0.7683531746031745,0.8703752898917992,0.7528990528990529
32,0.009975660367597807,1.7981623411178589,2.148198127746582,0.7833333333333333,0.7561276071534769,0.8110119047619048,0.8759401685404044,0.7895034195658639
33,0.009971438804926623,1.6257989406585693,2.212691068649292,0.5666666666666667,0.5567011791774519,0.6919642857142857,0.8754539758372305,0.5013344837503595
34,0.00996688086845051,1.5683095455169678,2.124713897705078,0.7666666666666667,0.742469646449725,0.8005952380952381,0.8979525071801016,0.7713051674896946
35,0.009961986869698373,1.602260708808899,2.0618085861206055,0.7833333333333333,0.7561276071534769,0.8110119047619048,0.8868686454181738,0.7895034195658639
36,0.009956757143168527,1.448854923248291,2.0961849689483643,0.85,0.8371794871794872,0.8472222222222222,0.8952213928629021,0.8503205128205129
37,0.009951192046305833,1.4279074668884277,2.150847911834717,0.8666666666666667,0.8605336871590742,0.8521825396825397,0.9164838644496663,0.8653250773993808
38,0.009945291959477269,1.2949533462524414,2.027761936187744,0.7666666666666667,0.7885878489326764,0.8005952380952381,0.917944722337411,0.7670977011494252
39,0.009939057285945933,1.2034753561019897,2.0138180255889893,0.7333333333333333,0.7377561219390305,0.7743055555555555,0.8912648977507468,0.7324025487256371
40,0.009932488451843476,1.1246334314346313,2.063138008117676,0.8,0.7837690631808277,0.7996031746031745,0.8979107512421192,0.7989379084967321
41,0.009925585906140986,1.1832762956619263,1.8350887298583984,0.85,0.851348772660248,0.8581349206349206,0.9192723331874276,0.850200364298725
42,0.009918350120618293,0.977968692779541,2.06961727142334,0.8166666666666667,0.8116402116402117,0.8263888888888888,0.9092413689996236,0.8168783068783069
43,0.009910781589831726,0.9337658882141113,2.4648079872131348,0.7833333333333333,0.773076923076923,0.7946428571428571,0.9072908387472066,0.7833974358974359
44,0.009902880831080306,0.9439876675605774,2.1595423221588135,0.85,0.8672076319973683,0.8581349206349206,0.9076374250312931,0.8514675512180858
45,0.009894648384370404,0.8619352579116821,2.014204978942871,0.8666666666666667,0.877044364849243,0.8576388888888888,0.924914064359819,0.8666230788182008
46,0.009886084812378817,0.8676874041557312,1.7784473896026611,0.8666666666666667,0.8630952380952381,0.8630952380952381,0.9362001664478079,0.8666666666666667
47,0.009877190700414313,0.7386171221733093,1.870474100112915,0.9,0.9034055375518791,0.8839285714285715,0.9270539961872509,0.8998578657115242
48,0.00986796665637763,0.7856433391571045,2.0637717247009277,0.8333333333333334,0.8253063265816455,0.8422619047619048,0.901276363835326,0.8336684171042761
49,0.009858413310719925,0.7070180177688599,2.529839515686035,0.75,0.7248703937228527,0.779265873015873,0.8875362004784174,0.759365279529214
50,0.009848531316399685,0.7710375785827637,2.3082094192504883,0.8333333333333334,0.8253063265816455,0.8422619047619048,0.8965673619270317,0.8336684171042761
51,0.009838321348838096,0.6945996284484863,2.652993679046631,0.8,0.7774891774891776,0.7733134920634921,0.890683134344691,0.7996969696969697
52,0.009827784105872876,0.75480055809021,2.6119132041931152,0.8166666666666667,0.7922972806693737,0.7946428571428571,0.8836242210357778,0.816568229358927
53,0.009816920307710586,0.6820219159126282,2.602538585662842,0.8,0.770109193965158,0.7842261904761904,0.9041264465792768,0.8009085604734517
54,0.0098057306968774,0.6525335907936096,2.211427927017212,0.8166666666666667,0.7670685036356678,0.751984126984127,0.9078635430345336,0.8150660160734787
55,0.009794216038168352,0.6777336597442627,2.3624989986419678,0.8166666666666667,0.7833000580547415,0.8373015873015873,0.9029146844594959,0.8242491822777283
56,0.009782377118595071,0.712868332862854,1.798866629600525,0.8666666666666667,0.8226223222472284,0.8368055555555555,0.9307036811458982,0.8678753021588731
57,0.009770214747331984,0.6305090188980103,1.8570725917816162,0.85,0.8094055307170062,0.8263888888888888,0.9337071089724391,0.8506044047027653
58,0.009757729755661011,0.6693678498268127,2.1470603942871094,0.8,0.7698759092854086,0.8214285714285715,0.9233389775842605,0.8076679503637141
59,0.009744922996914747,0.7222164869308472,1.8059828281402588,0.8833333333333333,0.8551594865929597,0.8844246031746031,0.9358120642023944,0.8852125428898208
60,0.00973179534641814,0.6057279706001282,1.9784680604934692,0.85,0.8094055307170062,0.8263888888888888,0.92694156712435,0.8506044047027653
61,0.009718347701428667,0.8317593336105347,2.0176570415496826,0.85,0.793872793872794,0.7891865079365079,0.9255516223381789,0.8471195471195472
62,0.009704580981074998,0.7859792113304138,1.913454532623291,0.85,0.8095238095238094,0.8209325396825397,0.9149173568395267,0.8515873015873014
63,0.009690496126294182,0.6398085355758667,2.100762367248535,0.8333333333333334,0.8152841781874041,0.8422619047619048,0.9122977116786078,0.8348118279569893
64,0.009676094099767331,0.6485168933868408,2.0084068775177,0.85,0.8287266488753335,0.8581349206349206,0.9174804874981762,0.8514471343245648
65,0.009661375885853831,0.6080077290534973,1.9513683319091797,0.85,0.8183831672203765,0.8209325396825397,0.9119223881900768,0.8497785160575859
66,0.00964634249052405,0.6124210357666016,1.99187171459198,0.85,0.8287266488753335,0.8581349206349206,0.9074163465378088,0.8514471343245648
