epoch,lr,loss_nca,loss_refine,loss_total,gradient_norm,acc,macro_f1,bacc,probability_macro_auc,weighted_f1,margin_threshold,neighbor_confidence_threshold,gate_active_ratio_test
1,0.01,0.050805896520614624,0.023195616900920868,0.03335679695010185,0.002567173094283694,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.28333336114883423
2,0.01,0.04340747371315956,0.022814303636550903,0.031495798379182816,0.0025919678044073434,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.30000001192092896
3,0.01,0.044494155794382095,0.023078763857483864,0.03197759389877319,0.00241916836090227,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.30000001192092896
4,0.01,0.042512454092502594,0.023078763857483864,0.03158125281333923,0.002030974513223721,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.30000001192092896
5,0.01,0.04176141321659088,0.022457005456089973,0.03080928698182106,0.003455559239343788,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.31666669249534607
6,0.01,0.03956720978021622,0.022166680544614792,0.030080122873187065,0.0036018732906943365,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.31666669249534607
7,0.01,0.04128091037273407,0.022145092487335205,0.03040127456188202,0.012477982436898174,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.28333336114883423
8,0.01,0.04432978853583336,0.023078763857483864,0.031944721937179565,0.003383429078360486,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.28333336114883423
9,0.01,0.04401202127337456,0.023084500804543495,0.031886905431747437,0.001205392243376243,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.28333336114883423
10,0.01,0.04567428305745125,0.02247668243944645,0.03161153942346573,0.0010627259984765105,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.28333336114883423
11,0.01,0.04429401084780693,0.02247668243944645,0.031335484236478806,0.0008053405895372669,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.28333336114883423
12,0.01,0.045762479305267334,0.022587798535823822,0.03174029290676117,0.0011638138648855426,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.28333336114883423
13,0.01,0.04538312554359436,0.023209555074572563,0.032286182045936584,0.0011236169797210712,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.28333336114883423
14,0.01,0.044887181371450424,0.02309844084084034,0.032075878232717514,0.0009159231023203758,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.28333336114883423
15,0.01,0.0445040687918663,0.02309844084084034,0.03199925273656845,0.0008449913332612079,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.28333336114883423
16,0.01,0.04368603602051735,0.02309844084084034,0.0318356491625309,0.0007324810062153667,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.28333336114883423
17,0.01,0.04272540658712387,0.023098070174455643,0.03164315223693848,0.00041072048433098764,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.28333336114883423
18,0.01,0.04322859272360802,0.023098070174455643,0.03174378722906113,0.00044978510609090843,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.28333336114883423
19,0.01,0.04298773780465126,0.023098070174455643,0.031695619225502014,0.00042979753864326085,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.28333336114883423
20,0.01,0.0425226166844368,0.023098070174455643,0.03160259500145912,0.0004602943013349656,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,0.9723156690597534,1.0,0.28333336114883423
