epoch,lr,loss_nca,loss_refine,loss_total,gradient_norm,acc,macro_f1,bacc,probability_macro_auc,weighted_f1,margin_threshold,neighbor_confidence_threshold,gate_active_ratio_test
1,0.01,0.03523615002632141,0.013932792469859123,0.020980022847652435,4.074583455513885e-05,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
2,0.01,0.03504836931824684,0.014011369086802006,0.0210210420191288,0.00010940428581331611,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
3,0.01,0.034763529896736145,0.013932792469859123,0.020885499194264412,1.1594315200476392e-11,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
4,0.01,0.034763529896736145,0.013932792469859123,0.020885499194264412,9.690099769229594e-12,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
5,0.01,0.03504926338791847,0.014011369086802006,0.021021220833063126,0.0001671217917786264,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
6,0.01,0.034763529896736145,0.013932792469859123,0.020885499194264412,2.670871532104871e-10,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
7,0.01,0.034883975982666016,0.013932792469859123,0.020909588783979416,6.619142926469973e-05,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
8,0.01,0.034873589873313904,0.013932792469859123,0.020907510071992874,0.0005433404554166739,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
9,0.01,0.03572674095630646,0.013932792469859123,0.021078141406178474,0.00042773015920886454,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
10,0.01,0.034763529896736145,0.013932792469859123,0.020885499194264412,8.732527990200671e-12,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
11,0.01,0.035062868148088455,0.014011369086802006,0.021023942157626152,5.25866000385994e-05,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
12,0.01,0.0353238508105278,0.014011369086802006,0.02107613906264305,0.00026855753989962495,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
13,0.01,0.03505069389939308,0.014011369086802006,0.021021507680416107,9.760083516297578e-05,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
14,0.01,0.034763529896736145,0.013932792469859123,0.020885499194264412,6.668568360470188e-12,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
15,0.01,0.0357368141412735,0.013932792469859123,0.021080154925584793,8.608706561013164e-05,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
16,0.01,0.03574094921350479,0.013932792469859123,0.02108098194003105,6.0817692333675216e-05,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
17,0.01,0.03620348498225212,0.013932792469859123,0.021173490211367607,0.001373197107621838,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
18,0.01,0.035737596452236176,0.013932792469859123,0.02108031138777733,0.00012171108916252507,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
19,0.01,0.0357033833861351,0.013932792469859123,0.021073469892144203,0.00036038710710883275,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
20,0.01,0.03506200388073921,0.014011369086802006,0.021023768931627274,4.264498220921587e-05,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
21,0.009999830837037664,0.03526108339428902,0.014011546969413757,0.02106376364827156,0.00021593930783254513,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
22,0.009999323359712722,0.03506654500961304,0.014011369086802006,0.0210246779024601,2.9123888257044963e-05,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
23,0.009998477602710573,0.03506674990057945,0.014011369086802006,0.02102471888065338,2.9482772050743042e-05,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
24,0.009997293623837585,0.03506559878587723,0.014011369086802006,0.021024487912654877,3.4027669218895656e-05,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
25,0.00999577150401714,0.035062871873378754,0.014011369086802006,0.0210239440202713,4.141930771229141e-05,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
26,0.009993911347284109,0.03505862131714821,0.014011369086802006,0.021023092791438103,5.3148391121077284e-05,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
27,0.009991713280777732,0.035170309245586395,0.014011369086802006,0.02104543149471283,0.00011305628073816481,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
28,0.009989177454732934,0.034763529896736145,0.013932792469859123,0.020885499194264412,9.3267165907207e-12,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
29,0.00998630404247006,0.034763529896736145,0.013932792469859123,0.020885499194264412,6.5376913323363845e-12,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
30,0.009983093240383016,0.03523743525147438,0.013932792469859123,0.02098027989268303,0.00013903320698168935,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
31,0.009979545267925863,0.034763529896736145,0.013932792469859123,0.020885499194264412,7.621742980380346e-11,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
32,0.009975660367597807,0.034763529896736145,0.013932792469859123,0.020885499194264412,2.190104178948036e-11,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.35593220591545105
33,0.009971438804926623,0.03531872108578682,0.014011369086802006,0.021075112745165825,0.0011242784029659853,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,0.9779531955718994,1.0,0.37288135290145874
