Model,Definition,Best epoch,ACC,Macro-F1,BACC,Macro-AUC,Weighted-F1,Params
S0,S0 shared Query Pool without OVR anchor,111,0.9,0.8898198575617929,0.8685355862775217,0.9570231734441969,0.8991341991341991,703372
S1,S1 shared Query Pool with cyclicly mismatched OVR anchors,49,0.9333333333333333,0.9325542005420054,0.9158346134152585,0.9574450713563616,0.9332096883468834,703372
S2,S2 shared Query Pool with correctly aligned OVR anchors,142,0.9166666666666666,0.9026701119724375,0.8792882744495647,0.948469741851277,0.9155284852959272,703372
