epoch,base_lr,graph_lr,loss,acc,macro_f1,bacc,macro_auc,weighted_f1
1,0.01,0.01,3.309741258621216,0.35,0.1728395061728395,0.3333333333333333,0.814942362406985,0.18148148148148147
2,0.01,0.01,2.910991907119751,0.35,0.1728395061728395,0.3333333333333333,0.498501765748228,0.18148148148148147
3,0.01,0.01,5.915204048156738,0.35,0.18918918918918917,0.21875,0.47519169335207073,0.30270270270270266
4,0.01,0.01,4.424011707305908,0.4666666666666667,0.38431938431938434,0.47767857142857145,0.5924196894126139,0.3834295334295334
5,0.01,0.01,6.139082908630371,0.5333333333333333,0.4271929824561404,0.5565476190476191,0.6648218461308084,0.4203508771929825
6,0.01,0.01,5.401062965393066,0.5,0.3956043956043956,0.5357142857142857,0.7632023156787309,0.3948717948717949
7,0.01,0.01,3.126274347305298,0.5333333333333333,0.4271929824561404,0.5565476190476191,0.8066577683322967,0.4203508771929825
8,0.01,0.01,6.582000732421875,0.55,0.4444444444444444,0.5669642857142857,0.8180873764600181,0.43333333333333335
9,0.01,0.01,4.081820487976074,0.5333333333333333,0.4271929824561404,0.5565476190476191,0.8000479713333487,0.4203508771929825
10,0.01,0.01,2.7413997650146484,0.5,0.3956043956043956,0.5357142857142857,0.7884474398330531,0.3948717948717949
11,0.01,0.01,2.7414002418518066,0.5,0.3956043956043956,0.5357142857142857,0.7955557283387473,0.3948717948717949
12,0.01,0.01,2.7503836154937744,0.5,0.3956043956043956,0.5357142857142857,0.823594420734751,0.3948717948717949
13,0.01,0.01,2.4019241333007812,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8682007414318735,0.46019076305220885
14,0.01,0.01,2.5135061740875244,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.9048956917471068,0.46019076305220885
15,0.01,0.01,2.3965821266174316,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.9119069096958249,0.46019076305220885
16,0.01,0.01,2.2675673961639404,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.9145323742906291,0.46019076305220885
17,0.01,0.01,2.3322060108184814,0.6,0.5047619047619047,0.5982142857142857,0.9125673254505801,0.4742857142857143
18,0.01,0.01,2.218665838241577,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.9145323742906291,0.46019076305220885
19,0.01,0.01,2.1962029933929443,0.7333333333333333,0.7112612612612613,0.7306547619047619,0.9211715684298231,0.7155180180180181
20,0.01,0.01,2.158212423324585,0.7833333333333333,0.773076923076923,0.7946428571428571,0.9224420648359327,0.7833974358974359
21,0.009999830837037664,0.009999830837037664,2.0985665321350098,0.7833333333333333,0.7766542980828696,0.8219246031746031,0.9163497774936454,0.780487012987013
22,0.009999323359712722,0.009999323359712722,2.0802853107452393,0.7666666666666667,0.7638888888888888,0.8060515873015873,0.912412900473042,0.7645833333333333
23,0.009998477602710573,0.009998477602710573,2.039179801940918,0.75,0.7246838025295798,0.7901785714285715,0.8963858795816343,0.7560057119543043
24,0.009997293623837585,0.009997293623837585,2.027754306793213,0.8,0.7897301349325337,0.8268849206349206,0.9313765756867172,0.7996189405297351
25,0.00999577150401714,0.00999577150401714,1.9741986989974976,0.6833333333333333,0.6051762605979473,0.5714285714285714,0.9309969326183949,0.6368005354752343
26,0.009993911347284109,0.009993911347284109,2.029454231262207,0.6666666666666666,0.7260913518978036,0.7544642857142857,0.8657392408866466,0.6529372300340042
27,0.009991713280777732,0.009991713280777732,2.067772150039673,0.5666666666666667,0.5491663163794311,0.6919642857142857,0.8523991786079049,0.5024365980103684
28,0.009989177454732934,0.009989177454732934,2.0470783710479736,0.65,0.6418370591569547,0.7385912698412698,0.9034125760246043,0.6279789307784829
29,0.00998630404247006,0.00998630404247006,1.8661479949951172,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.9376856219426974,0.3710144927536232
30,0.009983093240383016,0.009983093240383016,2.2069947719573975,0.7666666666666667,0.744385026737968,0.7678571428571428,0.9059246516498876,0.7635650623885918
31,0.009979545267925863,0.009979545267925863,1.8403897285461426,0.7666666666666667,0.7420951054227795,0.7896825396825397,0.8897314469248432,0.7737669235122546
32,0.009975660367597807,0.009975660367597807,1.8134452104568481,0.7666666666666667,0.7365692153923039,0.7688492063492064,0.8836948341665322,0.7666448025987006
33,0.009971438804926623,0.009971438804926623,1.8706943988800049,0.7666666666666667,0.7445993315399037,0.7688492063492064,0.9020791457407024,0.7653542023314583
34,0.00996688086845051,0.00996688086845051,1.7684358358383179,0.7666666666666667,0.7475845410628019,0.8060515873015873,0.8991932464809823,0.7669082125603864
