fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,31,0.5166666666666667,0.2271062271062271,0.3333333333333333,0.47926059310236174,0.352014652014652
1,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5403925106165672,0.3710144927536232
2,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5963808040753795,0.3710144927536232
3,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.6856419807481129,0.3710144927536232
4,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.7104580266431682,0.3710144927536232
5,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.6501054877381529,0.3710144927536232
6,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5840157669461915,0.3710144927536232
7,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5811119894256686,0.3710144927536232
8,31,0.5254237288135594,0.22962962962962963,0.3333333333333333,0.6420870206948305,0.36195856873822974
9,31,0.5254237288135594,0.22962962962962963,0.3333333333333333,0.6600889570054655,0.36195856873822974
