epoch,masked_modality_index,masked_modality_name,lr,loss,loss_shared,loss_private
1,0,MRI,9.938441702975689e-05,1.500081181526184,0.9566793441772461,1.086803674697876
2,1,PET,9.755282581475769e-05,1.4660297632217407,0.9386309385299683,1.054797649383545
3,2,CSF,9.45503262094184e-05,1.4562017917633057,0.9223518371582031,1.0676997900009155
4,3,Risk,9.045084971874738e-05,1.4176392555236816,0.9054160118103027,1.0244464874267578
5,4,COG,8.535533905932738e-05,1.3940093517303467,0.8886318206787109,1.0107550621032715
6,5,ROI,7.938926261462366e-05,1.4043152332305908,0.8902807235717773,1.0280689001083374
7,0,MRI,7.269952498697734e-05,1.3504154682159424,0.843342661857605,1.0141457319259644
8,1,PET,6.545084971874738e-05,1.3352116346359253,0.8425078392028809,0.9854076504707336
9,2,CSF,5.782172325201156e-05,1.3305736780166626,0.8267974257469177,1.0075525045394897
10,3,Risk,5.000000000000001e-05,1.3012685775756836,0.8189024925231934,0.9647321105003357
11,4,COG,4.217827674798848e-05,1.2896265983581543,0.8124496936798096,0.954353928565979
12,5,ROI,3.454915028125264e-05,1.3084940910339355,0.8195844888687134,0.9778192639350891
13,0,MRI,2.730047501302267e-05,1.2708420753479004,0.7861477136611938,0.9693886041641235
14,1,PET,2.0610737385376356e-05,1.2587497234344482,0.7863888740539551,0.9447216391563416
15,2,CSF,1.464466094067263e-05,1.2703434228897095,0.781676173210144,0.9773344993591309
16,3,Risk,9.549150281252635e-06,1.2499395608901978,0.7815613746643066,0.9367563128471375
17,4,COG,5.4496737905816115e-06,1.2428680658340454,0.7782108187675476,0.9293144345283508
18,5,ROI,2.4471741852423237e-06,1.2734407186508179,0.7941503524780273,0.9585806727409363
19,0,MRI,6.155829702431171e-07,1.2451424598693848,0.7671452760696411,0.9559944272041321
20,1,PET,0.0,1.241217851638794,0.7720848917961121,0.9382659792900085
