epoch,lr,train_loss,acc,macro_f1,bacc,probability_macro_auc,weighted_f1,selection_macro_auc_adjusted
1,0.01,3.2737033367156982,0.35,0.1728395061728395,0.3333333333333333,0.7681617932207555,0.18148148148148147,0.7938350357277244
2,0.01,3.1476895809173584,0.35,0.1728395061728395,0.3333333333333333,0.5394266045799064,0.18148148148148147,0.7217627869160887
3,0.01,5.499463081359863,0.2833333333333333,0.18664965986394558,0.19345238095238093,0.513170218801115,0.27619047619047615,0.7062711539421445
4,0.01,4.578325271606445,0.35,0.18918918918918917,0.21875,0.5369334271162102,0.30270270270270266,0.7074307811336112
5,0.01,3.8642377853393555,0.5166666666666667,0.4109704641350211,0.5461309523809524,0.5874939885847905,0.40755274261603375,0.7300840374248393
6,0.01,3.848884105682373,0.55,0.4444444444444444,0.5669642857142857,0.7393991512505664,0.43333333333333335,0.7285482468265486
7,0.01,6.744278907775879,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.7758783625528909,0.46019076305220885,0.7383898094393379
8,0.01,4.724480628967285,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8040108858210272,0.46019076305220885,0.7435999425975841
9,0.01,2.78118896484375,0.5333333333333333,0.4271929824561404,0.5565476190476191,0.7860447935624822,0.4203508771929825,0.7271678411124166
10,0.01,3.241824150085449,0.5333333333333333,0.4271929824561404,0.5565476190476191,0.7731393890002382,0.4203508771929825,0.7232659406892896
11,0.01,3.222172975540161,0.5333333333333333,0.4271929824561404,0.5565476190476191,0.7764058912349007,0.4203508771929825,0.7306006471690435
12,0.01,2.730823516845703,0.5333333333333333,0.4271929824561404,0.5565476190476191,0.7763854332250558,0.4203508771929825,0.747055966395589
13,0.01,3.018291473388672,0.5333333333333333,0.4271929824561404,0.5565476190476191,0.8133460376974528,0.4203508771929825,0.7734123024512175
14,0.01,2.7365121841430664,0.55,0.4444444444444444,0.5669642857142857,0.8344069288939572,0.43333333333333335,0.7846384103754387
15,0.01,2.4688549041748047,0.5666666666666667,0.46293639406982307,0.5773809523809524,0.8442715892597968,0.44658058345289336,0.7865188674445749
16,0.01,3.0764026641845703,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8800385498498705,0.46019076305220885,0.8047307557920765
17,0.01,2.4480762481689453,0.55,0.45274261603375526,0.6041666666666666,0.8514464712872732,0.43272151898734174,0.7693595767003787
18,0.01,2.3634138107299805,0.5,0.40465293668954994,0.5729166666666666,0.7730380588576343,0.3938215102974828,0.7536837016495035
19,0.01,2.4862754344940186,0.5,0.40465293668954994,0.5729166666666666,0.7673749097687775,0.3938215102974828,0.757080451213706
20,0.01,2.5193827152252197,0.55,0.45274261603375526,0.6041666666666666,0.7877807846852658,0.43272151898734174,0.7693290396710207
21,0.009999830837037664,2.1569857597351074,0.6,0.5047619047619047,0.5982142857142857,0.8096115809854018,0.4742857142857143,0.7621419788282996
22,0.009999323359712722,2.4719643592834473,0.6333333333333333,0.5557543231961837,0.6190476190476191,0.825718514102948,0.5045915324985092,0.7871075301794642
23,0.009998477602710573,2.3967888355255127,0.5666666666666667,0.46293639406982307,0.5773809523809524,0.8117002178028122,0.44658058345289336,0.7750193061219005
24,0.009997293623837585,2.1098384857177734,0.5666666666666667,0.47061403508771926,0.6145833333333334,0.8144929461262008,0.4459649122807018,0.7778392717956396
25,0.00999577150401714,2.185194253921509,0.6,0.5102821616451458,0.6354166666666666,0.852759023602184,0.4733142037302726,0.8166949719131322
26,0.009993911347284109,1.9714596271514893,0.6166666666666667,0.5229885057471265,0.5714285714285715,0.8764540785472389,0.48955938697318013,0.8566668634475239
27,0.009991713280777732,2.038506507873535,0.6,0.4967203339296362,0.5610119047619048,0.8626619602445075,0.4742397137745975,0.809427578885126
28,0.009989177454732934,2.0526845455169678,0.5666666666666667,0.47061403508771926,0.6145833333333334,0.8421084396909868,0.4459649122807018,0.8045340349290822
29,0.00998630404247006,1.9340643882751465,0.6666666666666666,0.6923605993613363,0.7544642857142857,0.9008564046889519,0.6439351510685334,0.8640483053808525
30,0.009983093240383016,1.8488478660583496,0.7333333333333333,0.7490082244799225,0.7906746031746031,0.8993042956781164,0.7267150459603291,0.895711245210066
