b_AD,b_CN,b_SMCI,correct_count,acc,bacc,macro_f1,bias_l2_norm
-1,-1,0,460,0.85501858736059477,0.77963361759554373,0.82195706016970094,1.4142135623730951
-1,-0.90000000000000002,0,462,0.85873605947955389,0.78317971688632382,0.82521642577536891,1.3453624047073711
-1,-0.80000000000000004,0,463,0.86059479553903351,0.78495276653171386,0.82683756862160607,1.2806248474865698
-1,-0.69999999999999996,0,466,0.86617100371747213,0.79087537446999934,0.83181318167497231,1.2206555615733703
-1,-0.59999999999999998,0,472,0.87732342007434949,0.80211713134445495,0.84139943990849198,1.1661903789690602
-1,-0.5,0,474,0.8810408921933085,0.80626668963735038,0.84460020243031109,1.1180339887498949
-1,-0.40000000000000002,0,477,0.88661710037174724,0.81218929757563574,0.8492860562012372,1.0770329614269007
-1,-0.29999999999999999,0,480,0.89219330855018586,0.81811190551392121,0.85389994532977564,1.0440306508910551
-1,-0.20000000000000001,0,483,0.89776951672862448,0.82343105445009135,0.85840661340933488,1.019803902718557
-1,-0.10000000000000001,0,488,0.90706319702602234,0.83229630267704169,0.86583990778251263,1.004987562112089
-1,-0,0,485,0.9014869888475836,0.82939098974933234,0.86150308729946878,1
-1,0.10000000000000001,0,487,0.90520446096654272,0.83414400704434299,0.86446801157537523,1.004987562112089
-1,0.20000000000000001,0,484,0.8996282527881041,0.83063523511451842,0.86014408274295284,1.019803902718557
-1,0.29999999999999999,0,482,0.89591078066914498,0.82889951283008401,0.85729305716320947,1.0440306508910551
-1,0.40000000000000002,0,482,0.89591078066914498,0.83010643083431435,0.85732731645521199,1.0770329614269007
-1,0.5,0,475,0.88289962825278812,0.82191929633139038,0.84737233305880277,1.1180339887498949
-1,0.59999999999999998,0,472,0.87732342007434949,0.81901398340368115,0.84315796004061905,1.1661903789690602
-1,0.69999999999999996,0,466,0.86617100371747213,0.81320335754826234,0.83477539163813674,1.2206555615733703
-1,0.80000000000000004,0,460,0.85501858736059477,0.8061858136886132,0.82639119001804084,1.2806248474865698
-1,0.90000000000000002,0,455,0.84572490706319703,0.80154477847646932,0.81947450736571703,1.3453624047073711
-1,1,0,447,0.83085501858736055,0.79218805333027065,0.80836969474972997,1.4142135623730951
-0.90000000000000002,-1,0,461,0.85687732342007439,0.78476182272374884,0.82626484662020572,1.3453624047073711
-0.90000000000000002,-0.90000000000000002,0,463,0.86059479553903351,0.78830792201452893,0.82952707418274596,1.2727922061357855
-0.90000000000000002,-0.80000000000000004,0,464,0.86245353159851301,0.79008097165991897,0.83114965810315378,1.2041594578792296
-0.90000000000000002,-0.69999999999999996,0,467,0.86802973977695164,0.79600357959820445,0.83613091801237438,1.1401754250991381
-0.90000000000000002,-0.59999999999999998,0,473,0.879182156133829,0.80724533647266006,0.84572748895684668,1.0816653826391969
-0.90000000000000002,-0.5,0,475,0.88289962825278812,0.81139489476555549,0.84893268661492216,1.0295630140987
-0.90000000000000002,-0.40000000000000002,0,478,0.88847583643122674,0.81731750270384085,0.8536246288539866,0.98488578017961048
-0.90000000000000002,-0.29999999999999999,0,481,0.89405204460966547,0.82324011064212632,0.85824474200864442,0.94868329805051377
-0.90000000000000002,-0.20000000000000001,0,484,0.8996282527881041,0.82855925957829646,0.86275629161964751,0.92195444572928875
-0.90000000000000002,-0.10000000000000001,0,489,0.90892193308550184,0.8374245078052468,0.8701978842332122,0.90553851381374173
