epoch,lr,loss,acc,macro_f1,bacc,macro_auc,weighted_f1
1,0.01,1.7429413795471191,0.95,0.9608711701734958,0.9632936507936508,0.9671537952787954,0.9501845699520117
2,0.01,0.516187846660614,0.95,0.9608711701734958,0.9632936507936508,0.9648516992266992,0.9501845699520117
3,0.01,0.2475738823413849,0.95,0.9608711701734958,0.9632936507936508,0.9676879833129833,0.9501845699520117
4,0.01,0.2059449851512909,0.95,0.9608711701734958,0.9632936507936508,0.9663270757020758,0.9501845699520117
5,0.01,0.20156151056289673,0.95,0.9608711701734958,0.9632936507936508,0.9796054639804641,0.9501845699520117
6,0.01,0.20137235522270203,0.95,0.9608711701734958,0.9632936507936508,0.9804194647944647,0.9501845699520117
7,0.01,0.2007485181093216,0.95,0.9608711701734958,0.9632936507936508,0.9828614672364674,0.9501845699520117
8,0.01,0.19946129620075226,0.95,0.9608711701734958,0.9632936507936508,0.9824544668294669,0.9501845699520117
9,0.01,0.19822216033935547,0.95,0.9608711701734958,0.9632936507936508,0.9816404660154662,0.9501845699520117
10,0.01,0.19752584397792816,0.95,0.9608711701734958,0.9632936507936508,0.9812334656084657,0.9501845699520117
11,0.01,0.19727477431297302,0.95,0.9608711701734958,0.9632936507936508,0.9849187271062272,0.9501845699520117
12,0.01,0.19742657244205475,0.95,0.9608711701734958,0.9632936507936508,0.9856627747252747,0.9501845699520117
13,0.01,0.1976858675479889,0.95,0.9608711701734958,0.9632936507936508,0.9864767755392756,0.9501845699520117
14,0.01,0.19751235842704773,0.95,0.9608711701734958,0.9632936507936508,0.9876977767602768,0.9501845699520117
15,0.01,0.19696414470672607,0.95,0.9608711701734958,0.9632936507936508,0.9865467287342288,0.9501845699520117
16,0.01,0.19646896421909332,0.95,0.9608711701734958,0.9632936507936508,0.9861397283272284,0.9501845699520117
17,0.01,0.19623249769210815,0.95,0.9608711701734958,0.9632936507936508,0.9901747557997558,0.9501845699520117
18,0.01,0.1961658000946045,0.95,0.9608711701734958,0.9632936507936508,0.992988782051282,0.9501845699520117
19,0.01,0.19611643254756927,0.95,0.9608711701734958,0.9632936507936508,0.9925817816442817,0.9501845699520117
20,0.01,0.19603464007377625,0.95,0.9608711701734958,0.9632936507936508,0.9925817816442817,0.9501845699520117
21,0.009999830837037664,0.19597473740577698,0.95,0.9608711701734958,0.9632936507936508,0.9929538054538055,0.9501845699520117
22,0.009999323359712722,0.19599460065364838,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
23,0.009998477602710573,0.19606272876262665,0.95,0.9608711701734958,0.9632936507936508,0.993360805860806,0.9501845699520117
24,0.009997293623837585,0.1960696280002594,0.95,0.9608711701734958,0.9632936507936508,0.9925468050468051,0.9501845699520117
25,0.00999577150401714,0.1959422081708908,0.95,0.9608711701734958,0.9632936507936508,0.9896978021978023,0.9501845699520117
26,0.009993911347284109,0.1957317590713501,0.95,0.9608711701734958,0.9632936507936508,0.9872557997557999,0.9501845699520117
27,0.009991713280777732,0.19555768370628357,0.95,0.9608711701734958,0.9632936507936508,0.9864767755392756,0.9501845699520117
28,0.009989177454732934,0.1954834759235382,0.95,0.9608711701734958,0.9632936507936508,0.9864767755392756,0.9501845699520117
29,0.00998630404247006,0.19548103213310242,0.95,0.9608711701734958,0.9632936507936508,0.9860697751322752,0.9501845699520117
30,0.009983093240383016,0.1954938769340515,0.95,0.9608711701734958,0.9632936507936508,0.9852557743182744,0.9501845699520117
31,0.009979545267925863,0.1954951286315918,0.95,0.9608711701734958,0.9632936507936508,0.984848773911274,0.9501845699520117
32,0.009975660367597807,0.19548872113227844,0.95,0.9608711701734958,0.9632936507936508,0.9836277726902728,0.9501845699520117
33,0.009971438804926623,0.19548580050468445,0.95,0.9608711701734958,0.9632936507936508,0.9840347730972732,0.9501845699520117
34,0.00996688086845051,0.1954898238182068,0.95,0.9608711701734958,0.9632936507936508,0.982813771876272,0.9501845699520117
35,0.009961986869698373,0.19549228250980377,0.95,0.9608711701734958,0.9632936507936508,0.9816977004477004,0.9501845699520117
36,0.009956757143168527,0.1954769641160965,0.95,0.9608711701734958,0.9632936507936508,0.9809186762311762,0.9501845699520117
37,0.009951192046305833,0.19543319940567017,0.95,0.9608711701734958,0.9632936507936508,0.9805116758241758,0.9501845699520117
38,0.009945291959477269,0.1953708529472351,0.95,0.9608711701734958,0.9632936507936508,0.9805116758241758,0.9501845699520117
39,0.009939057285945933,0.19531956315040588,0.95,0.9608711701734958,0.9632936507936508,0.982813771876272,0.9501845699520117
40,0.009932488451843476,0.19530615210533142,0.95,0.9608711701734958,0.9632936507936508,0.9835927960927963,0.9501845699520117
41,0.009925585906140986,0.19533023238182068,0.95,0.9608711701734958,0.9632936507936508,0.9868487993487994,0.9501845699520117
42,0.009918350120618293,0.1953638643026352,0.95,0.9608711701734958,0.9632936507936508,0.9901048026048027,0.9501845699520117
43,0.009910781589831726,0.1953762322664261,0.95,0.9608711701734958,0.9632936507936508,0.9925468050468051,0.9501845699520117
44,0.009902880831080306,0.1953589767217636,0.95,0.9608711701734958,0.9632936507936508,0.993360805860806,0.9501845699520117
45,0.009894648384370404,0.19532862305641174,0.95,0.9608711701734958,0.9632936507936508,0.993360805860806,0.9501845699520117
46,0.009886084812378817,0.19530823826789856,0.95,0.9608711701734958,0.9632936507936508,0.993360805860806,0.9501845699520117
47,0.009877190700414313,0.1953071653842926,0.95,0.9608711701734958,0.9632936507936508,0.992988782051282,0.9501845699520117
48,0.00986796665637763,0.19531646370887756,0.95,0.9608711701734958,0.9632936507936508,0.992988782051282,0.9501845699520117
49,0.009858413310719925,0.1953200101852417,0.95,0.9608711701734958,0.9632936507936508,0.993360805860806,0.9501845699520117
50,0.009848531316399685,0.19530978798866272,0.95,0.9608711701734958,0.9632936507936508,0.993360805860806,0.9501845699520117
51,0.009838321348838096,0.19529074430465698,0.95,0.9608711701734958,0.9632936507936508,0.993360805860806,0.9501845699520117
52,0.009827784105872876,0.19527383148670197,0.95,0.9608711701734958,0.9632936507936508,0.9921398046398048,0.9501845699520117
53,0.009816920307710586,0.19526636600494385,0.95,0.9608711701734958,0.9632936507936508,0.9913258038258039,0.9501845699520117
54,0.0098057306968774,0.19526803493499756,0.95,0.9608711701734958,0.9632936507936508,0.9905118030118031,0.9501845699520117
55,0.009794216038168352,0.195273295044899,0.95,0.9608711701734958,0.9632936507936508,0.9896978021978023,0.9501845699520117
56,0.009782377118595071,0.19527667760849,0.95,0.9608711701734958,0.9632936507936508,0.9888838013838015,0.9501845699520117
57,0.009770214747331984,0.19527599215507507,0.95,0.9608711701734958,0.9632936507936508,0.9884768009768011,0.9501845699520117
58,0.009757729755661011,0.19527238607406616,0.95,0.9608711701734958,0.9632936507936508,0.9884768009768011,0.9501845699520117
59,0.009744922996914747,0.19526782631874084,0.95,0.9608711701734958,0.9632936507936508,0.9886803011803013,0.9501845699520117
60,0.00973179534641814,0.19526362419128418,0.95,0.9608711701734958,0.9632936507936508,0.9892908017908019,0.9501845699520117
61,0.009718347701428667,0.19526046514511108,0.95,0.9608711701734958,0.9632936507936508,0.9901048026048027,0.9501845699520117
62,0.009704580981074998,0.19525891542434692,0.95,0.9608711701734958,0.9632936507936508,0.9909188034188036,0.9501845699520117
63,0.009690496126294182,0.19525915384292603,0.95,0.9608711701734958,0.9632936507936508,0.9909188034188036,0.9501845699520117
64,0.009676094099767331,0.19526028633117676,0.95,0.9608711701734958,0.9632936507936508,0.9913258038258039,0.9501845699520117
65,0.009661375885853831,0.1952606439590454,0.95,0.9608711701734958,0.9632936507936508,0.9917328042328043,0.9501845699520117
66,0.00964634249052405,0.19525912404060364,0.95,0.9608711701734958,0.9632936507936508,0.9921398046398048,0.9501845699520117
67,0.009630994941290591,0.19525645673274994,0.95,0.9608711701734958,0.9632936507936508,0.9921398046398048,0.9501845699520117
68,0.009615334287138054,0.19525443017482758,0.95,0.9608711701734958,0.9632936507936508,0.9925468050468051,0.9501845699520117
69,0.00959936159845135,0.19525447487831116,0.95,0.9608711701734958,0.9632936507936508,0.9925468050468051,0.9501845699520117
70,0.009583077966942534,0.19525612890720367,0.95,0.9608711701734958,0.9632936507936508,0.9925468050468051,0.9501845699520117
71,0.009566484505576189,0.19525763392448425,0.95,0.9608711701734958,0.9632936507936508,0.9925468050468051,0.9501845699520117
72,0.009549582348493355,0.1952572613954544,0.95,0.9608711701734958,0.9632936507936508,0.9925468050468051,0.9501845699520117
73,0.009532372650934018,0.19525475800037384,0.95,0.9608711701734958,0.9632936507936508,0.9929538054538055,0.9501845699520117
74,0.009514856589158148,0.19525134563446045,0.95,0.9608711701734958,0.9632936507936508,0.9929538054538055,0.9501845699520117
75,0.009497035360365296,0.19524839520454407,0.95,0.9608711701734958,0.9632936507936508,0.9929538054538055,0.9501845699520117
76,0.00947891018261278,0.19524645805358887,0.95,0.9608711701734958,0.9632936507936508,0.9929538054538055,0.9501845699520117
77,0.00946048229473242,0.19524520635604858,0.95,0.9608711701734958,0.9632936507936508,0.9929538054538055,0.9501845699520117
78,0.009441752956245879,0.19524416327476501,0.95,0.9608711701734958,0.9632936507936508,0.9929538054538055,0.9501845699520117
79,0.009422723447278559,0.1952432096004486,0.95,0.9608711701734958,0.9632936507936508,0.9929538054538055,0.9501845699520117
80,0.00940339506847212,0.19524246454238892,0.95,0.9608711701734958,0.9632936507936508,0.9929538054538055,0.9501845699520117
81,0.009383769140895582,0.19524222612380981,0.95,0.9608711701734958,0.9632936507936508,0.9929538054538055,0.9501845699520117
82,0.009363847005955023,0.19524243474006653,0.95,0.9608711701734958,0.9632936507936508,0.9929538054538055,0.9501845699520117
83,0.009343630025301902,0.1952427327632904,0.95,0.9608711701734958,0.9632936507936508,0.9929538054538055,0.9501845699520117
84,0.00932311958073999,0.19524283707141876,0.95,0.9608711701734958,0.9632936507936508,0.9929538054538055,0.9501845699520117
85,0.009302317074130931,0.1952427327632904,0.95,0.9608711701734958,0.9632936507936508,0.9929538054538055,0.9501845699520117
86,0.009281223927298419,0.19524237513542175,0.95,0.9608711701734958,0.9632936507936508,0.9929538054538055,0.9501845699520117
87,0.009259841581931017,0.1952417641878128,0.95,0.9608711701734958,0.9632936507936508,0.993360805860806,0.9501845699520117
88,0.00923817149948363,0.1952408403158188,0.95,0.9608711701734958,0.9632936507936508,0.993360805860806,0.9501845699520117
89,0.00921621516107761,0.19523967802524567,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
90,0.009193974067399517,0.19523845613002777,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
91,0.009171449738598562,0.1952374130487442,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
92,0.009148643714182699,0.19523662328720093,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
93,0.009125557552913402,0.19523608684539795,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
94,0.009102192832699127,0.19523562490940094,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
95,0.009078551150487465,0.19523511826992035,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
96,0.00905463412215599,0.1952345222234726,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
97,0.009030443382401818,0.19523397088050842,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
98,0.009005980584629878,0.19523347914218903,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
99,0.008981247400839902,0.1952330470085144,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
100,0.00895624552151215,0.19523261487483978,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
101,0.008930976655491857,0.195232093334198,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
102,0.008905442529872458,0.19523151218891144,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
103,0.008879644889877513,0.19523084163665771,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
104,0.008853585498741453,0.195230171084404,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
105,0.008827266137589043,0.19522950053215027,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
106,0.008800688605313658,0.19522881507873535,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
107,0.008773854718454323,0.19522812962532043,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
108,0.008746766311071562,0.19522744417190552,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
109,0.008719425234622036,0.1952267736196518,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
110,0.008691833357832001,0.19522616267204285,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
111,0.008663992566569587,0.1952255815267563,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
112,0.00863590476371589,0.19522501528263092,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
113,0.008607571869034929,0.19522449374198914,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
114,0.008578995819042416,0.19522397220134735,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
115,0.00855017856687341,0.19522348046302795,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
116,0.00852112208214882,0.19522297382354736,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
117,0.008491828350840775,0.1952223926782608,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
118,0.0084622993751369,0.19522179663181305,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
119,0.008432537173303462,0.1952211856842041,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
120,0.00840254377954742,0.19522054493427277,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
121,0.008372321243877393,0.19521993398666382,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
122,0.00834187163196355,0.19521935284137726,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
123,0.008311197024996417,0.19521880149841309,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
124,0.008280299519544634,0.1952182501554489,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
125,0.008249181227411657,0.19521772861480713,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
126,0.008217844275491416,0.19521725177764893,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
127,0.008186290805622951,0.19521676003932953,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
128,0.008154522974444009,0.19521626830101013,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
129,0.008122542953243656,0.19521580636501312,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
