epoch,lr,train_loss,test_loss,acc,macro_f1,bacc,macro_auc,weighted_f1
1,0.01,3.2740120887756348,3.5599589347839355,0.35,0.1728395061728395,0.3333333333333333,0.7028961825263272,0.18148148148148147
2,0.01,3.2051007747650146,5.1315436363220215,0.35,0.1728395061728395,0.3333333333333333,0.7211032540565355,0.18148148148148147
3,0.01,4.704227447509766,4.731776237487793,0.26666666666666666,0.1568627450980392,0.17204301075268816,0.7278513428749802,0.24313725490196078
