fold,best_epoch,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,elapsed_seconds
0,81,53,0.8833333333333333,0.8645502645502646,0.8526625704045059,0.9620160730074523,0.8825925925925925,42.58417129982263
1,126,56,0.9333333333333333,0.9156746031746031,0.9156746031746031,0.9591638925365341,0.9333333333333333,42.591285799629986
2,167,58,0.9666666666666667,0.9737103174603176,0.9737103174603176,0.9755132020757021,0.9666666666666667,42.7982631996274
3,125,55,0.9166666666666666,0.9161500191350939,0.8943452380952381,0.9696180555555555,0.9162246460007655,44.84485499979928
4,76,55,0.9166666666666666,0.8682696530522618,0.8253968253968255,0.9416302382104268,0.912034475186649,44.18927569966763
5,53,54,0.9,0.8807852965747703,0.8412698412698413,0.9541944559633239,0.8979991645781119,44.48225279990584
6,115,57,0.95,0.9602251407129456,0.9578373015873015,0.972327152014652,0.9497748592870544,41.809904399793595
7,48,55,0.9166666666666666,0.9026701119724375,0.9052579365079364,0.9691384622103962,0.9165866863541282,42.65295389993116
8,83,52,0.8813559322033898,0.8351851851851851,0.840757808499744,0.9363156650932541,0.8842749529190206,43.210822499822825
9,85,55,0.9322033898305084,0.9111240856971407,0.9201612903225805,0.9888726127340929,0.9334816064626633,42.29171930020675
