fold,best_epoch,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,elapsed_seconds
0,183,54,0.9,0.8685711091234346,0.8376216077828981,0.9422104128722593,0.8963746645796065,49.16015570005402
1,251,54,0.9,0.8683836488714537,0.8521825396825397,0.9551475232489383,0.8989823184945135,45.84455129969865
2,61,57,0.95,0.9608711701734958,0.9632936507936508,0.9857677045177046,0.9501845699520117,45.047075499780476
3,61,55,0.9166666666666666,0.9347852836224929,0.9370039682539683,0.9834783272283273,0.916974283253353,44.71237100008875
4,80,54,0.9,0.8823953823953824,0.8521825396825397,0.9490596754747699,0.8987373737373737,42.88792929984629
5,194,56,0.9333333333333333,0.9081699346405229,0.873015873015873,0.9912472714654319,0.9316830065359477,44.98951600026339
6,134,55,0.9166666666666666,0.9176009176009176,0.9052579365079364,0.9687213827838828,0.9168794168794169,42.16374799981713
7,346,55,0.9166666666666666,0.8951785786514582,0.8625992063492064,0.943428863240184,0.915144804433119,42.34329940006137
8,166,53,0.8983050847457628,0.856845238095238,0.851510496671787,0.9615223957329221,0.8990466101694916,44.39549130015075
9,84,53,0.8983050847457628,0.9048693067575838,0.8927419354838709,0.9680739458728073,0.8987735979054706,41.584412400145084
