epoch,lr,original_loss,utility_loss_unweighted,utility_loss_weighted,total_loss,adapter_gradient_norm,router_gradient_norm,global_gradient_norm,utility_valid_count,acc,macro_f1,bacc,macro_auc,weighted_f1
1,0.01,3.315274477005005,0.0,0.0,3.315274477005005,0.12935160100460052,0.0,2.903535842895508,0,0.35,0.1728395061728395,0.3333333333333333,0.6784116041191512,0.18148148148148147
2,0.01,2.932307004928589,0.0,0.0,2.932307004928589,0.09794917702674866,0.0006602778448723257,0.5307654738426208,0,0.35,0.1728395061728395,0.3333333333333333,0.5758938170494774,0.18148148148148147
3,0.01,5.758355140686035,0.0,0.0,5.758355140686035,0.6041632294654846,0.02859685570001602,0.24521465599536896,0,0.4,0.2219883040935672,0.25545634920634924,0.5022639997581035,0.34553216374269
4,0.01,3.4520750045776367,0.0,0.0,3.4520750045776367,0.20093533396720886,0.005154173355549574,0.1567145138978958,0,0.5333333333333333,0.24242424242424243,0.3333333333333333,0.6577520138840893,0.3878787878787879
5,0.01,3.978717088699341,0.0,0.0,3.978717088699341,0.1028306633234024,0.0009944168850779533,0.11928074061870575,0,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.7239433947865551,0.3710144927536232
6,0.01,2.925933361053467,0.0,0.0,2.925933361053467,0.07150493562221527,0.0005957465618848801,0.0851864293217659,0,0.55,0.45274261603375526,0.6041666666666666,0.8699965467359334,0.43272151898734174
7,0.01,3.105469226837158,0.0,0.0,3.105469226837158,0.1413913518190384,0.0021775176282972097,0.07189899682998657,0,0.5666666666666667,0.47061403508771926,0.6145833333333334,0.8630475427350429,0.4459649122807018
8,0.01,2.7961959838867188,0.0,0.0,2.7961959838867188,0.10805331915616989,0.0020654883701354265,0.10699541121721268,0,0.6166666666666667,0.5326305220883535,0.6458333333333334,0.8814166157916158,0.4876255020080321
9,0.01,4.5691819190979,0.0,0.0,4.5691819190979,0.3979821503162384,0.008355764672160149,0.2470884919166565,0,0.6333333333333333,0.5571428571428572,0.65625,0.9056331400081401,0.5025396825396825
10,0.01,3.8252899646759033,0.0,0.0,3.8252899646759033,0.24855859577655792,0.004091734066605568,0.13319505751132965,0,0.6333333333333333,0.5571428571428572,0.65625,0.9095632376882378,0.5025396825396825
11,0.01,2.6837282180786133,0.0,0.0,2.6837282180786133,0.03725438565015793,0.00039737712359055877,0.07315380871295929,0,0.6333333333333333,0.5571428571428572,0.65625,0.9134011243386243,0.5025396825396825
12,0.01,3.044166088104248,0.0,0.0,3.044166088104248,0.22218137979507446,0.00203530490398407,0.06221802532672882,0,0.6333333333333333,0.5571428571428572,0.65625,0.9142501017501017,0.5025396825396825
13,0.01,2.5930540561676025,0.0,0.0,2.5930540561676025,0.09334472566843033,0.0005856712814420462,0.05751950293779373,0,0.6333333333333333,0.5571428571428572,0.65625,0.9076458842083842,0.5025396825396825
14,0.01,2.3380539417266846,0.0,0.0,2.3380539417266846,0.028673972934484482,0.0002873383346013725,0.0834408774971962,0,0.6333333333333333,0.5571428571428572,0.65625,0.9095060032560033,0.5025396825396825
15,0.01,2.287121295928955,0.0,0.0,2.287121295928955,0.020194657146930695,0.0001241663412656635,0.15782460570335388,0,0.6333333333333333,0.5571428571428572,0.65625,0.9006346662596663,0.5025396825396825
