metric,mean,std,min,max,oof
acc,0.9248022598870056,0.028556948482667023,0.8833333333333333,0.9661016949152542,0.9247491638795987
macro_f1,0.9137414158262962,0.03447601176139156,0.8645502645502646,0.9602251407129456,0.9138656552532017
bacc,0.9087765616999487,0.035203632763032004,0.8725038402457758,0.9578373015873015,0.9082063928901053
macro_auc,0.9681174047897876,0.02069159606342394,0.9270539961872509,0.9912822480629084,0.9571291149332602
weighted_f1,0.9243583916466859,0.028215287665923492,0.8832145090681676,0.9661016949152542,0.9246314265285625
