arm,parameters,acc,macro_f1,bacc,probability_macro_auc,weighted_f1,total_runtime_seconds,selected
R,785187,0.9264214046822743,0.9173925746134484,0.9158707558176261,0.9554113207925274,0.9264253620482513,439.4106333004311,True
G,787761,0.9113712374581939,0.9012124672009015,0.9017421852595354,0.9551039097092732,0.9114148324436635,480.7035007001832,False
RG,794697,0.9147157190635451,0.9053637238764819,0.8988625113272298,0.9531526234144164,0.914550335110834,503.5617605994921,False
