epoch,lr,loss,ema_updated,ema_used_for_selection,acc,macro_f1,bacc,macro_auc,weighted_f1
1,0.01,3.174669027328491,False,False,0.35,0.1728395061728395,0.3333333333333333,0.7641726612835104,0.18148148148148147
2,0.01,4.568793296813965,False,False,0.35,0.1728395061728395,0.3333333333333333,0.6892041342218228,0.18148148148148147
3,0.01,4.923379898071289,False,False,0.35,0.1728395061728395,0.3333333333333333,0.7019171974950278,0.18148148148148147
4,0.01,6.7217535972595215,False,False,0.35,0.18918918918918917,0.21875,0.5456034836931063,0.30270270270270266
5,0.01,4.700904846191406,False,False,0.5166666666666667,0.41991341991341996,0.5833333333333334,0.720980583008885,0.4067099567099567
6,0.01,2.9687576293945312,False,False,0.5166666666666667,0.41991341991341996,0.5833333333333334,0.7551636376813263,0.4067099567099567
7,0.01,2.659480571746826,False,False,0.55,0.4444444444444444,0.5669642857142857,0.7978037096551248,0.43333333333333335
8,0.01,3.008720874786377,False,False,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8367235435336849,0.46019076305220885
9,0.01,2.9773850440979004,False,False,0.5166666666666667,0.4109704641350211,0.5461309523809524,0.8256609796998949,0.40755274261603375
10,0.01,2.4683499336242676,False,False,0.5166666666666667,0.4109704641350211,0.5461309523809524,0.839642499577641,0.40755274261603375
11,0.01,2.560544967651367,False,False,0.5,0.4883203032456764,0.6502976190476191,0.848893599630628,0.38860933428097605
12,0.01,2.4624459743499756,False,False,0.55,0.547008547008547,0.6815476190476191,0.8546965351210635,0.4752136752136752
13,0.01,2.2625975608825684,False,False,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8781426142864822,0.46019076305220885
14,0.01,2.308873176574707,False,False,0.5166666666666667,0.41991341991341996,0.5833333333333334,0.8493755327481742,0.4067099567099567
15,0.01,2.2330269813537598,False,False,0.55,0.45274261603375526,0.6041666666666666,0.8661515807742223,0.43272151898734174
16,0.01,2.258295774459839,False,False,0.5666666666666667,0.46293639406982307,0.5773809523809524,0.8774462620276299,0.44658058345289336
17,0.01,2.1703450679779053,False,False,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8712985400780212,0.46019076305220885
18,0.01,2.5970983505249023,False,False,0.6,0.5047619047619047,0.5982142857142857,0.8815548423449368,0.4742857142857143
19,0.01,2.782841920852661,False,False,0.6,0.5047619047619047,0.5982142857142857,0.8783687922838866,0.4742857142857143
20,0.01,2.2890892028808594,True,False,0.6666666666666666,0.6555555555555556,0.7152777777777777,0.8741638613395689,0.6392592592592592
21,0.009999830837037664,2.243239402770996,True,True,0.5166666666666667,0.5219886702444843,0.5808531746031745,0.7927408021747645,0.464188282647585
22,0.009999323359712722,2.381959915161133,True,True,0.4666666666666667,0.455496137849079,0.6294642857142857,0.7846816661675152,0.32467617349970285
23,0.009998477602710573,2.336355686187744,True,True,0.45,0.43247721623860813,0.6190476190476191,0.7821746900461523,0.28939519469759734
24,0.009997293623837585,2.036760091781616,True,True,0.45,0.4222222222222222,0.6190476190476191,0.7672237844702469,0.28777777777777774
25,0.00999577150401714,2.176697254180908,True,True,0.45,0.4222222222222222,0.6190476190476191,0.7625128627487118,0.28777777777777774
26,0.009993911347284109,2.1109328269958496,True,True,0.45,0.4222222222222222,0.6190476190476191,0.7558309527649151,0.28777777777777774
27,0.009991713280777732,2.1336984634399414,True,True,0.45,0.4222222222222222,0.6190476190476191,0.7521747284424171,0.28777777777777774
28,0.009989177454732934,1.945096492767334,True,True,0.45,0.4222222222222222,0.6190476190476191,0.7527915884342771,0.28777777777777774
29,0.00998630404247006,1.9752297401428223,True,True,0.45,0.4222222222222222,0.6190476190476191,0.7522796582348469,0.28777777777777774
30,0.009983093240383016,1.963028907775879,True,True,0.45,0.4222222222222222,0.6190476190476191,0.7416676505709526,0.28777777777777774
31,0.009979545267925863,1.8756096363067627,True,True,0.45,0.41342486651411137,0.6190476190476191,0.734241692968108,0.2867276887871854
32,0.009975660367597807,1.8352361917495728,True,True,0.45,0.41342486651411137,0.6190476190476191,0.7242338265333549,0.2867276887871854
33,0.009971438804926623,2.2327940464019775,True,True,0.45,0.41342486651411137,0.6190476190476191,0.7210127998748282,0.2867276887871854
34,0.00996688086845051,1.7634806632995605,True,True,0.45,0.41342486651411137,0.6190476190476191,0.7300463010958295,0.2867276887871854
35,0.009961986869698373,1.784670114517212,True,True,0.45,0.41342486651411137,0.6190476190476191,0.7376693995208146,0.2867276887871854
36,0.009956757143168527,1.7367839813232422,True,True,0.45,0.41342486651411137,0.6190476190476191,0.7523532110796262,0.2867276887871854
37,0.009951192046305833,1.6888740062713623,True,True,0.48333333333333334,0.46074276600592395,0.6398809523809524,0.7681880706644858,0.3573638642059695
38,0.009945291959477269,1.7396533489227295,True,True,0.5,0.4814664867296447,0.6502976190476191,0.7861074274694557,0.3887269455690508
39,0.009939057285945933,1.7636439800262451,True,True,0.5166666666666667,0.5013483878615458,0.6607142857142857,0.790354114351756,0.4186870258416311
40,0.009932488451843476,1.602779746055603,True,True,0.5333333333333333,0.52046783625731,0.6711309523809524,0.8027485486211902,0.4473684210526315
41,0.009925585906140986,1.718389630317688,True,True,0.6333333333333333,0.6302681992337165,0.7336309523809524,0.8088758125609541,0.5978927203065134
42,0.009918350120618293,1.647428274154663,True,True,0.65,0.6456140350877192,0.7440476190476191,0.8099773654018937,0.6201169590643275
43,0.009910781589831726,1.5222870111465454,True,True,0.6,0.6157407407407407,0.6800595238095237,0.8122444848565132,0.592824074074074
44,0.009902880831080306,1.5136044025421143,True,True,0.5833333333333334,0.6003591293303552,0.6532738095238094,0.8132129106480521,0.5804712477554417
45,0.009894648384370404,1.3907109498977661,True,True,0.6333333333333333,0.633954678362573,0.6790674603174603,0.814026911462053,0.6304093567251462
46,0.009886084812378817,1.3402763605117798,True,True,0.65,0.6367025683512842,0.6731150793650794,0.8171430083281498,0.6329397956365644
47,0.009877190700414313,1.2616485357284546,True,True,0.6,0.5621297251844207,0.6200396825396824,0.8175500087351502,0.5509689255819287
48,0.00986796665637763,1.320338249206543,True,True,0.6,0.5388888888888889,0.6091269841269841,0.8187360333586748,0.5191666666666667
49,0.009858413310719925,1.3293371200561523,True,True,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.821564578197833,0.46019076305220885
50,0.009848531316399685,1.2226991653442383,True,True,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8231226266308814,0.46019076305220885
51,0.009838321348838096,1.2667652368545532,True,True,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8246107218689765,0.46019076305220885
52,0.009827784105872876,1.0890257358551025,True,True,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8272848417305965,0.46019076305220885
53,0.009816920307710586,1.0295720100402832,True,True,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8295519611852159,0.46019076305220885
54,0.0098057306968774,0.9534193873405457,True,True,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8303309854017402,0.46019076305220885
55,0.009794216038168352,0.9700909852981567,True,True,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8327030346487895,0.46019076305220885
56,0.009782377118595071,0.9372690320014954,True,True,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.838507769964138,0.46019076305220885
57,0.009770214747331984,0.8652932047843933,True,True,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8419958906397585,0.46019076305220885
58,0.009757729755661011,0.7864171266555786,True,True,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8470420597484276,0.46019076305220885
