epoch,masked_modality_index,masked_modality_name,lr,loss,loss_shared,loss_private
1,0,MRI,9.999383162408304e-05,1.499361515045166,0.9555685520172119,1.0875858068466187
2,1,PET,9.997532801828658e-05,1.4649699926376343,0.9372074007987976,1.0555251836776733
3,2,CSF,9.994449374809851e-05,1.456611156463623,0.9235557317733765,1.0661108493804932
4,3,Risk,9.990133642141359e-05,1.4175641536712646,0.9052329063415527,1.0246624946594238
5,4,COG,9.98458666866564e-05,1.3896719217300415,0.8855723738670349,1.0081990957260132
6,5,ROI,9.9778098230154e-05,1.402483344078064,0.888859212398529,1.0272482633590698
7,0,MRI,9.9698047772759e-05,1.3432354927062988,0.8383989334106445,1.0096732378005981
8,1,PET,9.96057350657239e-05,1.3190866708755493,0.8301159739494324,0.9779413342475891
9,2,CSF,9.950118288582787e-05,1.3119275569915771,0.8136727213859558,0.9965095520019531
10,3,Risk,9.938441702975689e-05,1.2749159336090088,0.7996804118156433,0.9504711031913757
11,4,COG,9.925546630773869e-05,1.2552236318588257,0.7880545854568481,0.9343380928039551
12,5,ROI,9.911436253643444e-05,1.2626264095306396,0.7863359451293945,0.9525809288024902
13,0,MRI,9.896114053108829e-05,1.2153664827346802,0.7464339137077332,0.9378650784492493
14,1,PET,9.879583809693738e-05,1.1912004947662354,0.7382606863975525,0.9058796167373657
15,2,CSF,9.861849601988384e-05,1.1865736246109009,0.7218582630157471,0.9294307827949524
16,3,Risk,9.842915805643157e-05,1.1513738632202148,0.710731029510498,0.8812857866287231
17,4,COG,9.822787092288992e-05,1.1293420791625977,0.6999379396438599,0.8588083386421204
18,5,ROI,9.801468428384718e-05,1.1419949531555176,0.7027046084403992,0.8785806894302368
19,0,MRI,9.778965073991652e-05,1.0998163223266602,0.6671633720397949,0.8653058409690857
20,1,PET,9.75528258147577e-05,1.0772753953933716,0.6597365736961365,0.835077702999115
21,2,CSF,9.730426794137729e-05,1.0770578384399414,0.6451197862625122,0.8638760447502136
22,3,Risk,9.70440384477113e-05,1.0395700931549072,0.6338465213775635,0.8114471435546875
23,4,COG,9.67722015414934e-05,1.0205906629562378,0.6263812780380249,0.788418710231781
24,5,ROI,9.64888242944126e-05,1.033597469329834,0.6290423274040222,0.8091103434562683
25,0,MRI,9.619397662556436e-05,0.9973576664924622,0.5985370874404907,0.7976411581039429
26,1,PET,9.588773128419907e-05,0.9716510772705078,0.588353157043457,0.7665958404541016
27,2,CSF,9.557016383177228e-05,0.9759154319763184,0.5755281448364258,0.8007745742797852
28,3,Risk,9.524135262330099e-05,0.9394791722297668,0.5645807385444641,0.7497968673706055
29,4,COG,9.49013787880308e-05,0.9266384840011597,0.5651925206184387,0.7228919267654419
30,5,ROI,9.455032620941841e-05,0.9389467239379883,0.568101167678833,0.7416910529136658
31,0,MRI,9.418828150443471e-05,0.9046735763549805,0.537642240524292,0.7340627312660217
32,1,PET,9.381533400219321e-05,0.8795583248138428,0.5275347232818604,0.7040472626686096
33,2,CSF,9.343157572190959e-05,0.8818974494934082,0.5119022727012634,0.7399904131889343
34,3,Risk,9.303710135019721e-05,0.8511065244674683,0.5067527294158936,0.6887075901031494
35,4,COG,9.263200821770464e-05,0.837712287902832,0.5089231729507446,0.6575782895088196
36,5,ROI,9.221639627510079e-05,0.8514350652694702,0.5137765407562256,0.6753170490264893
37,0,MRI,9.179036806841354e-05,0.8176155090332031,0.4814298152923584,0.6723713278770447
38,1,PET,9.135402871372811e-05,0.7947800159454346,0.4728289246559143,0.6439021229743958
39,2,CSF,9.09074858712512e-05,0.8013668656349182,0.4617987275123596,0.6791362762451172
40,3,Risk,9.04508497187474e-05,0.7735371589660645,0.4576649069786072,0.6317445635795593
41,4,COG,8.998423292435457e-05,0.7610822916030884,0.4627715051174164,0.5966216325759888
42,5,ROI,8.950775061878454e-05,0.7754917144775391,0.469002902507782,0.6129776835441589
43,0,MRI,8.902152036691651e-05,0.7412726879119873,0.43404072523117065,0.6144639849662781
44,1,PET,8.852566213878949e-05,0.7191656827926636,0.42613232135772705,0.5860666632652283
45,2,CSF,8.802029828000158e-05,0.7304979562759399,0.4192596673965454,0.6224765181541443
46,3,Risk,8.750555348152301e-05,0.7012671232223511,0.4126863479614258,0.5771614909172058
47,4,COG,8.698155474893051e-05,0.6856503486633301,0.4176645278930664,0.5359715819358826
48,5,ROI,8.64484313710706e-05,0.7058560848236084,0.42893898487091064,0.5538342595100403
49,0,MRI,8.590631488815948e-05,0.6737452745437622,0.39484724402427673,0.5577960014343262
50,1,PET,8.53553390593274e-05,0.6549993753433228,0.38793641328811646,0.5341259241104126
51,2,CSF,8.479563982961574e-05,0.6624032258987427,0.3783641755580902,0.5680781602859497
52,3,Risk,8.422735529643446e-05,0.638619601726532,0.37455981969833374,0.5281195640563965
53,4,COG,8.365062567548869e-05,0.6258193254470825,0.38391050696372986,0.48381757736206055
54,5,ROI,8.306559326618262e-05,0.646041214466095,0.3968968391418457,0.49828872084617615
55,0,MRI,8.24724024165092e-05,0.6133742332458496,0.3594300150871277,0.5078884959220886
56,1,PET,8.187119948743451e-05,0.5975635647773743,0.35422295331954956,0.486681193113327
57,2,CSF,8.126213281678528e-05,0.6046047210693359,0.34582948684692383,0.517550528049469
