epoch,lr,original_loss,utility_loss_unweighted,utility_loss_weighted,total_loss,adapter_gradient_norm,router_gradient_norm,global_gradient_norm,utility_valid_count,acc,macro_f1,bacc,macro_auc,weighted_f1
1,0.01,3.299787998199463,0.0,0.0,3.299787998199463,0.12957248091697693,0.0,2.937988519668579,0,0.35,0.1728395061728395,0.3333333333333333,0.7816167443231122,0.18148148148148147
2,0.01,2.9068360328674316,0.0,0.0,2.9068360328674316,0.09254487603902817,0.0,0.5830771327018738,0,0.35,0.1728395061728395,0.3333333333333333,0.7219788858939801,0.18148148148148147
3,0.01,5.761046409606934,0.0,0.0,5.761046409606934,0.5984156131744385,0.0,0.2414703667163849,0,0.31666666666666665,0.18693244739756365,0.2033730158730159,0.541826731095599,0.2905647840531561
4,0.01,4.425622940063477,0.0,0.0,4.425622940063477,0.2509106397628784,0.0,0.14963729679584503,0,0.48333333333333334,0.23577235772357721,0.3020833333333333,0.5540444825527372,0.37723577235772354
5,0.01,5.63649320602417,0.0,0.0,5.63649320602417,0.6915022134780884,0.0,0.12733988463878632,0,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5700651440627856,0.3710144927536232
6,0.01,5.435002326965332,0.0,0.0,5.435002326965332,0.11900407075881958,0.0,0.10631907731294632,0,0.5833333333333334,0.48971193415637854,0.625,0.750475273765368,0.45946502057613164
7,0.01,3.3337135314941406,0.0,0.0,3.3337135314941406,0.10501980781555176,0.0,0.10438776761293411,0,0.5833333333333334,0.48971193415637854,0.625,0.7998916865367338,0.45946502057613164
8,0.01,8.470173835754395,0.0,0.0,8.470173835754395,0.43221190571784973,0.0,0.08438839763402939,0,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.7742120846484054,0.46019076305220885
9,0.01,3.946977376937866,0.0,0.0,3.946977376937866,0.33160293102264404,0.0,0.0809488520026207,0,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.7876758548928361,0.46019076305220885
10,0.01,2.629891872406006,0.0,0.0,2.629891872406006,0.09279122203588486,0.0,0.08194072544574738,0,0.5833333333333334,0.47338935574229696,0.5505952380952381,0.7961914864921941,0.4598039215686275
11,0.01,5.6092095375061035,0.0,0.0,5.6092095375061035,1.3487977981567383,0.0,0.06058125197887421,0,0.6,0.4967203339296362,0.5610119047619048,0.7899660721005061,0.4742397137745975
12,0.01,4.886392116546631,0.0,0.0,4.886392116546631,0.9717159271240234,0.0,0.09850996732711792,0,0.6,0.4967203339296362,0.5610119047619048,0.79715397286152,0.4742397137745975
13,0.01,3.7765390872955322,0.0,0.0,3.7765390872955322,0.2665084898471832,0.0,0.07979679107666016,0,0.48333333333333334,0.5091489105573613,0.6026785714285715,0.8014910709486182,0.38567473215360537
14,0.01,3.0813145637512207,0.0,0.0,3.0813145637512207,0.2346222698688507,0.0,0.07744993269443512,0,0.48333333333333334,0.5091489105573613,0.6026785714285715,0.8202176492270832,0.38567473215360537
15,0.01,3.0562667846679688,0.0,0.0,3.0562667846679688,0.4160001277923584,0.0,0.08435710519552231,0,0.5,0.5294842457313853,0.6130952380952381,0.8250666775136115,0.4150677697588453
16,0.01,3.1456544399261475,0.0,0.0,3.1456544399261475,0.23133888840675354,0.0,0.11981124430894852,0,0.65,0.6786791639732818,0.6959325396825397,0.8182575799026269,0.6409690799396682
17,0.01,2.6426029205322266,0.0,0.0,2.6426029205322266,0.18635843694210052,0.0,0.07440111041069031,0,0.6,0.4967203339296362,0.5610119047619048,0.8182925565001037,0.4742397137745975
18,0.01,2.7540535926818848,0.0,0.0,2.7540535926818848,0.08337009698152542,0.0,0.08587028086185455,0,0.6,0.4967203339296362,0.5610119047619048,0.817548508881056,0.4742397137745975
19,0.01,2.8336548805236816,0.0,0.0,2.8336548805236816,0.1275985687971115,0.0,0.05312914773821831,0,0.5833333333333334,0.4597701149425288,0.5133928571428571,0.8184256835495042,0.4578544061302682
20,0.01,2.3827826976776123,0.0,0.0,2.3827826976776123,0.10216666758060455,0.0,0.14686179161071777,0,0.5833333333333334,0.47338935574229696,0.5505952380952381,0.824390783264604,0.4598039215686275
21,0.009999830837037664,3.2676968574523926,0.0,0.0,3.2676968574523926,0.370252788066864,0.0,0.16463664174079895,0,0.6,0.5047619047619047,0.5982142857142857,0.8264607618970827,0.4742857142857143
22,0.009999323359712722,3.9483160972595215,0.0,0.0,3.9483160972595215,0.39154326915740967,0.0,0.21112073957920074,0,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8298644107901184,0.46019076305220885
23,0.009998477602710573,3.136103391647339,0.0,0.0,3.136103391647339,0.241110160946846,0.0,0.1867702305316925,0,0.6,0.5047619047619047,0.5982142857142857,0.8325735072492148,0.4742857142857143
24,0.009997293623837585,2.2523298263549805,0.0,0.0,2.2523298263549805,0.01207690965384245,0.0,0.15804727375507355,0,0.5666666666666667,0.38518518518518513,0.42857142857142855,0.807451731095599,0.4311111111111111
25,0.00999577150401714,2.9327425956726074,0.0,0.0,2.9327425956726074,0.11308339238166809,0.0,1.1325340270996094,0,0.5833333333333334,0.43970037453183525,0.4761904761904762,0.8261296541072486,0.4535205992509363
26,0.009993911347284109,3.190707206726074,0.0,0.0,3.190707206726074,0.13633489608764648,0.0,0.3745684325695038,0,0.6,0.5047619047619047,0.5982142857142857,0.8478886973875182,0.4742857142857143
27,0.009991713280777732,2.7931361198425293,0.0,0.0,2.7931361198425293,0.0800466313958168,0.0,0.13351434469223022,0,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8364054544773883,0.46019076305220885
28,0.009989177454732934,2.4581756591796875,0.0,0.0,2.4581756591796875,0.04578264430165291,0.0,0.2992118299007416,0,0.6166666666666667,0.5798766634209672,0.625,0.846828060566268,0.552161635832522
29,0.00998630404247006,2.274646282196045,0.0,0.0,2.274646282196045,0.011930477805435658,0.0,0.20585887134075165,0,0.65,0.5828899321857067,0.5461309523809524,0.8243513670990086,0.6374387063119457
30,0.009983093240383016,2.257242441177368,0.0,0.0,2.257242441177368,0.017421986907720566,0.0,0.5850486755371094,0,0.65,0.6539175994284354,0.689484126984127,0.8433031634682578,0.6460101611494801
31,0.009979545267925863,2.1777291297912598,0.0,0.0,2.1777291297912598,0.03635397180914879,0.0,0.11460999399423599,0,0.65,0.6602225589689428,0.7003968253968255,0.8457588445795993,0.6487463837994214
32,0.009975660367597807,2.042635440826416,0.0,0.0,2.042635440826416,0.027185700833797455,0.0,0.32045432925224304,0,0.6833333333333333,0.6909254267744833,0.716765873015873,0.8291127439122722,0.6764150943396227
33,0.009971438804926623,1.9895014762878418,0.0,0.0,1.9895014762878418,0.052982646971940994,0.0,0.1375821828842163,0,0.6666666666666666,0.5895895895895896,0.5510912698412699,0.8518921679299037,0.6491491491491492
