fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,31,0.5166666666666667,0.2271062271062271,0.3333333333333333,0.6393326025208673,0.352014652014652
1,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.4724341516057318,0.3710144927536232
2,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.379252116354121,0.3710144927536232
3,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.6536605918976203,0.3710144927536232
4,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.4609909847969989,0.3710144927536232
5,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.6599573693471098,0.3710144927536232
6,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.6774180407729936,0.3710144927536232
7,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.4854531551170702,0.3710144927536232
8,31,0.5254237288135594,0.22962962962962963,0.3333333333333333,0.5262468619854018,0.36195856873822974
9,31,0.5254237288135594,0.22962962962962963,0.3333333333333333,0.48542536948609055,0.36195856873822974
