fold,epoch,loss,correct,acc,macro_auc,macro_f1,bacc,weighted_f1,base_lr,retrieval_lr
8,1,3.2923636436462402,21,0.3559322033898305,0.8535430801984282,0.17500000000000002,0.3333333333333333,0.186864406779661,0.01,0.01
8,2,2.9481430053710938,21,0.3559322033898305,0.511313954862342,0.17500000000000002,0.3333333333333333,0.186864406779661,0.01,0.01
8,3,6.158344745635986,23,0.3898305084745763,0.4597152517356253,0.20175438596491227,0.24731182795698925,0.31801962533452277,0.01,0.01
8,4,4.815252304077148,26,0.4406779661016949,0.5182839232075225,0.21940928270042193,0.2795698924731183,0.34584853035829216,0.01,0.01
8,5,4.767645359039307,31,0.5254237288135594,0.6109245404661364,0.22962962962962963,0.3333333333333333,0.36195856873822974,0.01,0.01
8,6,5.844048976898193,32,0.5423728813559322,0.7752652930921182,0.4416315049226441,0.565284178187404,0.4249445755560323,0.01,0.01
8,7,3.7826130390167236,32,0.5423728813559322,0.7753145270123198,0.4416315049226441,0.565284178187404,0.4249445755560323,0.01,0.01
8,8,4.185488700866699,34,0.576271186440678,0.7538443917900625,0.4710269650028686,0.5499231950844854,0.45190933224423113,0.01,0.01
8,9,3.046449899673462,35,0.5932203389830508,0.7527726470850409,0.5024390243902439,0.597542242703533,0.4665564282761472,0.01,0.01
8,10,2.794649600982666,35,0.5932203389830508,0.7660321191730359,0.5024390243902439,0.597542242703533,0.4665564282761472,0.01,0.01
8,11,2.738316059112549,35,0.5932203389830508,0.775167861755298,0.5024390243902439,0.597542242703533,0.4665564282761472,0.01,0.01
8,12,2.50225830078125,32,0.5423728813559322,0.7740955987984851,0.4305555555555555,0.5284178187403994,0.42443502824858753,0.01,0.01
8,13,2.4329309463500977,32,0.5423728813559322,0.718762891513316,0.41537578886976473,0.4915514592933947,0.4222993669593628,0.01,0.01
8,14,2.367661476135254,36,0.6101694915254238,0.8236244042695655,0.6202179348082457,0.7107014848950333,0.5736023685159437,0.01,0.01
8,15,2.2950072288513184,35,0.5932203389830508,0.8407992686430718,0.5981356477017036,0.7050691244239632,0.5389863197293365,0.01,0.01
8,16,2.3342552185058594,39,0.6610169491525424,0.843466192362627,0.6687322727833273,0.7378392217101895,0.6454426030085844,0.01,0.01
8,17,2.317342758178711,32,0.5423728813559322,0.8225609515932096,0.4305555555555555,0.5284178187403994,0.42443502824858753,0.01,0.01
8,18,2.2683982849121094,34,0.576271186440678,0.8488088500821948,0.4710269650028686,0.5499231950844854,0.45190933224423113,0.01,0.01
8,19,2.322803020477295,34,0.576271186440678,0.8613536529495782,0.4710269650028686,0.5499231950844854,0.45190933224423113,0.01,0.01
8,20,2.2844929695129395,33,0.559322033898305,0.8548247168790463,0.44986449864498645,0.5391705069124424,0.4379220063387074,0.01,0.01
8,21,2.193830966949463,42,0.711864406779661,0.8642175123499403,0.6910358160358161,0.7076292882744495,0.713336334099046,0.009999830837037664,0.009999830837037664
8,22,2.2494311332702637,41,0.6949152542372882,0.8818691683717151,0.6871278825995808,0.7275985663082437,0.6839953096684789,0.009999323359712722,0.009999323359712722
8,23,2.131025791168213,33,0.559322033898305,0.823143466606964,0.4143763213530655,0.4654377880184332,0.4312896405919661,0.009998477602710573,0.009998477602710573
8,24,2.3721165657043457,38,0.6440677966101694,0.8726914473943337,0.615220700152207,0.6287762416794674,0.6194721770760777,0.009997293623837585,0.009997293623837585
8,25,2.2096524238586426,41,0.6949152542372882,0.8719104419443978,0.6796153846153846,0.7224782386072709,0.6882073011734028,0.00999577150401714,0.00999577150401714
8,26,2.1221630573272705,42,0.711864406779661,0.8806414298774231,0.7073193343531265,0.7803379416282642,0.6959617601097416,0.009993911347284109,0.009993911347284109
8,27,2.196755886077881,42,0.711864406779661,0.8825485964704979,0.7093914488872471,0.7752176139272913,0.700676620061323,0.009991713280777732,0.009991713280777732
8,28,2.073394775390625,43,0.7288135593220338,0.903914044830853,0.6798801973220577,0.6548899129544291,0.7236625219478983,0.009989177454732934,0.009989177454732934
8,29,2.1733453273773193,45,0.7627118644067796,0.8979764340545325,0.7510122748286306,0.7869943676395289,0.7643743566049819,0.00998630404247006,0.00998630404247006
8,30,2.0670430660247803,40,0.6779661016949152,0.9007863952685683,0.6807892581776603,0.7537122375832053,0.6604206293648605,0.009983093240383016,0.009983093240383016
8,31,2.0545027256011963,48,0.8135593220338984,0.9134592063284762,0.8004873294346978,0.8346134152585766,0.813574189711567,0.009979545267925863,0.009979545267925863
8,32,1.9885239601135254,43,0.7288135593220338,0.9321530667031516,0.6653016653016652,0.6292882744495647,0.7138216799233749,0.009975660367597807,0.009975660367597807
8,33,2.023683547973633,32,0.5423728813559322,0.8948912811391588,0.5265195509097949,0.5990783410138248,0.48449772633319554,0.009971438804926623,0.009971438804926623
8,34,2.113722562789917,35,0.5932203389830508,0.9125895798221775,0.6091397849462364,0.7050691244239632,0.5402679059595408,0.00996688086845051,0.00996688086845051
8,35,2.06803560256958,44,0.7457627118644068,0.9246757298539982,0.7467320261437909,0.7967229902713773,0.7390329012961117,0.009961986869698373,0.009961986869698373
8,36,1.9277156591415405,36,0.6101694915254238,0.9223171659504427,0.5356528245417135,0.6134152585765489,0.5035020639540414,0.009956757143168527,0.009956757143168527
8,37,2.154218912124634,46,0.7796610169491526,0.9293301491943259,0.7183261183261184,0.692268305171531,0.7731895223420647,0.009951192046305833,0.009951192046305833
8,38,1.9255344867706299,50,0.847457627118644,0.9325707776471783,0.8287512045802391,0.8243727598566307,0.8460452778052668,0.009945291959477269,0.009945291959477269
8,39,1.8362051248550415,43,0.7288135593220338,0.9184670733906728,0.7330769230769231,0.7859703020993343,0.72006518904824,0.009939057285945933,0.009939057285945933
8,40,1.8118565082550049,46,0.7796610169491526,0.9207375344896568,0.77368117058144,0.8182283666154633,0.7760861619991777,0.009932488451843476,0.009932488451843476
8,41,1.764624834060669,45,0.7627118644067796,0.9123485927390851,0.7412446460065508,0.7706093189964157,0.7588557080082504,0.009925585906140986,0.009925585906140986
8,42,1.6722548007965088,47,0.7966101694915254,0.9026806055668534,0.7233626588465297,0.7132616487455197,0.790446841294299,0.009918350120618293,0.009918350120618293
8,43,1.6097155809402466,46,0.7796610169491526,0.9359078009332679,0.7545454545454545,0.7813620071684587,0.7769388803287108,0.009910781589831726,0.009910781589831726
8,44,1.5480958223342896,46,0.7796610169491526,0.9343043298900685,0.77368117058144,0.8182283666154633,0.7760861619991777,0.009902880831080306,0.009902880831080306
8,45,1.5639158487319946,47,0.7966101694915254,0.9362788692160509,0.7870370370370371,0.8289810547875063,0.794256120527307,0.009894648384370404,0.009894648384370404
8,46,1.4840970039367676,46,0.7796610169491526,0.9310839132570882,0.7314740752590696,0.7444956477214543,0.7763078811344987,0.009886084812378817,0.009886084812378817
