epoch,lr,train_loss,acc,macro_f1,bacc,probability_macro_auc,weighted_f1,selection_macro_auc_adjusted
1,0.01,3.2740120887756348,0.35,0.1728395061728395,0.3333333333333333,0.7159858407772757,0.18148148148148147,0.7053744030245698
2,0.01,3.1972463130950928,0.35,0.1728395061728395,0.3333333333333333,0.46059949428275354,0.18148148148148147,0.7219172548705363
3,0.01,5.274856090545654,0.26666666666666666,0.1568627450980392,0.17204301075268816,0.4637039617573544,0.24313725490196078,0.7176166153502082
