fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,31,0.5166666666666667,0.2271062271062271,0.3333333333333333,0.4436527828143513,0.352014652014652
1,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.3822373359519586,0.3710144927536232
2,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.6051248334562014,0.3710144927536232
3,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.7101657350772917,0.3710144927536232
4,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.6674192334569694,0.3710144927536232
5,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.4680274302915812,0.3710144927536232
6,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.3237406265118529,0.3710144927536232
7,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.459752075318113,0.3710144927536232
8,31,0.5254237288135594,0.22962962962962963,0.3333333333333333,0.5805166348460067,0.36195856873822974
9,31,0.5254237288135594,0.22962962962962963,0.3333333333333333,0.4998557735749387,0.36195856873822974
