epoch,base_lr,correction_lr,base_loss,correction_loss,loss_ad_smci,loss_cn_smci,input_projection_gradient,output_ad_smci_gradient,output_cn_smci_gradient,base_acc,base_macro_f1,base_bacc,base_macro_auc,base_weighted_f1,corrected_acc,corrected_macro_f1,corrected_bacc,corrected_macro_auc,corrected_weighted_f1
1,0.01,0.01,3.2943496704101562,0.8165225982666016,0.8017823696136475,0.8312628865242004,0.0,0.005803411360830069,0.004606178961694241,0.35,0.1728395061728395,0.3333333333333333,0.7967793093087905,0.18148148148148147,0.35,0.1728395061728395,0.3333333333333333,0.7967793093087905,0.18148148148148147
2,0.01,0.01,2.9267919063568115,0.9193035364151001,0.6872449517250061,1.1513620615005493,0.0040607876144349575,0.0018871014472097158,0.011519872583448887,0.35,0.1728395061728395,0.3333333333333333,0.6063517740994157,0.18148148148148147,0.35,0.1728395061728395,0.3333333333333333,0.605607726480368,0.18148148148148147
3,0.01,0.01,6.172969818115234,0.6548261642456055,0.503084123134613,0.8065681457519531,0.0025082204956561327,0.0010421797633171082,0.009273313917219639,0.35,0.18918918918918917,0.21875,0.4929309476774099,0.30270270270270266,0.35,0.18918918918918917,0.21875,0.49441904291550526,0.30270270270270266
4,0.01,0.01,6.092264175415039,0.6769835948944092,0.5510337948799133,0.802933394908905,0.0033781002275645733,0.007335796486586332,0.016922004520893097,0.43333333333333335,0.21940928270042193,0.2708333333333333,0.5746413788866619,0.35105485232067507,0.43333333333333335,0.21940928270042193,0.2708333333333333,0.5714203522281353,0.35105485232067507
5,0.01,0.01,5.49727725982666,0.6501071453094482,0.5095053315162659,0.7907090187072754,0.005566669628024101,0.01028610859066248,0.035343848168849945,0.5666666666666667,0.47061403508771926,0.6145833333333334,0.6252165789312016,0.4459649122807018,0.5666666666666667,0.47061403508771926,0.6145833333333334,0.6252865321261548,0.4459649122807018
6,0.01,0.01,3.3059542179107666,0.6214621663093567,0.4739837944507599,0.7689405083656311,0.005603586323559284,0.008401337079703808,0.02170262113213539,0.5666666666666667,0.47061403508771926,0.6145833333333334,0.7890399421944233,0.4459649122807018,0.5666666666666667,0.47061403508771926,0.6145833333333334,0.7882958945753757,0.4459649122807018
7,0.01,0.01,8.728943824768066,0.5949198007583618,0.41418513655662537,0.7756544947624207,0.0033997222781181335,0.010088693350553513,0.007081971038132906,0.5666666666666667,0.47061403508771926,0.6145833333333334,0.7933301848396188,0.4459649122807018,0.5666666666666667,0.47061403508771926,0.6145833333333334,0.7929231844326184,0.4459649122807018
8,0.01,0.01,4.325806140899658,0.5753349661827087,0.3874666392803192,0.7632033228874207,0.001832053530961275,0.010788011364638805,0.00599425146356225,0.6,0.5102821616451458,0.6354166666666666,0.8084305358774699,0.4733142037302726,0.6,0.5102821616451458,0.6354166666666666,0.8084305358774699,0.4733142037302726
9,0.01,0.01,2.6937501430511475,0.5732693076133728,0.40256068110466003,0.743977963924408,0.0033071849029511213,0.01906573958694935,0.006605769507586956,0.6,0.5102821616451458,0.6354166666666666,0.8146150342494684,0.4733142037302726,0.6,0.5102821616451458,0.6354166666666666,0.8149870580589921,0.4733142037302726
10,0.01,0.01,2.585439920425415,0.5414177775382996,0.364451140165329,0.7183844447135925,0.0027533944230526686,0.016549622640013695,0.006670106668025255,0.6,0.5102821616451458,0.6354166666666666,0.810384665779713,0.4733142037302726,0.6,0.5102821616451458,0.6354166666666666,0.8142098336673809,0.4733142037302726
