epoch,base_lr,correction_lr,base_loss,correction_loss,loss_ad_smci,loss_cn_smci,input_projection_gradient,output_ad_smci_gradient,output_cn_smci_gradient,base_acc,base_macro_f1,base_bacc,base_macro_auc,base_weighted_f1,corrected_acc,corrected_macro_f1,corrected_bacc,corrected_macro_auc,corrected_weighted_f1
1,0.01,0.01,3.299787998199463,0.8193106055259705,0.7951914668083191,0.8434297442436218,0.0,0.0062186759896576405,0.004865271970629692,0.35,0.1728395061728395,0.3333333333333333,0.7816167443231122,0.18148148148148147,0.35,0.1728395061728395,0.3333333333333333,0.7820237447301127,0.18148148148148147
2,0.01,0.01,2.9068360328674316,0.9115762710571289,0.6774364113807678,1.1457160711288452,0.0037614547181874514,0.001951898098923266,0.011528144590556622,0.35,0.1728395061728395,0.3333333333333333,0.7219788858939801,0.18148148148148147,0.35,0.1728395061728395,0.3333333333333333,0.7207928612704556,0.18148148148148147
3,0.01,0.01,5.761046409606934,0.6571893095970154,0.5136532187461853,0.8007254004478455,0.0031322191935032606,0.001711384393274784,0.012448225170373917,0.31666666666666665,0.18693244739756365,0.2033730158730159,0.541826731095599,0.2905647840531561,0.31666666666666665,0.18693244739756365,0.2033730158730159,0.5421637783076463,0.2905647840531561
4,0.01,0.01,4.425622940063477,0.6704920530319214,0.5601725578308105,0.7808115482330322,0.003254536772146821,0.007042265497148037,0.011312832124531269,0.48333333333333334,0.23577235772357721,0.3020833333333333,0.5540444825527372,0.37723577235772354,0.5,0.31910569105691056,0.34970238095238093,0.5531955051412599,0.4064024390243902
5,0.01,0.01,5.63649320602417,0.6339577436447144,0.4853689670562744,0.7825464606285095,0.0064645204693078995,0.01306964736431837,0.04086824133992195,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5700651440627856,0.3710144927536232,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5665070701922117,0.3710144927536232
6,0.01,0.01,5.435002326965332,0.6499335765838623,0.5127465724945068,0.787120521068573,0.006921676453202963,0.02201630361378193,0.03191101923584938,0.5833333333333334,0.48971193415637854,0.625,0.750475273765368,0.45946502057613164,0.5833333333333334,0.48971193415637854,0.625,0.7491843193494138,0.45946502057613164
7,0.01,0.01,3.3337135314941406,0.6089838743209839,0.42215079069137573,0.795816957950592,0.007283230312168598,0.019069315865635872,0.01586116850376129,0.5833333333333334,0.48971193415637854,0.625,0.7998916865367338,0.45946502057613164,0.5833333333333334,0.48971193415637854,0.625,0.7998916865367338,0.45946502057613164
8,0.01,0.01,8.470173835754395,0.5857206583023071,0.3831575810909271,0.7882837653160095,0.0031325360760092735,0.015225987881422043,0.007444618735462427,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.7742120846484054,0.46019076305220885,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.7742120846484054,0.46019076305220885
9,0.01,0.01,3.946977376937866,0.568553626537323,0.37807849049568176,0.7590287923812866,0.0042584799230098724,0.019366174936294556,0.009387227706611156,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.7876758548928361,0.46019076305220885,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.7873038310833121,0.46019076305220885
10,0.01,0.01,2.629891872406006,0.5591623783111572,0.39232534170150757,0.7259993553161621,0.0053311679512262344,0.02304006926715374,0.008966255933046341,0.5833333333333334,0.47338935574229696,0.5505952380952381,0.7961914864921941,0.4598039215686275,0.5666666666666667,0.4523809523809524,0.5401785714285715,0.8004586313843389,0.446031746031746
