model,parameters,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,repairs,damages,decision
Original,853131,556,0.9297658862876255,0.9140778251271361,0.9140778251271361,0.9560490697782983,0.9297658862876255,,,reference
C1,862971,560,0.9364548494983278,0.9175457174222448,0.9163359339143832,0.9585607750856947,0.936365986325677,23,19,CME_GO
C2,866444,550,0.919732441471572,0.9081410422608244,0.9020170854597219,0.9632680372350876,0.919554059134269,22,28,CME_ROUTE_NO_NET_IMPROVEMENT
