metric,mean,sample_std,minimum,maximum,pooled_oof
acc,0.9147457627118645,0.022825216134635146,0.8833333333333333,0.95,0.9147157190635451
macro_f1,0.904984732996925,0.028812440809471002,0.8697873186245278,0.9481915933528837,0.9053637238764819
bacc,0.899318356374808,0.045643355988176024,0.8412698412698413,0.967741935483871,0.8988625113272298
probability_macro_auc,0.9599688670870098,0.023839905601352605,0.9067766287695532,0.9875210547411686,0.9531526234144164
weighted_f1,0.9142728316078129,0.02316475000057641,0.8824219837010536,0.9499497465529093,0.914550335110834
