epoch,lr,c1_loss,boundary_loss,weighted_boundary_loss,total_loss,acc,macro_f1,bacc,macro_auc,weighted_f1,loss_AD_SMCI_MRI,loss_AD_SMCI_PET,loss_AD_SMCI_CSF,loss_AD_SMCI_Risk,loss_AD_SMCI_COG,loss_AD_SMCI_ROI,loss_CN_SMCI_MRI,loss_CN_SMCI_PET,loss_CN_SMCI_CSF,loss_CN_SMCI_Risk,loss_CN_SMCI_COG,loss_CN_SMCI_ROI
1,0.01,3.299787998199463,0.723606288433075,0.18090157210826874,3.480689525604248,0.35,0.1728395061728395,0.3333333333333333,0.7842558875872555,0.18148148148148147,0.6885295510292053,0.8168027997016907,0.6137110590934753,0.7975414991378784,0.5875246524810791,0.6486640572547913,0.7215087413787842,0.7424172163009644,0.7380602955818176,0.9873899221420288,0.6338412761688232,0.7072838544845581
2,0.01,2.933692455291748,0.7023861408233643,0.17559653520584106,3.1092889308929443,0.35,0.1728395061728395,0.3333333333333333,0.7213970024995967,0.18148148148148147,0.6806988716125488,0.9690957069396973,0.5391032695770264,0.7401198744773865,0.3759540915489197,0.6034873127937317,0.8030444979667664,0.8931987285614014,0.761841356754303,0.8744208812713623,0.49796563386917114,0.6897035241127014
3,0.01,5.804562091827393,0.571778416633606,0.1429446041584015,5.947506904602051,0.3333333333333333,0.20421607378129117,0.21924603174603174,0.5318820385152933,0.3100790513833992,0.4991849660873413,0.6095683574676514,0.5354384183883667,0.618313193321228,0.2874414622783661,0.49185121059417725,0.6304349303245544,0.7424443960189819,0.6698529720306396,0.7156813740730286,0.4252047538757324,0.6359244585037231
4,0.01,4.51002311706543,0.5770980715751648,0.1442745178937912,4.654297828674316,0.5,0.31910569105691056,0.34970238095238093,0.5497073844656392,0.4064024390243902,0.5173720717430115,0.5184169411659241,0.56816565990448,0.6031240224838257,0.27789050340652466,0.43922874331474304,0.721281886100769,0.84772127866745,0.7102154493331909,0.6520801782608032,0.43572765588760376,0.6339524984359741
5,0.01,5.57422399520874,0.5864331722259521,0.14660829305648804,5.720832347869873,0.5666666666666667,0.4376863446630888,0.5029761904761905,0.5795755988857404,0.4438878950506858,0.5601111650466919,0.6257960796356201,0.5709033608436584,0.6035518646240234,0.28852391242980957,0.4160498380661011,0.7224177718162537,0.7566904425621033,0.7558116316795349,0.658258318901062,0.44491079449653625,0.6341728568077087
6,0.01,5.1827239990234375,0.5814311504364014,0.14535778760910034,5.3280816078186035,0.5833333333333334,0.48971193415637854,0.625,0.7447422914698857,0.45946502057613164,0.5607959032058716,0.6984595060348511,0.5546199083328247,0.6005286574363708,0.28524520993232727,0.4241270422935486,0.6567927002906799,0.6970070600509644,0.7565253973007202,0.6872015595436096,0.42783498764038086,0.6280350685119629
7,0.01,3.440690517425537,0.5676777958869934,0.14191944897174835,3.5826098918914795,0.5833333333333334,0.48971193415637854,0.625,0.8042937583031922,0.45946502057613164,0.5499602556228638,0.6624308824539185,0.5338777303695679,0.5945877432823181,0.26374685764312744,0.4383382797241211,0.6553455591201782,0.671569287776947,0.7173394560813904,0.677537739276886,0.42851150035858154,0.6188878417015076
8,0.01,6.11733865737915,0.5496851801872253,0.13742129504680634,6.254759788513184,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8027316902611714,0.46019076305220885,0.541946291923523,0.5749330520629883,0.524299681186676,0.5910518765449524,0.24922671914100647,0.4225214719772339,0.6715577840805054,0.6641656756401062,0.6764935851097107,0.6341185569763184,0.4300328493118286,0.6158742904663086
9,0.01,3.4284181594848633,0.5520468354225159,0.13801170885562897,3.566429853439331,0.6,0.4967203339296362,0.5610119047619048,0.8051677532809608,0.4742397137745975,0.5464789867401123,0.5607165098190308,0.5315392017364502,0.5940970182418823,0.2702357769012451,0.4077850580215454,0.6827497482299805,0.6615934371948242,0.682977557182312,0.6303002238273621,0.43253499269485474,0.6235532760620117
10,0.01,2.6956851482391357,0.5544144511222839,0.13860361278057098,2.8342888355255127,0.6,0.4967203339296362,0.5610119047619048,0.798775195149016,0.4742397137745975,0.535811722278595,0.5706635117530823,0.5320651531219482,0.5962404608726501,0.28774845600128174,0.3976101279258728,0.6650221943855286,0.6491539478302002,0.710449755191803,0.6552062034606934,0.4246131181716919,0.6283886432647705
11,0.01,2.8723344802856445,0.5333610773086548,0.1333402693271637,3.0056748390197754,0.6,0.4967203339296362,0.5610119047619048,0.804956933789481,0.4742397137745975,0.5082454681396484,0.5407243967056274,0.5095071792602539,0.587208092212677,0.24235042929649353,0.3954484462738037,0.6428717374801636,0.6386224031448364,0.6796576380729675,0.6426858901977539,0.39985230565071106,0.6131585240364075
12,0.01,2.950523853302002,0.5334818363189697,0.13337045907974243,3.0838942527770996,0.6666666666666666,0.6918414918414918,0.7063492063492064,0.8123828913923253,0.6597668997668998,0.5027317404747009,0.5169392228126526,0.5268295407295227,0.5891473293304443,0.23814696073532104,0.39720267057418823,0.6681622266769409,0.6605051159858704,0.6564286351203918,0.6251506805419922,0.4008866548538208,0.619650661945343
13,0.01,2.493967056274414,0.539507269859314,0.1348768174648285,2.6288437843322754,0.6333333333333333,0.6673884407874556,0.6636904761904762,0.8091473461461668,0.6350637867879247,0.49672049283981323,0.5147496461868286,0.5448334217071533,0.5846850872039795,0.2526736259460449,0.3931152820587158,0.6764065027236938,0.6735849976539612,0.6679677963256836,0.6274571418762207,0.414401650428772,0.6274915933609009
14,0.01,2.670302391052246,0.5217897295951843,0.13044743239879608,2.8007497787475586,0.6,0.4967203339296362,0.5610119047619048,0.8099613469601676,0.4742397137745975,0.47234636545181274,0.5108102560043335,0.5168254971504211,0.5730809569358826,0.23134732246398926,0.3829535245895386,0.6341995000839233,0.6434491872787476,0.6712031960487366,0.6286409497261047,0.3875065743923187,0.609113335609436
15,0.01,2.4312353134155273,0.5220248103141785,0.13050620257854462,2.561741590499878,0.5833333333333334,0.4597701149425288,0.5133928571428571,0.8037273534030609,0.4578544061302682,0.46445024013519287,0.5006542801856995,0.5397594571113586,0.5772175788879395,0.2130649983882904,0.3890324831008911,0.6424294114112854,0.6385693550109863,0.665328860282898,0.6230239868164062,0.3881014585494995,0.6226654052734375
16,0.01,2.162921190261841,0.5261465907096863,0.13153664767742157,2.2944579124450684,0.5666666666666667,0.46293639406982307,0.5773809523809524,0.8244734552222761,0.44658058345289336,0.45770567655563354,0.4861774444580078,0.5659197568893433,0.5684435367584229,0.21502262353897095,0.39465904235839844,0.6657419204711914,0.6501791477203369,0.6612815260887146,0.6175557374954224,0.3977515995502472,0.6333208084106445
17,0.01,2.2753074169158936,0.5053002834320068,0.1263250708580017,2.40163254737854,0.5666666666666667,0.46293639406982307,0.5773809523809524,0.8301792001674078,0.44658058345289336,0.43690842390060425,0.46712177991867065,0.5142732858657837,0.565299391746521,0.19901306927204132,0.37777265906333923,0.6223756670951843,0.6218584775924683,0.6647177934646606,0.6162725687026978,0.3718065023422241,0.606183648109436
18,0.01,2.0930004119873047,0.5058524012565613,0.12646310031414032,2.219463586807251,0.6166666666666667,0.5229885057471265,0.5714285714285715,0.8533641247379454,0.48955938697318013,0.4090802073478699,0.45493799448013306,0.5372648239135742,0.5669832229614258,0.18413743376731873,0.39627331495285034,0.6300731301307678,0.6190485954284668,0.660743236541748,0.6085402965545654,0.37035661935806274,0.6327896118164062
19,0.01,2.067145824432373,0.49154600501060486,0.12288650125265121,2.1900322437286377,0.5666666666666667,0.38518518518518513,0.42857142857142855,0.8156634922554734,0.4311111111111111,0.377635657787323,0.4360778033733368,0.5364173650741577,0.5470634698867798,0.175118550658226,0.37165048718452454,0.6224251985549927,0.6135426163673401,0.6589803099632263,0.6025611162185669,0.35135066509246826,0.6057292222976685
20,0.01,2.0642082691192627,0.4875246286392212,0.1218811571598053,2.186089515686035,0.6333333333333333,0.5968423551756885,0.6036706349206349,0.8508503692760768,0.5801139601139601,0.3536785840988159,0.4370083808898926,0.5201887488365173,0.5772664546966553,0.16553659737110138,0.37555503845214844,0.6066969037055969,0.5996178984642029,0.6641132831573486,0.603240430355072,0.3389827013015747,0.6084104180335999
21,0.009999830837037664,1.9338244199752808,0.4785163402557373,0.11962908506393433,2.0534534454345703,0.6166666666666667,0.6499664855460003,0.7385912698412698,0.8303618224019167,0.5982622399064448,0.3322104513645172,0.42915260791778564,0.5145035982131958,0.5455783605575562,0.155043363571167,0.3805375397205353,0.5975300073623657,0.5885958671569824,0.6589033603668213,0.591300368309021,0.33015769720077515,0.6186828017234802
22,0.009999323359712722,2.053283452987671,0.46881306171417236,0.11720326542854309,2.1704866886138916,0.6,0.6060755336617406,0.7445436507936508,0.8274206085232029,0.5516174055829228,0.31563711166381836,0.3873313367366791,0.5259210467338562,0.5428212881088257,0.15189743041992188,0.36503344774246216,0.5907945036888123,0.577623188495636,0.6621093153953552,0.5941188931465149,0.31193310022354126,0.600536048412323
