epoch,loss,lr,output_projection_gradient_MRI,output_projection_gradient_PET,output_projection_gradient_CSF,output_projection_gradient_Risk,output_projection_gradient_ROI,upstream_gradient_MRI,upstream_gradient_PET,upstream_gradient_CSF,upstream_gradient_Risk,upstream_gradient_ROI,maximum_ratio_MRI,maximum_ratio_PET,maximum_ratio_CSF,maximum_ratio_Risk,maximum_ratio_ROI
1,3.299787998199463,0.01,0.09448236972093582,0.06701721251010895,0.06875815242528915,0.07138700783252716,0.1959463506937027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.917870044708252,0.01,0.05425367131829262,0.03608985245227814,0.035190749913454056,0.04150817543268204,0.06417110562324524,0.00046445761108770967,0.0003557181917130947,0.00035404128720983863,0.0003743282868526876,0.001003803452476859,0.15000002086162567,0.09626998752355576,0.10680511593818665,0.11934345960617065,0.15000003576278687
3,6.194699764251709,0.01,0.1928570568561554,0.14447994530200958,0.14476054906845093,0.14797167479991913,0.18402060866355896,0.031219473108649254,0.016085149720311165,0.01774880290031433,0.016377056017518044,0.03837893158197403,0.15000002086162567,0.10749442875385284,0.12509006261825562,0.11768533289432526,0.15000002086162567
