fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,31,0.5166666666666667,0.2271062271062271,0.3333333333333333,0.6187605414350409,0.352014652014652
1,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.47059146086268727,0.3710144927536232
2,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.6293405177544328,0.3710144927536232
3,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.47414893479162346,0.3710144927536232
4,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5441024897098011,0.3710144927536232
5,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5390463015757826,0.3710144927536232
6,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5260683940666252,0.3710144927536232
7,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5125732768716259,0.3710144927536232
8,31,0.5254237288135594,0.22962962962962963,0.3333333333333333,0.47622442168282575,0.36195856873822974
9,31,0.5254237288135594,0.22962962962962963,0.3333333333333333,0.4356252012798502,0.36195856873822974
