epoch,lr,loss_total,loss_pc_bbf_v1,loss_non_destructive,loss_non_destructive_nonzero_fraction,lambda_safe,acc,macro_f1,bacc,macro_auc,weighted_f1
1,0.01,3.3061938285827637,3.3061938285827637,0.0,0.0,0.05,0.35,0.1728395061728395,0.3333333333333333,0.8189734302647039,0.18148148148148147
2,0.01,2.900128126144409,2.9001219272613525,0.0001225006126333028,0.5762081742286682,0.05,0.35,0.1728395061728395,0.3333333333333333,0.5832643400450004,0.18148148148148147
3,0.01,6.162930965423584,6.162909507751465,0.0004293021629564464,0.535315990447998,0.05,0.4,0.20779220779220778,0.25,0.5433183059951928,0.33246753246753247
4,0.01,5.348204612731934,5.348179340362549,0.0005026819417253137,0.5464683771133423,0.05,0.4666666666666667,0.23045267489711932,0.2916666666666667,0.5726516124511408,0.3687242798353909
5,0.01,4.746261119842529,4.746227741241455,0.0006691288435831666,0.5706319808959961,0.05,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.6033653846153847,0.3710144927536232
6,0.01,5.789523601531982,5.789491176605225,0.0006493568071164191,0.6226765513420105,0.05,0.6333333333333333,0.5571428571428572,0.65625,0.6671386407530275,0.5025396825396825
7,0.01,3.4561498165130615,3.4561164379119873,0.0006699248333461583,0.624535322189331,0.05,0.6333333333333333,0.5571428571428572,0.65625,0.7891179346073214,0.5025396825396825
8,0.01,6.155817031860352,6.155777931213379,0.0007819863385520875,0.6505576372146606,0.05,0.6166666666666667,0.5288515406162465,0.6086309523809524,0.7405622581035317,0.48901960784313725
9,0.01,3.2402429580688477,3.240217685699463,0.0005058012320660055,0.6394051909446716,0.05,0.6,0.4967203339296362,0.5610119047619048,0.7395733743021479,0.4742397137745975
10,0.01,3.1519854068756104,3.151951789855957,0.0006726603605784476,0.5687732100486755,0.05,0.6,0.4967203339296362,0.5610119047619048,0.7638248751161486,0.4742397137745975
11,0.01,4.375464916229248,4.375435829162598,0.0005816752673126757,0.5260223150253296,0.05,0.6,0.4967203339296362,0.5610119047619048,0.7523398323811059,0.4742397137745975
12,0.01,3.141335964202881,3.1413044929504395,0.0006284695118665695,0.5130111575126648,0.05,0.6,0.4967203339296362,0.5610119047619048,0.7496334956535429,0.4742397137745975
13,0.01,2.960792064666748,2.96075177192688,0.0008058364037424326,0.5018587112426758,0.05,0.6,0.4967203339296362,0.5610119047619048,0.7592343616812957,0.4742397137745975
14,0.01,3.7513256072998047,3.7512803077697754,0.0009064215118996799,0.48327136039733887,0.05,0.6,0.4967203339296362,0.5610119047619048,0.7688769836470307,0.4742397137745975
15,0.01,3.890458822250366,3.890418291091919,0.0008114229422062635,0.4665427505970001,0.05,0.6,0.4967203339296362,0.5610119047619048,0.7809693473018945,0.4742397137745975
16,0.01,3.3466765880584717,3.3466386795043945,0.0007576966308988631,0.4869888424873352,0.05,0.5666666666666667,0.5920601920601921,0.5783730158730159,0.7848440103746709,0.5574141174141174
17,0.01,2.8008780479431152,2.8008337020874023,0.000885533110704273,0.45167285203933716,0.05,0.6,0.4967203339296362,0.5610119047619048,0.7894627210664947,0.4742397137745975
18,0.01,2.7700467109680176,2.769986391067505,0.00120515376329422,0.4888475835323334,0.05,0.6166666666666667,0.5288515406162465,0.6086309523809524,0.8056618652137519,0.48901960784313725
19,0.01,2.52693510055542,2.5268523693084717,0.0016525217797607183,0.46468400955200195,0.05,0.65,0.5843137254901961,0.6666666666666666,0.8301727207977208,0.518235294117647
20,0.01,2.318206548690796,2.3181064128875732,0.0020003565587103367,0.4628252685070038,0.05,0.6333333333333333,0.5557543231961837,0.6190476190476191,0.8245001526251526,0.5045915324985092
21,0.009999830837037664,2.476933240890503,2.476853370666504,0.0015953262336552143,0.4479553997516632,0.05,0.6333333333333333,0.5557543231961837,0.6190476190476191,0.8361855158730158,0.5045915324985092
22,0.009999323359712722,2.425734519958496,2.4256157875061035,0.0023726369254291058,0.44609665870666504,0.05,0.6333333333333333,0.5557543231961837,0.6190476190476191,0.8493094791738658,0.5045915324985092
23,0.009998477602710573,2.360522985458374,2.360452890396118,0.0014037031214684248,0.35501858592033386,0.05,0.6166666666666667,0.5229885057471265,0.5714285714285715,0.8470900550794419,0.48955938697318013
24,0.009997293623837585,2.3343052864074707,2.3342397212982178,0.0013097107876092196,0.41263940930366516,0.05,0.6333333333333333,0.5557543231961837,0.6190476190476191,0.8601808416077285,0.5045915324985092
25,0.00999577150401714,2.2981374263763428,2.2980446815490723,0.0018537817522883415,0.3736059367656708,0.05,0.6333333333333333,0.5557543231961837,0.6190476190476191,0.8605878420147288,0.5045915324985092
26,0.009993911347284109,2.241873025894165,2.2417566776275635,0.0023250060621649027,0.3921933174133301,0.05,0.6333333333333333,0.5557543231961837,0.6190476190476191,0.8470918549043548,0.5045915324985092
27,0.009991713280777732,2.218899726867676,2.218780517578125,0.002384027000516653,0.40148699283599854,0.05,0.6333333333333333,0.5557543231961837,0.6190476190476191,0.8469519485144485,0.5045915324985092
28,0.009989177454732934,2.21397066116333,2.213733673095703,0.004738240037113428,0.410780668258667,0.05,0.6333333333333333,0.5557543231961837,0.6190476190476191,0.8482429029304029,0.5045915324985092
29,0.00998630404247006,2.235567569732666,2.2354187965393066,0.0029730817768722773,0.38661709427833557,0.05,0.6333333333333333,0.5557543231961837,0.6190476190476191,0.8709268162393163,0.5045915324985092
30,0.009983093240383016,2.2342214584350586,2.2339744567871094,0.004939042963087559,0.40706318616867065,0.05,0.6666666666666666,0.7008140008140008,0.683531746031746,0.8719856532356532,0.652877492877493
31,0.009979545267925863,2.1510632038116455,2.1508445739746094,0.004374414682388306,0.3977695107460022,0.05,0.6833333333333333,0.6793976632686309,0.6512896825396826,0.8651620370370371,0.6570183400828563
32,0.009975660367597807,2.156752824783325,2.156479835510254,0.0054620252922177315,0.36245352029800415,0.05,0.75,0.8069216757741348,0.8110119047619048,0.8936457061457062,0.7521857923497267
33,0.009971438804926623,2.1743569374084473,2.173445701599121,0.018222786486148834,0.4925650358200073,0.05,0.65,0.6916831376196567,0.7068452380952381,0.8830446174196175,0.633241289772507
34,0.00996688086845051,2.1080751419067383,2.1079893112182617,0.0017189419595524669,0.21375463902950287,0.05,0.6833333333333333,0.6480537534754403,0.6666666666666666,0.9129241707366708,0.6064372876119865
35,0.009961986869698373,2.1724185943603516,2.1710612773895264,0.027147244662046432,0.5185873508453369,0.05,0.75,0.8088712585647313,0.816468253968254,0.9226095085470085,0.7527046520014425
36,0.009956757143168527,2.128990411758423,2.1282198429107666,0.015413545072078705,0.41263940930366516,0.05,0.75,0.7937062937062936,0.7956349206349206,0.9201452482702482,0.7513403263403263
37,0.009951192046305833,2.0123045444488525,2.0119783878326416,0.006523378659039736,0.2825278639793396,0.05,0.7666666666666667,0.7072239422084623,0.65625,0.9094751662558266,0.7521465428276574
38,0.009945291959477269,2.171682119369507,2.170299530029297,0.02765340730547905,0.48327136039733887,0.05,0.75,0.7935995986310451,0.8010912698412698,0.9244123931623931,0.7493415040584852
39,0.009939057285945933,1.9564321041107178,1.956146001815796,0.00572277931496501,0.267657995223999,0.05,0.7333333333333333,0.7980952380952382,0.8115079365079364,0.931445868945869,0.7356190476190477
40,0.009932488451843476,1.9192121028900146,1.9187030792236328,0.010179356671869755,0.3141264021396637,0.05,0.8166666666666667,0.8301231892781189,0.8045634920634921,0.9160529863654864,0.8111743108221982
41,0.009925585906140986,1.934550166130066,1.9332143068313599,0.026717182248830795,0.578066885471344,0.05,0.7,0.7059337368191176,0.673611111111111,0.9196110602360602,0.7016409808448244
42,0.009918350120618293,1.8516658544540405,1.8512475490570068,0.008366836234927177,0.31040892004966736,0.05,0.7166666666666667,0.7682771030139451,0.7638888888888888,0.9278305606430606,0.7199613135402608
43,0.009910781589831726,1.8288663625717163,1.8286021947860718,0.005282280035316944,0.2565055787563324,0.05,0.7666666666666667,0.8043826150209129,0.7951388888888888,0.9243074633699634,0.7697726859428987
44,0.009902880831080306,1.7453631162643433,1.744916558265686,0.008931627497076988,0.29925650358200073,0.05,0.7333333333333333,0.7225071225071226,0.7142857142857143,0.9370389448514449,0.68991452991453
45,0.009894648384370404,1.8399816751480103,1.8381378650665283,0.03687552362680435,0.524163544178009,0.05,0.7666666666666667,0.8058275058275058,0.8169642857142857,0.9387368996743995,0.7647086247086248
46,0.009886084812378817,1.7662795782089233,1.7661712169647217,0.002167751081287861,0.17472118139266968,0.05,0.8166666666666667,0.861437908496732,0.8799603174603176,0.9576655982905983,0.817843137254902
47,0.009877190700414313,1.6826467514038086,1.6824779510498047,0.0033751397859305143,0.22862453758716583,0.05,0.6666666666666666,0.6196315761533153,0.6507936507936508,0.9100529100529101,0.5749110792589053
48,0.00986796665637763,2.1211791038513184,2.117846965789795,0.0666404664516449,0.5966542959213257,0.05,0.8,0.8477011494252874,0.8586309523809524,0.9496782153032153,0.8021551724137931
49,0.009858413310719925,1.672753095626831,1.6726094484329224,0.00287368125282228,0.1542750895023346,0.05,0.7666666666666667,0.789047619047619,0.8060515873015873,0.9352469791738661,0.766
50,0.009848531316399685,1.6301419734954834,1.6300301551818848,0.002236833330243826,0.13940520584583282,0.05,0.7666666666666667,0.7885878489326764,0.8005952380952381,0.9353042136061004,0.7670977011494252
51,0.009838321348838096,1.5231057405471802,1.5228826999664307,0.004459635354578495,0.19144980609416962,0.05,0.8166666666666667,0.838034188034188,0.8526785714285715,0.9440501628001629,0.814465811965812
52,0.009827784105872876,1.5657870769500732,1.5651073455810547,0.013594855554401875,0.32342007756233215,0.05,0.8,0.8074645472962443,0.7842261904761904,0.9407019485144485,0.8012427925822034
53,0.009816920307710586,1.4162702560424805,1.4161453247070312,0.002497713780030608,0.22676579654216766,0.05,0.7833333333333333,0.8184210526315789,0.8482142857142857,0.9335363055881923,0.7830847953216373
54,0.0098057306968774,1.3846549987792969,1.3843483924865723,0.0061317444778978825,0.3271375298500061,0.05,0.7666666666666667,0.764888938580799,0.7524801587301587,0.9269875226537962,0.7668753726893262
55,0.009794216038168352,1.3030221462249756,1.3029059171676636,0.0023255946580320597,0.29925650358200073,0.05,0.7666666666666667,0.7823631047315258,0.810515873015873,0.9145427532809608,0.7617590377458799
56,0.009782377118595071,1.3236573934555054,1.3230390548706055,0.012367680668830872,0.4684014916419983,0.05,0.85,0.8679913893028647,0.8898809523809524,0.9298655626780626,0.8498973339956948
57,0.009770214747331984,1.1575868129730225,1.1574516296386719,0.0027044194284826517,0.40706318616867065,0.05,0.8,0.7787174066243834,0.7415674603174603,0.9357461906105774,0.7979563072586328
58,0.009757729755661011,1.1546690464019775,1.1545741558074951,0.0018968520453199744,0.3773234188556671,0.05,0.85,0.8440270323991254,0.8154761904761904,0.9349594271469271,0.8497326575233551
59,0.009744922996914747,1.3486534357070923,1.3485465049743652,0.0021395753137767315,0.4368029832839966,0.05,0.8666666666666667,0.8805034591981329,0.9002976190476191,0.9320182132682132,0.8664282737351005
60,0.00973179534641814,1.2796331644058228,1.2794702053070068,0.0032592839561402798,0.48327136039733887,0.05,0.8666666666666667,0.8805034591981329,0.9002976190476191,0.931261446886447,0.8664282737351005
61,0.009718347701428667,1.2581989765167236,1.2580419778823853,0.0031406059861183167,0.47026023268699646,0.05,0.85,0.8666666666666667,0.8844246031746031,0.9286427616321484,0.8493650793650793
62,0.009704580981074998,1.2350966930389404,1.2348334789276123,0.005263534840196371,0.5092936754226685,0.05,0.8166666666666667,0.8227999642633789,0.8209325396825397,0.9384534872447609,0.8162476547842402
63,0.009690496126294182,1.0969462394714355,1.0966614484786987,0.005695908330380917,0.5408921837806702,0.05,0.8666666666666667,0.8431714857246773,0.8422619047619048,0.9600086103623839,0.8647317694126204
64,0.009676094099767331,1.0942673683166504,1.094205379486084,0.001239769160747528,0.449814110994339,0.05,0.8666666666666667,0.843029133351714,0.8368055555555555,0.9666128279041016,0.8653708298869589
65,0.009661375885853831,1.0080667734146118,1.0079407691955566,0.0025208196602761745,0.542750895023346,0.05,0.8166666666666667,0.8031746031746033,0.7891865079365079,0.9677288993326729,0.8161538461538462
66,0.00964634249052405,0.9295044541358948,0.9293674230575562,0.0027407959569245577,0.5074349641799927,0.05,0.8333333333333334,0.8167300238521169,0.8050595238095237,0.9578464207001942,0.8327668455575432
67,0.009630994941290591,0.8339421153068542,0.8338900804519653,0.001040748436935246,0.5,0.05,0.8333333333333334,0.8368055555555555,0.8368055555555555,0.9353228717910321,0.8333333333333334
