epoch,lr,train_loss,test_loss,acc,macro_f1,bacc,macro_auc,weighted_f1
1,0.01,3.2765932083129883,3.4453659057617188,0.35,0.1728395061728395,0.3333333333333333,0.754116019593614,0.18148148148148147
2,0.01,3.168606758117676,5.223125457763672,0.35,0.1728395061728395,0.3333333333333333,0.7410669890033098,0.18148148148148147
3,0.01,4.709558010101318,4.549122333526611,0.3333333333333333,0.20443520443520447,0.3010912698412698,0.7273108072046751,0.24286209286209287
4,0.01,4.597182273864746,3.2957074642181396,0.48333333333333334,0.23577235772357721,0.3020833333333333,0.7357215090116034,0.37723577235772354
5,0.01,4.4232635498046875,6.3546247482299805,0.6333333333333333,0.5571428571428572,0.65625,0.7507407779371222,0.5025396825396825
6,0.01,7.4215006828308105,4.004158020019531,0.6,0.4967203339296362,0.5610119047619048,0.7533968695525299,0.4742397137745975
7,0.01,4.510989665985107,3.5642971992492676,0.6333333333333333,0.5571428571428572,0.65625,0.7561632004438609,0.5025396825396825
8,0.01,3.533442974090576,2.964982271194458,0.6,0.4967203339296362,0.5610119047619048,0.7549994336550939,0.4742397137745975
9,0.01,2.747894287109375,2.4442901611328125,0.6333333333333333,0.5571428571428572,0.65625,0.7618580264511868,0.5025396825396825
10,0.01,2.452111005783081,3.321298599243164,0.6333333333333333,0.5571428571428572,0.65625,0.7593601694427167,0.5025396825396825
11,0.01,2.8698172569274902,5.9705705642700195,0.6166666666666667,0.624352278545827,0.6359126984126984,0.7494250159344499,0.5826810035842294
12,0.01,3.3164401054382324,2.540358543395996,0.45,0.4749034749034749,0.6190476190476191,0.7832092294061633,0.29864864864864865
13,0.01,2.5298943519592285,2.3606295585632324,0.45,0.45844748858447487,0.6190476190476191,0.8040398030079633,0.29470319634703196
14,0.01,2.378730297088623,2.534301280975342,0.43333333333333335,0.4430769230769231,0.5714285714285715,0.7945289282258622,0.28574358974358977
15,0.01,2.410984516143799,2.3317441940307617,0.5,0.5043572984749455,0.6875,0.8244993127068598,0.3696623093681917
16,0.01,2.283595561981201,2.3359317779541016,0.5833333333333334,0.48971193415637854,0.625,0.8196407453482926,0.45946502057613164
17,0.01,2.335775375366211,2.349324941635132,0.5666666666666667,0.46293639406982307,0.5773809523809524,0.8097514873753081,0.44658058345289336
