fold,base_best_epoch,base_correct,base_acc,corrected_best_epoch,corrected_correct,corrected_acc,corrected_macro_f1,corrected_bacc,corrected_macro_auc,corrected_weighted_f1,repairs_vs_c1,damages_vs_c1,changed_vs_c1,ad_smci_errors,cn_smci_errors,ad_cn_errors,elapsed_seconds
4,103,55,0.9166666666666666,101,55,0.9166666666666666,0.8815346345197091,0.8625992063492064,0.9442898394844149,0.9157759280520474,1,1,2,3,2,0,49.68895780015737
5,180,57,0.95,180,57,0.95,0.9174603174603174,0.9315476190476191,0.9825499775381852,0.9512698412698413,0,0,0,3,0,0,49.100370900006965
6,332,58,0.9666666666666667,330,58,0.9666666666666667,0.9737103174603176,0.9737103174603176,0.995732855107855,0.9666666666666667,0,0,0,0,2,0,49.42502669990063
7,181,56,0.9333333333333333,181,56,0.9333333333333333,0.9156746031746031,0.9156746031746031,0.9624080169481113,0.9333333333333333,0,0,0,2,2,0,48.97201160015538
