head,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,parameter_count,elapsed_seconds
original_joint_difformer,556,0.9297658862876255,0.9140778251271361,0.9140778251271361,0.9560490698,0.9297658862876255,853131,0.0
linear_probe,549,0.9180602006688964,0.9035925350476232,0.905087037288598,0.9545046894382104,0.9181165705882021,291,81.83284789999016
residual_mlp,554,0.9264214046822743,0.9108704805065937,0.9083966707866757,0.9470486491521594,0.9262814344259537,14451,102.89804730005562
frozen_difformer,553,0.9247491638795987,0.908944447982975,0.9032236695361385,0.9493781863562267,0.9244984684163124,19203,136.19431950012222
pee_head,554,0.9264214046822743,0.912133321963843,0.907853299165768,0.9468693701122021,0.9262489760299724,10040,155.03832169994712
