fold,train_size,test_size,split_sha256,acc,macro_f1,bacc,macro_auc,weighted_f1,fit_seconds,predict_proba_seconds,total_seconds,cuda_peak_memory_allocated_bytes
0,538,60,1adda8298733c24259acfa957378b356f52db9545ae9c40ef8889ee97bf3ff04,0.91666666666666663,0.90267011197243752,0.8792882744495647,0.98094498737574376,0.91552848529592723,1.1047842998523265,3.6400643000379205,4.7491378001868725,778540544
1,538,60,529f52f8102c68c35ce93fe397fd1e8be83edc6ddf1ae9c2981b099e5e4b638e,0.94999999999999996,0.92875599852344026,0.93154761904761907,0.97233735102249252,0.94979697305278699,0.70075469999574125,1.4463277000468224,2.1503721999470145,778540544
2,538,60,45901ce4e5beb6a5c30ca6e7dd63f69f3bef8cf9cd26bd9ad13c805a834d98a1,0.94999999999999996,0.96022514071294562,0.95783730158730152,0.99725592694342691,0.94977485928705441,0.81192680005915463,1.4887105999514461,2.3045573001727462,778540544
3,538,60,af1cd9f0c1c662e18e4827e01525e573ca7755e762858c9423f36c467c9ad727,0.91666666666666663,0.93238933537441004,0.92609126984126977,0.97588522588522597,0.91532721010332951,0.7792599000968039,1.487522599985823,2.2707030000165105,778540544
4,538,60,f927bc45ad33595185b6ace11d1b1deb0fbbb43f2fe4239056b3b4c1097ef7a0,0.90000000000000002,0.85487845487845482,0.80952380952380942,0.96075859740364455,0.8955444555444555,0.70547300018370152,1.4969334001652896,2.2060821000486612,778540544
5,538,60,7b18387f37130eb297c904390f0a762788d3ec34d59820dff40e5126e2cddf49,0.90000000000000002,0.87769308943089441,0.88938492063492058,0.98256449612581687,0.90105691056910564,0.69795369985513389,1.4578456999734044,2.1591521000955254,778540544
6,538,60,7edb8fbd66273445117ecbf87b01106f796bcf571452e0335d2fef069155d4a4,0.91666666666666663,0.9195767195767196,0.93700396825396826,0.97319658743597426,0.91656084656084647,0.65375309996306896,1.4124744001310319,2.0700395999010652,778540544
7,538,60,cc05b052a3c49b11ffc913a2d2a548dd400265e1cb8088c37e5378eee7767aa6,0.91666666666666663,0.93478528362249291,0.93700396825396826,0.96786286630036633,0.91697428325335295,0.67203549994155765,1.4007355999201536,2.0762595999985933,772625920
8,539,59,b50979aea7b950e281ec0e4147d698a508f32c0f1314b39a2132117755234795,0.86440677966101698,0.83000512032770102,0.83000512032770102,0.95972924453399833,0.86440677966101698,0.68566570011898875,1.4349541999399662,2.1239879000931978,778541056
9,539,59,f1395a882a4f6c518e17eeac3d37500a94d855534d5b8966eaa8421c3162ff12,0.93220338983050843,0.91112408569714065,0.92016129032258054,0.99289739882719008,0.93348160646266332,0.71516490005888045,1.4511277000419796,2.1702803000807762,778541056
