fold,epoch,loss,correct,acc,macro_auc,macro_f1,bacc,weighted_f1,base_lr,retrieval_lr
4,1,3.299787998199463,21,0.35,0.7820237447301127,0.1728395061728395,0.3333333333333333,0.18148148148148147,0.01,0.01
4,2,2.905766725540161,21,0.35,0.7199788604564548,0.1728395061728395,0.3333333333333333,0.18148148148148147,0.01,0.01
4,3,5.759307861328125,19,0.31666666666666665,0.5429777791216471,0.18693244739756365,0.2033730158730159,0.2905647840531561,0.01,0.01
4,4,4.422894477844238,30,0.5,0.5548235067692615,0.3098464317976513,0.34970238095238093,0.4031616982836495,0.01,0.01
4,5,5.638511657714844,33,0.55,0.5712161920888337,0.3177655677655678,0.38095238095238093,0.40425824175824177,0.01,0.01
4,6,5.432191848754883,35,0.5833333333333334,0.7535913706314651,0.48971193415637854,0.625,0.45946502057613164,0.01,0.01
4,7,3.3268470764160156,35,0.5833333333333334,0.7978566845017317,0.48971193415637854,0.625,0.45946502057613164,0.01,0.01
4,8,8.489021301269531,35,0.5833333333333334,0.7777351819215026,0.48293172690763053,0.5877976190476191,0.46019076305220885,0.01,0.01
4,9,3.959537982940674,35,0.5833333333333334,0.7914660461830273,0.48293172690763053,0.5877976190476191,0.46019076305220885,0.01,0.01
4,10,2.6291637420654297,35,0.5833333333333334,0.80116770240591,0.47338935574229696,0.5505952380952381,0.4598039215686275,0.01,0.01
4,11,5.61962890625,36,0.6,0.7892220244814586,0.4967203339296362,0.5610119047619048,0.4742397137745975,0.01,0.01
4,12,4.905602931976318,36,0.6,0.7961078546279018,0.4967203339296362,0.5610119047619048,0.4742397137745975,0.01,0.01
4,13,3.776599168777466,29,0.48333333333333334,0.8014560943511415,0.5104643104643105,0.6026785714285715,0.3862300762300762,0.01,0.01
4,14,3.0869929790496826,29,0.48333333333333334,0.8217756976601317,0.5104643104643105,0.6026785714285715,0.3862300762300762,0.01,0.01
4,15,3.051866292953491,31,0.5166666666666667,0.8270812215387687,0.5606849085109955,0.6607142857142857,0.4283587935761849,0.01,0.01
4,16,3.1450071334838867,39,0.65,0.8303022481972954,0.6767715043577113,0.7013888888888888,0.6358848048503222,0.01,0.01
4,17,2.6596758365631104,36,0.6,0.8167694846645318,0.4967203339296362,0.5610119047619048,0.4742397137745975,0.01,0.01
4,18,2.7346861362457275,36,0.6,0.8147694592270064,0.4967203339296362,0.5610119047619048,0.4742397137745975,0.01,0.01
4,19,2.8082659244537354,35,0.5833333333333334,0.8178010843105183,0.4597701149425288,0.5133928571428571,0.4578544061302682,0.01,0.01
4,20,2.3822381496429443,35,0.5833333333333334,0.8304975891945231,0.47338935574229696,0.5505952380952381,0.4598039215686275,0.01,0.01
4,21,3.3188114166259766,36,0.6,0.8350872627110836,0.5047619047619047,0.5982142857142857,0.4742857142857143,0.009999830837037664,0.009999830837037664
4,22,3.9848055839538574,35,0.5833333333333334,0.8306434350066425,0.48293172690763053,0.5877976190476191,0.46019076305220885,0.009999323359712722,0.009999323359712722
4,23,3.1431941986083984,36,0.6,0.8333525314657391,0.5047619047619047,0.5982142857142857,0.4742857142857143,0.009998477602710573,0.009998477602710573
4,24,2.28125,34,0.5666666666666667,0.8146668692069636,0.38518518518518513,0.42857142857142855,0.4311111111111111,0.009997293623837585,0.009997293623837585
4,25,2.739408016204834,36,0.6,0.8424559858816935,0.48484848484848486,0.5238095238095238,0.4727272727272727,0.00999577150401714,0.00999577150401714
