epoch,lr_used,lr_next,train_loss_total,train_loss_original,train_loss_ordinal,train_loss_ordinal_1,train_loss_ordinal_2,test_loss_original,tau1,tau2,selection_macro_auc_adjusted_score,acc,macro_f1,bacc,macro_auc,weighted_f1
1,0.01,0.01,3.474396228790283,3.298175096511841,0.8811054229736328,0.4975945055484772,1.2646163702011108,3.059352397918701,-0.5099999904632568,0.48379042744636536,0.7485580402738421,0.35,0.1728395061728395,0.3333333333333333,0.7472507674453429,0.18148148148148147
2,0.01,0.01,3.145285129547119,2.8787102699279785,1.3328745365142822,0.8501707315444946,1.8155783414840698,7.1998515129089355,-0.518342912197113,0.46969345211982727,0.6923937239385353,0.35,0.1728395061728395,0.3333333333333333,0.650436865501724,0.18148148148148147
3,0.01,0.01,6.655365943908691,6.546938896179199,0.5421344637870789,0.34399086236953735,0.7402780652046204,5.102027416229248,-0.5242834091186523,0.4595179259777069,0.6622090403045592,0.26666666666666666,0.163746484966472,0.1721230158730159,0.4610287511230908,0.25402336145360155
4,0.01,0.01,5.264576435089111,5.058982849121094,1.0279673337936401,0.4979337155818939,1.558000922203064,4.727191925048828,-0.5275555849075317,0.45359739661216736,0.6827403030233219,0.36666666666666664,0.19555555555555557,0.22916666666666666,0.5188948619078336,0.3128888888888889
5,0.01,0.01,5.081541061401367,4.922740459442139,0.7940019369125366,0.47205474972724915,1.1159491539001465,5.365413188934326,-0.5299074053764343,0.4494645297527313,0.7120189547960774,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5642692278895108,0.3710144927536232
6,0.01,0.01,5.832035541534424,5.69614839553833,0.6794368028640747,0.7000017762184143,0.6588717699050903,2.8747096061706543,-0.5318836569786072,0.44610336422920227,0.7463590741892628,0.48333333333333334,0.38999999999999996,0.5625,0.7945022308229855,0.3809444444444445
7,0.01,0.01,4.121716499328613,4.01073694229126,0.5548974871635437,0.6285050511360168,0.48128989338874817,3.745924472808838,-0.5338566303253174,0.4428207576274872,0.7736516191704871,0.5666666666666667,0.38518518518518513,0.42857142857142855,0.823467833049201,0.4311111111111111
8,0.01,0.01,4.546633243560791,4.4437456130981445,0.5144387483596802,0.4244183897972107,0.6044591665267944,2.630227565765381,-0.5358368754386902,0.43948671221733093,0.7569705419056835,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.815036673232428,0.3710144927536232
9,0.01,0.01,2.9356212615966797,2.828835964202881,0.5339261889457703,0.40582939982414246,0.6620229482650757,3.4099974632263184,-0.536961555480957,0.43738922476768494,0.757978083891999,0.4666666666666667,0.37585585585585585,0.5520833333333334,0.8149726594596878,0.3680360360360361
10,0.01,0.01,2.935168743133545,2.8290369510650635,0.5306583642959595,0.6661139726638794,0.3952026963233948,3.7886059284210205,-0.5381824970245361,0.43539902567863464,0.7671727894310442,0.4666666666666667,0.37585585585585585,0.5520833333333334,0.822947323684352,0.3680360360360361
11,0.01,0.01,2.8958077430725098,2.7655320167541504,0.6513791680335999,0.8980780243873596,0.4046802818775177,2.843278408050537,-0.5395529270172119,0.4334711730480194,0.7907038803265217,0.5166666666666667,0.41991341991341996,0.5833333333333334,0.8419205379700663,0.4067099567099567
12,0.01,0.01,2.974971294403076,2.8789889812469482,0.479912132024765,0.6235631704330444,0.3362610936164856,2.5277953147888184,-0.5409671068191528,0.4316733777523041,0.8421290176891593,0.5333333333333333,0.4271929824561404,0.5565476190476191,0.855974770774299,0.4203508771929825
13,0.01,0.01,2.7537293434143066,2.6552655696868896,0.4923190474510193,0.40462690591812134,0.5800111889839172,3.5950446128845215,-0.5411888360977173,0.431670218706131,0.8416647828499243,0.6666666666666666,0.6650326797385621,0.7807539682539683,0.8556522421498837,0.6496732026143791
14,0.01,0.01,3.0273349285125732,2.9501140117645264,0.386104941368103,0.4031287431716919,0.36908116936683655,4.576934814453125,-0.5412800312042236,0.4318166673183441,0.8437910360080171,0.55,0.5317194989326137,0.71875,0.846113590069958,0.45937017494394544
15,0.01,0.01,3.596022844314575,3.5172152519226074,0.3940376043319702,0.4874214828014374,0.30065372586250305,2.8649842739105225,-0.5413581728935242,0.43193182349205017,0.8256113645264588,0.55,0.5317194989326137,0.71875,0.8505496785272729,0.45937017494394544
16,0.01,0.01,2.7807955741882324,2.696072816848755,0.4236138164997101,0.5555456280708313,0.29168200492858887,2.654893159866333,-0.5415518283843994,0.43188604712486267,0.8272888613395688,0.55,0.5317194989326137,0.71875,0.8509566789342733,0.45937017494394544
17,0.01,0.01,2.671131134033203,2.585357189178467,0.42886966466903687,0.5493596792221069,0.3083796799182892,3.090137004852295,-0.5420182943344116,0.43149372935295105,0.8268818609325684,0.48333333333333334,0.38999999999999996,0.5625,0.8451714417221492,0.3809444444444445
18,0.01,0.01,2.8290863037109375,2.7504703998565674,0.39307957887649536,0.4627001881599426,0.3234589397907257,2.840794563293457,-0.5425400733947754,0.4310474097728729,0.8203144198132405,0.5166666666666667,0.41991341991341996,0.5833333333333334,0.8565438154176362,0.4067099567099567
19,0.01,0.01,2.66947603225708,2.5937469005584717,0.37864601612091064,0.39978164434432983,0.35751041769981384,2.654574394226074,-0.5428560376167297,0.43095675110816956,0.8216626086614295,0.5166666666666667,0.41991341991341996,0.5833333333333334,0.8647410579898787,0.4067099567099567
20,0.01,0.01,2.5513103008270264,2.4739346504211426,0.38687852025032043,0.38533204793930054,0.38842499256134033,2.6493654251098633,-0.542853057384491,0.4313284456729889,0.832429041302862,0.5333333333333333,0.4358974358974359,0.59375,0.8722514873753081,0.4196581196581197
21,0.01,0.009999830837037664,2.5569705963134766,2.4800567626953125,0.3845691680908203,0.3854539692401886,0.38368433713912964,2.241611957550049,-0.542598307132721,0.4320346415042877,0.8464359987060459,0.5333333333333333,0.4358974358974359,0.59375,0.8821757219457691,0.4196581196581197
22,0.009999830837037664,0.009999323359712722,2.3462955951690674,2.272096633911133,0.3709949851036072,0.38675448298454285,0.3552355170249939,2.4144270420074463,-0.5418059229850769,0.4337063133716583,0.8529189680427888,0.5333333333333333,0.4358974358974359,0.59375,0.886273923272744,0.4196581196581197
23,0.009999323359712722,0.009998477602710573,2.4235000610351562,2.3535327911376953,0.34983599185943604,0.4156041443347931,0.2840678095817566,2.4578468799591064,-0.5409509539604187,0.43563273549079895,0.8546518994632203,0.5333333333333333,0.4358974358974359,0.59375,0.8863088998702207,0.4196581196581197
24,0.009998477602710573,0.009997293623837585,2.4408016204833984,2.3714520931243896,0.3467474579811096,0.46307069063186646,0.2304242104291916,2.31203293800354,-0.5403618216514587,0.43733271956443787,0.8773453518441725,0.6833333333333333,0.6667541419548977,0.7256944444444443,0.9089323990562198,0.6542268059273255
25,0.009997293623837585,0.00999577150401714,2.336756944656372,2.2662930488586426,0.35231924057006836,0.4780333638191223,0.2266051471233368,2.2923312187194824,-0.5404209494590759,0.4383130371570587,0.8349373972899916,0.5333333333333333,0.4358974358974359,0.59375,0.8669664215065159,0.4196581196581197
26,0.00999577150401714,0.009993911347284109,2.2710988521575928,2.203113555908203,0.33992695808410645,0.3965696394443512,0.2832843065261841,2.294534921646118,-0.5400246381759644,0.44068285822868347,0.8982359196097404,0.7,0.6731040564373897,0.658234126984127,0.8932597036960245,0.6911640211640211
27,0.009993911347284109,0.009991713280777732,2.3603270053863525,2.278625011444092,0.40851011872291565,0.38077566027641296,0.43624457716941833,2.4110333919525146,-0.5405901074409485,0.44159451127052307,0.7960388613395688,0.48333333333333334,0.38999999999999996,0.5625,0.8177143927438738,0.3809444444444445
28,0.009991713280777732,0.009989177454732934,2.357656478881836,2.2508175373077393,0.5341943502426147,0.3194561004638672,0.7489325404167175,2.383639097213745,-0.5382639169692993,0.4468327462673187,0.8496689042089987,0.5166666666666667,0.4810954983086131,0.6979166666666666,0.8607869026501103,0.400467733541504
