epoch,lr,loss,acc,macro_f1,bacc,macro_auc,weighted_f1
1,0.01,3.309741258621216,0.35,0.1728395061728395,0.3333333333333333,0.8156864100260326,0.18148148148148147
2,0.01,2.911369562149048,0.35,0.1728395061728395,0.3333333333333333,0.4993157665622288,0.18148148148148147
3,0.01,5.912871837615967,0.35,0.18918918918918917,0.21875,0.478272813620691,0.30270270270270266
4,0.01,4.426909923553467,0.4666666666666667,0.37457279562542717,0.47767857142857145,0.5939427612481858,0.3800182273866484
5,0.01,6.160627841949463,0.5333333333333333,0.4271929824561404,0.5565476190476191,0.6671938953778577,0.4203508771929825
6,0.01,5.375240325927734,0.5,0.3956043956043956,0.5357142857142857,0.7760864223128374,0.3948717948717949
7,0.01,3.1066691875457764,0.5333333333333333,0.4271929824561404,0.5565476190476191,0.8078088163583447,0.4203508771929825
8,0.01,6.4975762367248535,0.55,0.4444444444444444,0.5669642857142857,0.8255550900008447,0.43333333333333335
9,0.01,3.976945400238037,0.5333333333333333,0.4271929824561404,0.5565476190476191,0.8043005976378619,0.4203508771929825
10,0.01,2.744041681289673,0.5,0.3956043956043956,0.5357142857142857,0.791008890655117,0.3948717948717949
11,0.01,2.8363687992095947,0.5,0.3956043956043956,0.5357142857142857,0.7869438661007058,0.3948717948717949
12,0.01,2.6332743167877197,0.5,0.3956043956043956,0.5357142857142857,0.8054218885586809,0.3948717948717949
13,0.01,2.419569969177246,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8675889809439338,0.46019076305220885
14,0.01,2.604377031326294,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.8965790007948028,0.46019076305220885
15,0.01,2.7045633792877197,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.9058291409411693,0.46019076305220885
16,0.01,2.222661018371582,0.5833333333333334,0.48293172690763053,0.5877976190476191,0.9118232778315326,0.46019076305220885
17,0.01,2.724372625350952,0.5666666666666667,0.46293639406982307,0.5773809523809524,0.8874312706859877,0.44658058345289336
18,0.01,2.899709701538086,0.7,0.6714544158763225,0.7043650793650794,0.8976369978728469,0.6790599930559363
19,0.01,2.5101051330566406,0.7166666666666667,0.7026103026103027,0.7420634920634921,0.8993980065619217,0.7175698775698776
20,0.01,2.4236321449279785,0.7333333333333333,0.7154882154882154,0.7524801587301587,0.9059535688368235,0.7345959595959596
21,0.009999830837037664,2.8287599086761475,0.7333333333333333,0.7187675070028011,0.7470238095238094,0.912025398169266,0.7301960784313726
22,0.009999323359712722,2.360895872116089,0.7666666666666667,0.7554466230936819,0.7733134920634921,0.9143838887353039,0.7638071895424836
23,0.009998477602710573,2.2977120876312256,0.7166666666666667,0.6974441598501748,0.7857142857142857,0.9038408743597423,0.7046758379465146
24,0.009997293623837585,2.2211012840270996,0.75,0.7398190045248869,0.8065476190476191,0.9067403323004739,0.7415158371040725
