epoch,lr,loss,acc,macro_f1,bacc,macro_auc,weighted_f1
1,0.01,3.3096041679382324,0.3389830508474576,0.1687763713080169,0.3333333333333333,0.7678391869568341,0.17163698777086464
2,0.01,2.8810954093933105,0.3389830508474576,0.1687763713080169,0.3333333333333333,0.4831945516006237,0.17163698777086464
3,0.01,6.352069854736328,0.2711864406779661,0.15920398009950248,0.17204301075268816,0.43467458116414476,0.25094864659752086
4,0.01,4.598653793334961,0.3559322033898305,0.19444444444444445,0.22580645161290322,0.5211609126694515,0.306497175141243
5,0.01,4.436613082885742,0.5084745762711864,0.4073429951690821,0.5389784946236559,0.6194098648557852,0.4047948906902481
6,0.01,3.2818498611450195,0.5423728813559322,0.4299355984898956,0.5295698924731184,0.8112893379022411,0.43148635373028144
7,0.01,4.480020046234131,0.5423728813559322,0.4299355984898956,0.5295698924731184,0.8587578455699898,0.43148635373028144
8,0.01,3.8658087253570557,0.559322033898305,0.44722222222222224,0.5403225806451614,0.8681961039171666,0.44505649717514123
9,0.01,3.3986029624938965,0.576271186440678,0.4657467925441782,0.5510752688172044,0.8673155118126655,0.4589687726942629
10,0.01,2.6377358436584473,0.576271186440678,0.47346213635354206,0.581989247311828,0.9025644500976568,0.45906119084452174
11,0.01,2.3854644298553467,0.576271186440678,0.4657467925441782,0.5510752688172044,0.8660953215032912,0.4589687726942629
12,0.01,2.375849962234497,0.5932203389830508,0.48577235772357724,0.5618279569892474,0.8842724848417448,0.4733360892930963
13,0.01,2.423673152923584,0.5084745762711864,0.5156995230524642,0.6263440860215054,0.8923372905820725,0.4211823987496969
14,0.01,2.237067461013794,0.4406779661016949,0.42122719734660025,0.5833333333333334,0.8425463320150227,0.29277342103044096
15,0.01,2.1497182846069336,0.4745762711864407,0.46345811051693403,0.6048387096774194,0.8320891052864487,0.3576543097978791
16,0.01,2.099806547164917,0.711864406779661,0.7052910052910053,0.7389784946236558,0.8680829817452209,0.7110034974441755
17,0.01,2.1167619228363037,0.5084745762711864,0.41424657534246573,0.5698924731182796,0.8547667702316658,0.4034734153703274
18,0.01,2.097219467163086,0.576271186440678,0.47346213635354206,0.581989247311828,0.8987962016899399,0.45906119084452174
19,0.01,1.9979982376098633,0.6101694915254238,0.4995475113122172,0.5416666666666666,0.9237580888434778,0.48755272643607633
20,0.01,1.990290641784668,0.711864406779661,0.7040153758246325,0.7212365591397849,0.9177115842201231,0.6982617676035319
21,0.009999830837037664,1.921220302581787,0.7796610169491526,0.7782678537395519,0.8483870967741934,0.9060608693436017,0.7772050995587931
22,0.009999323359712722,1.881272554397583,0.7966101694915254,0.7922972806693737,0.8591397849462364,0.905287201729327,0.7957717839467937
23,0.009998477602710573,1.8100552558898926,0.8135593220338984,0.8113573808489063,0.8580645161290322,0.9347448408643855,0.8140778880221569
24,0.009997293623837585,1.7103204727172852,0.6949152542372882,0.7105499438832772,0.8064516129032259,0.9583495515658703,0.6700507903897734
25,0.00999577150401714,1.7493007183074951,0.7796610169491526,0.7836734693877552,0.8602150537634409,0.9461963610919968,0.7712210307851955
26,0.009993911347284109,1.6221487522125244,0.8135593220338984,0.8113573808489063,0.8580645161290322,0.9351840074325843,0.8140778880221569
27,0.009991713280777732,1.5585986375808716,0.8305084745762712,0.8251461988304093,0.8688172043010752,0.942523800256248,0.8317870948557836
28,0.009989177454732934,1.4979267120361328,0.847457627118644,0.8471177944862155,0.8913978494623654,0.9645544156454973,0.8472027526443227
29,0.00998630404247006,1.405512809753418,0.8983050847457628,0.8832773804310806,0.8927419354838709,0.9805649968837825,0.8991487077229849
30,0.009983093240383016,1.4560569524765015,0.847457627118644,0.8345346570560769,0.8663978494623655,0.9808944586933203,0.8474898980469173
31,0.009979545267925863,1.249402642250061,0.8983050847457628,0.8884954185295029,0.9295698924731183,0.9780819275601059,0.8994327274473335
32,0.009975660367597807,1.174330234527588,0.8983050847457628,0.8832773804310806,0.8927419354838709,0.9768921464367386,0.8991487077229849
33,0.009971438804926623,1.0640318393707275,0.864406779661017,0.8564397691715019,0.8771505376344085,0.970450380317553,0.8641829123695474
34,0.00996688086845051,1.0335406064987183,0.8813559322033898,0.8682419976537624,0.8701612903225806,0.9567636401127863,0.8818229073463371
35,0.009961986869698373,1.2693071365356445,0.8983050847457628,0.8832773804310806,0.8927419354838709,0.9665069170761771,0.8991487077229849
36,0.009956757143168527,1.020782232284546,0.8813559322033898,0.8698824162433335,0.8879032258064515,0.9821652730571137,0.8814492760620478
37,0.009951192046305833,1.2951534986495972,0.8813559322033898,0.8698824162433335,0.8879032258064515,0.9755935293885959,0.8814492760620478
38,0.009945291959477269,1.0873322486877441,0.8983050847457628,0.8828994435612083,0.8868279569892473,0.9724141186664905,0.8993281978389157
39,0.009939057285945933,1.241683006286621,0.9152542372881356,0.897177584484086,0.9034946236559139,0.9847895568483804,0.9165302755059799
40,0.009932488451843476,0.9261740446090698,0.9152542372881356,0.897177584484086,0.9034946236559139,0.9530999413826738,0.9165302755059799
41,0.009925585906140986,0.9211975932121277,0.9152542372881356,0.897177584484086,0.9034946236559139,0.9444761858424097,0.9165302755059799
42,0.009918350120618293,0.8734267950057983,0.9322033898305084,0.9199561403508771,0.9142473118279569,0.9530547040983475,0.9323706512042819
43,0.009910781589831726,0.8432629108428955,0.7796610169491526,0.7649056603773584,0.8483870967741934,0.9288945768547286,0.7884106172049887
44,0.009902880831080306,0.94832444190979,0.8305084745762712,0.8162337662337663,0.8806451612903224,0.9578093685778696,0.8352960598723311
45,0.009894648384370404,0.892539918422699,0.8983050847457628,0.8832773804310806,0.8927419354838709,0.9828750524196445,0.8991487077229849
46,0.009886084812378817,0.7611408233642578,0.9322033898305084,0.9146350725298094,0.8833333333333333,0.9842378473308265,0.9309444643967393
47,0.009877190700414313,0.9078204035758972,0.8813559322033898,0.8470427515268403,0.8569892473118279,0.9786601075500506,0.8828759622771032
48,0.00986796665637763,0.8121049404144287,0.8813559322033898,0.8519049688541213,0.8879032258064515,0.9784004420626813,0.8882917522963485
49,0.009858413310719925,0.7652165293693542,0.9152542372881356,0.8900565130073327,0.9094086021505375,0.9832045142291822,0.9181087814041411
50,0.009848531316399685,0.712566614151001,0.9152542372881356,0.9056652806652806,0.8975806451612903,0.9751945608681852,0.9151485253180169
51,0.009838321348838096,0.7341588735580444,0.9322033898305084,0.9146350725298094,0.8833333333333333,0.9786959614284093,0.9309444643967393
