fold,best_epoch,correct,acc,macro_f1,bacc,macro_auc,elapsed_seconds,fresh_run
4,214,55,0.9166666666666666,0.9023496828374876,0.8998015873015873,0.9104593705124365,60.62550349999219,True
7,151,53,0.8833333333333333,0.8758331099794514,0.8735119047619048,0.95789093636971,60.54194359993562,True
8,130,53,0.8983050847457628,0.856845238095238,0.851510496671787,0.9755493987242714,59.901704699965194,True
