epoch,lr,loss_original,loss_nca,loss_refine,loss_total,acc,macro_f1,bacc,probability_macro_auc,weighted_f1,test_gate_active_ratio,train_neighbor_agreement_weighted,train_neighbor_agreement_unweighted
1,0.01,3.294834613800049,0.9044370055198669,1.1952720880508423,4.670994281768799,0.35,0.1728395061728395,0.3333333333333333,0.7667239130977338,0.18148148148148147,0.0,0.6823464035987854,0.6814591288566589
2,0.01,2.918459415435791,0.7880999445915222,1.4100600481033325,4.486139297485352,0.35,0.1728395061728395,0.3333333333333333,0.6606394729920674,0.18148148148148147,0.0,0.7120532393455505,0.7114312052726746
3,0.01,6.511709690093994,0.9138932228088379,0.9853634834289551,7.67985200881958,0.5166666666666667,0.36205450733752614,0.38839285714285715,0.7750710210910684,0.4962683438155136,0.7166666984558105,0.715621829032898,0.7149163484573364
4,0.01,5.9251627922058105,0.9460874795913696,0.9332631826400757,7.047643661499023,0.5333333333333333,0.43558088002532447,0.48214285714285715,0.7389566342986154,0.44051915163026273,0.6666666865348816,0.7168993949890137,0.7167750597000122
5,0.01,4.96198844909668,1.1976875066757202,0.9770722985267639,6.178598403930664,0.6166666666666667,0.5288515406162465,0.6086309523809524,0.7329641772448375,0.48901960784313725,0.1666666716337204,0.6950523257255554,0.6949349641799927
6,0.01,5.108495712280273,1.1017725467681885,0.9610801339149475,6.28993034362793,0.6,0.5102821616451458,0.6354166666666666,0.7583504076723416,0.4733142037302726,0.11666667461395264,0.6906578540802002,0.6905204653739929
7,0.01,4.720381259918213,1.104453444480896,0.9694251418113708,5.910696983337402,0.6,0.5102821616451458,0.6354166666666666,0.8011512640050377,0.4733142037302726,0.0833333358168602,0.6811544895172119,0.6809943914413452
8,0.01,4.169960021972656,1.5294156074523926,0.9468740820884705,5.422717094421387,0.6,0.5102821616451458,0.6354166666666666,0.8077963975664447,0.4733142037302726,0.06666667014360428,0.678129255771637,0.6779739856719971
9,0.01,2.7925357818603516,1.2143155336380005,0.9180174469947815,3.953416347503662,0.6166666666666667,0.5326305220883535,0.6458333333333334,0.8055960516160988,0.4876255020080321,0.01666666753590107,0.6678761839866638,0.667750895023346
10,0.01,2.742398262023926,1.3313666582107544,0.881108283996582,3.889779806137085,0.65,0.6135802469135803,0.6775793650793651,0.8375455835656308,0.5622839506172839,0.550000011920929,0.6669246554374695,0.6668215394020081
11,0.01,2.666383981704712,1.3420231342315674,0.8225349187850952,3.757323741912842,0.7333333333333333,0.7687645687645688,0.7842261904761904,0.8494630642331115,0.7283139083139083,0.5833333730697632,0.6659625172615051,0.6658921837806702
12,0.01,2.520634651184082,1.5927835702896118,0.7584204077720642,3.597611904144287,0.6833333333333333,0.7033896959593554,0.7475198412698413,0.8354805844487448,0.676145907755815,0.5,0.6594277024269104,0.6593866348266602
13,0.01,2.6476683616638184,1.4195116758346558,0.7503207921981812,3.681891441345215,0.7,0.7268368479467259,0.8015873015873015,0.8677021899309635,0.6883551609322974,0.550000011920929,0.6605688333511353,0.6605483293533325
14,0.01,2.3650784492492676,1.508454442024231,0.7339142560958862,3.4006834030151367,0.7,0.7316468253968255,0.7316468253968255,0.8679130094224434,0.7,0.550000011920929,0.657767653465271,0.6577602028846741
15,0.01,2.501657724380493,1.2417454719543457,0.7304718494415283,3.4804787635803223,0.7,0.7237947810703229,0.720734126984127,0.8368569705539045,0.6947884416924666,0.5666667222976685,0.6559144854545593,0.6559014916419983
16,0.01,2.636091470718384,1.3880943059921265,0.6931928396224976,3.606903076171875,0.6666666666666666,0.670479302832244,0.6944444444444443,0.8429337794019398,0.6584150326797386,0.5,0.6489542722702026,0.6489312052726746
17,0.01,2.317809581756592,1.3893356323242188,0.706396222114563,3.3020730018615723,0.6666666666666666,0.6710239651416122,0.7261904761904763,0.84176821278826,0.6525054466230936,0.4333333671092987,0.6443050503730774,0.6442843675613403
18,0.01,2.317044496536255,1.4838210344314575,0.6674128770828247,3.281221389770508,0.6833333333333333,0.6826233347972478,0.7366071428571429,0.8520149759831362,0.6681232616015225,0.38333335518836975,0.6389645934104919,0.6389405131340027
19,0.01,2.3645412921905518,1.330324411392212,0.6839107871055603,3.314517021179199,0.7166666666666667,0.7270059752454118,0.7574404761904763,0.8683345284170757,0.6986262270593255,0.40000003576278687,0.6410437822341919,0.6410315632820129
