epoch,lr,loss,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,cap_saturation_fraction_MRI,cap_saturation_fraction_PET,cap_saturation_fraction_CSF,cap_saturation_fraction_Risk,cap_saturation_fraction_ROI,mean_residual_shared_ratio_MRI,mean_residual_shared_ratio_PET,mean_residual_shared_ratio_CSF,mean_residual_shared_ratio_Risk,mean_residual_shared_ratio_ROI
1,0.01,3.299787998199463,21,0.35,0.1728395061728395,0.3333333333333333,0.7820237447301127,0.18148148148148147,0.01666666753590107,0.0,0.0,0.0,1.0,0.11617886275053024,0.058418888598680496,0.060714807361364365,0.06540264934301376,0.15000000596046448
2,0.01,2.917870044708252,21,0.35,0.1728395061728395,0.3333333333333333,0.7203858608634551,0.18148148148148147,0.4166666865348816,0.0,0.0,0.0,1.0,0.14657184481620789,0.07227377593517303,0.079435333609581,0.07873399555683136,0.15000000596046448
3,0.01,6.194699764251709,19,0.31666666666666665,0.18693244739756365,0.2033730158730159,0.5428583307415855,0.2905647840531561,0.31666669249534607,0.0,0.0,0.0,1.0,0.14310817420482635,0.06706570088863373,0.07407435774803162,0.07382499426603317,0.15000000596046448
4,0.01,3.868969678878784,32,0.5333333333333333,0.40243902439024387,0.4449404761904762,0.5656308554303838,0.4355691056910569,0.0,0.0,0.0,0.0,1.0,0.09131988137960434,0.04016352444887161,0.04399589076638222,0.04467040300369263,0.15000000596046448
5,0.01,5.592387676239014,37,0.6166666666666667,0.5326305220883535,0.6458333333333334,0.5890832939771619,0.4876255020080321,0.0,0.0,0.0,0.0,1.0,0.09352123737335205,0.03906163573265076,0.04265101999044418,0.043768350034952164,0.15000000596046448
6,0.01,4.8325419425964355,35,0.5833333333333334,0.48971193415637854,0.625,0.7638935684336627,0.45946502057613164,0.0,0.0,0.0,0.0,1.0,0.09043101966381073,0.036535993218421936,0.03987554460763931,0.04110564664006233,0.15000000596046448
7,0.01,3.833904266357422,35,0.5833333333333334,0.48971193415637854,0.625,0.7974224467443807,0.45946502057613164,0.0,0.0,0.0,0.0,1.0,0.10303162783384323,0.03969886153936386,0.04287932813167572,0.04487356171011925,0.15000000596046448
8,0.01,5.457771301269531,36,0.6,0.5102821616451458,0.6354166666666666,0.7844657471721151,0.4733142037302726,0.0,0.0,0.0,0.0,1.0,0.09811349958181381,0.03718577325344086,0.04016972333192825,0.04220076650381088,0.15000000596046448
9,0.01,4.239834308624268,36,0.6,0.5047619047619047,0.5982142857142857,0.800169279532487,0.4742857142857143,0.0,0.0,0.0,0.0,1.0,0.06989989429712296,0.026173194870352745,0.029130373150110245,0.029958436265587807,0.15000000596046448
10,0.01,2.5887417793273926,36,0.6,0.4967203339296362,0.5610119047619048,0.8082983687346895,0.4742397137745975,0.0,0.0,0.0,0.0,1.0,0.05443612113595009,0.01954573206603527,0.021947059780359268,0.022446174174547195,0.15000000596046448
11,0.01,3.214953660964966,36,0.6,0.4967203339296362,0.5610119047619048,0.8066276512620852,0.4742397137745975,0.0,0.0,0.0,0.0,1.0,0.05733315274119377,0.01881572976708412,0.021024120971560478,0.021680157631635666,0.15000000596046448
12,0.01,2.73368239402771,36,0.6,0.4967203339296362,0.5610119047619048,0.8134290096259437,0.4742397137745975,0.0,0.0,0.0,0.0,1.0,0.0578417144715786,0.017271902412176132,0.018819326534867287,0.019717438146471977,0.15000000596046448
13,0.01,2.8593320846557617,34,0.5666666666666667,0.5987789987789988,0.6547619047619048,0.8215435802405143,0.5190720390720391,0.0,0.0,0.0,0.0,0.9333333969116211,0.05188986659049988,0.015438203699886799,0.016134602949023247,0.017215415835380554,0.1498153954744339
14,0.01,2.774576425552368,33,0.55,0.5823526067428507,0.6443452380952381,0.8249967243186583,0.49458468360907387,0.0,0.0,0.0,0.0,0.20000001788139343,0.04583873227238655,0.013674061745405197,0.0133329126983881,0.014762320555746555,0.14117547869682312
15,0.01,2.644944190979004,35,0.5833333333333334,0.6146951401311866,0.6651785714285715,0.8299234450472658,0.5426869036970782,0.0,0.0,0.0,0.0,0.0,0.038943126797676086,0.011431035585701466,0.010968830436468124,0.012474686838686466,0.12271738052368164
16,0.01,2.4505462646484375,38,0.6333333333333333,0.6661029278050554,0.658234126984127,0.8156816104929313,0.6360320058192399,0.0,0.0,0.0,0.0,0.0,0.03241747245192528,0.009407542645931244,0.009162483736872673,0.010582152754068375,0.10799279808998108
17,0.01,2.958493947982788,35,0.5833333333333334,0.4597701149425288,0.5133928571428571,0.7915787152225832,0.4578544061302682,0.0,0.0,0.0,0.0,0.0,0.027700325474143028,0.007938520051538944,0.007756591774523258,0.009108860045671463,0.09616784751415253
18,0.01,2.8210582733154297,36,0.6,0.4967203339296362,0.5610119047619048,0.8217031047219727,0.4742397137745975,0.0,0.0,0.0,0.0,0.0,0.02455904521048069,0.006983555853366852,0.006743799429386854,0.008133038878440857,0.08796140551567078
19,0.01,2.7208807468414307,36,0.6,0.5047619047619047,0.5982142857142857,0.8237381067569748,0.4742857142857143,0.0,0.0,0.0,0.0,0.0,0.02216401696205139,0.006271975580602884,0.005941048264503479,0.007376973517239094,0.08177881687879562
20,0.01,2.2203783988952637,34,0.5666666666666667,0.38518518518518513,0.42857142857142855,0.8000684893373573,0.4311111111111111,0.0,0.0,0.0,0.0,0.0,0.019746093079447746,0.0056105246767401695,0.005205153487622738,0.006604075897485018,0.07551020383834839
21,0.009999830837037664,2.6545982360839844,37,0.6166666666666667,0.46222822323777873,0.45535714285714285,0.8103365504603713,0.5595364215482621,0.0,0.0,0.0,0.0,0.0,0.017376143485307693,0.004943357314914465,0.004517732188105583,0.005830235779285431,0.06884870678186417
