metric,mean,sample_std,pooled_oof
acc,0.9163276836158193,0.036301553915798125,0.9163879598662207
macro_f1,0.9015539214068425,0.045284219100877016,0.9011052886745415
bacc,0.8981797235023041,0.04240178981819319,0.8974226743610773
probability_macro_auc,0.9603428372099978,0.01983761853093938,0.9482169306798984
weighted_f1,0.9160463949380168,0.03600637021446361,0.916187159131033
