epoch,masked_modality_index,masked_modality_name,lr,loss,loss_shared,loss_private
1,0,MRI,9.999383162408304e-05,1.4992156028747559,0.9553639888763428,1.0877031087875366
2,1,PET,9.997532801828658e-05,1.4646944999694824,0.9373841285705566,1.0546208620071411
3,2,CSF,9.994449374809851e-05,1.4554256200790405,0.9215251803398132,1.0678008794784546
4,3,Risk,9.990133642141359e-05,1.4163070917129517,0.9047423601150513,1.0231294631958008
5,4,COG,9.98458666866564e-05,1.3900878429412842,0.8852978944778442,1.0095800161361694
6,5,ROI,9.9778098230154e-05,1.4007238149642944,0.8880452513694763,1.0253571271896362
7,0,MRI,9.9698047772759e-05,1.3443992137908936,0.839202880859375,1.0103925466537476
8,1,PET,9.96057350657239e-05,1.3206651210784912,0.8307647705078125,0.979800820350647
9,2,CSF,9.950118288582787e-05,1.3097139596939087,0.8116776943206787,0.9960725903511047
10,3,Risk,9.938441702975689e-05,1.2751481533050537,0.800033450126648,0.950229287147522
11,4,COG,9.925546630773869e-05,1.253687858581543,0.7868143916130066,0.9337469339370728
12,5,ROI,9.911436253643444e-05,1.2629433870315552,0.786949872970581,0.951987087726593
13,0,MRI,9.896114053108829e-05,1.2135334014892578,0.7454822063446045,0.9361023306846619
14,1,PET,9.879583809693738e-05,1.1912612915039062,0.7379137873649597,0.9066948890686035
15,2,CSF,9.861849601988384e-05,1.187784194946289,0.7229812145233154,0.9296059012413025
16,3,Risk,9.842915805643157e-05,1.1531190872192383,0.7125986814498901,0.8810406923294067
17,4,COG,9.822787092288992e-05,1.131502389907837,0.7010774612426758,0.8608497977256775
18,5,ROI,9.801468428384718e-05,1.1398341655731201,0.6999027132987976,0.8798629641532898
19,0,MRI,9.778965073991652e-05,1.0993174314498901,0.6669792532920837,0.864676296710968
20,1,PET,9.75528258147577e-05,1.076646327972412,0.6585443019866943,0.8362040519714355
21,2,CSF,9.730426794137729e-05,1.075249433517456,0.6425668001174927,0.8653653264045715
22,3,Risk,9.70440384477113e-05,1.0395318269729614,0.6335657835006714,0.8119320869445801
23,4,COG,9.67722015414934e-05,1.0203629732131958,0.626181423664093,0.7883630990982056
24,5,ROI,9.64888242944126e-05,1.0321414470672607,0.6278126835823059,0.8086575865745544
25,0,MRI,9.619397662556436e-05,0.9988492727279663,0.6000472903251648,0.7976040244102478
26,1,PET,9.588773128419907e-05,0.9731791019439697,0.5891153812408447,0.7681275010108948
27,2,CSF,9.557016383177228e-05,0.976216197013855,0.5751090049743652,0.8022144436836243
28,3,Risk,9.524135262330099e-05,0.9408196806907654,0.5667222738265991,0.7481948137283325
29,4,COG,9.49013787880308e-05,0.9263066053390503,0.5653913021087646,0.7218305468559265
30,5,ROI,9.455032620941841e-05,0.9386134147644043,0.5678736567497253,0.7414795756340027
31,0,MRI,9.418828150443471e-05,0.904578685760498,0.537568986415863,0.7340194582939148
32,1,PET,9.381533400219321e-05,0.8817182779312134,0.5291060209274292,0.7052245140075684
33,2,CSF,9.343157572190959e-05,0.8815808296203613,0.5121039152145386,0.7389537692070007
34,3,Risk,9.303710135019721e-05,0.8526761531829834,0.5082216262817383,0.6889089941978455
35,4,COG,9.263200821770464e-05,0.8386003971099854,0.5094315409660339,0.6583377718925476
36,5,ROI,9.221639627510079e-05,0.8522087335586548,0.5144075155258179,0.675602376461029
37,0,MRI,9.179036806841354e-05,0.8166512250900269,0.48096323013305664,0.6713760495185852
38,1,PET,9.135402871372811e-05,0.79667067527771,0.47442442178726196,0.644492506980896
39,2,CSF,9.09074858712512e-05,0.8041380643844604,0.4637898802757263,0.6806963682174683
40,3,Risk,9.04508497187474e-05,0.7753646969795227,0.45951685309410095,0.6316956877708435
41,4,COG,8.998423292435457e-05,0.7625908255577087,0.4638265371322632,0.5975285768508911
42,5,ROI,8.950775061878454e-05,0.7742037177085876,0.46827924251556396,0.6118489503860474
43,0,MRI,8.902152036691651e-05,0.7423549890518188,0.43530428409576416,0.6141014099121094
