metric,mean,sample_std,minimum,maximum,pooled_oof
acc,0.9264689265536724,0.025059131519114836,0.9,0.9666666666666667,0.9264214046822743
macro_f1,0.9166178501562806,0.0386033071608691,0.8548784548784548,0.9720394736842105,0.9173925746134484
bacc,0.9154310675883256,0.043600979947979596,0.8095238095238094,0.9666666666666667,0.9158707558176261
probability_macro_auc,0.9630983688357941,0.024847764245003685,0.9087101206794603,0.9923633428940032,0.9554113207925274
weighted_f1,0.9263591470357149,0.0251001370173757,0.8955444555444555,0.9663274394981712,0.9264253620482513
