epoch,lr,c1_loss,boundary_loss,weighted_boundary_loss,total_loss,acc,macro_f1,bacc,macro_auc,weighted_f1,loss_AD_SMCI_MRI,loss_AD_SMCI_PET,loss_AD_SMCI_CSF,loss_AD_SMCI_Risk,loss_AD_SMCI_COG,loss_AD_SMCI_ROI,loss_CN_SMCI_MRI,loss_CN_SMCI_PET,loss_CN_SMCI_CSF,loss_CN_SMCI_Risk,loss_CN_SMCI_COG,loss_CN_SMCI_ROI
1,0.01,3.2923636436462402,0.7237721681594849,0.18094304203987122,3.473306655883789,0.3559322033898305,0.17500000000000002,0.3333333333333333,0.8571003604959463,0.186864406779661,0.6925654411315918,0.8112819194793701,0.6116842031478882,0.796126663684845,0.5886076092720032,0.6424480676651001,0.7278867363929749,0.734553337097168,0.7391477823257446,1.0000598430633545,0.6349379420280457,0.7059664130210876
2,0.01,2.971139669418335,0.6908239722251892,0.1727059930562973,3.143845558166504,0.3559322033898305,0.17500000000000002,0.3333333333333333,0.5139342359206536,0.186864406779661,0.6956849098205566,0.9155405759811401,0.5381086468696594,0.7415154576301575,0.38526755571365356,0.5876362323760986,0.8038751482963562,0.813941240310669,0.7548232078552246,0.8571354150772095,0.4987447261810303,0.6976141333580017
3,0.01,6.177809715270996,0.5625778436660767,0.14064446091651917,6.318454265594482,0.3898305084745763,0.20175438596491227,0.24731182795698925,0.47365363367061164,0.31801962533452277,0.48443201184272766,0.5308910608291626,0.5253487825393677,0.6084412932395935,0.2898810803890228,0.4773293733596802,0.6311845779418945,0.7533899545669556,0.6636916399002075,0.7194139957427979,0.4292261302471161,0.637704610824585
4,0.01,4.7413105964660645,0.569783627986908,0.142445906996727,4.883756637573242,0.4406779661016949,0.21940928270042193,0.2795698924731183,0.525013940973194,0.34584853035829216,0.5038110017776489,0.4947035014629364,0.5589156150817871,0.599132776260376,0.28012630343437195,0.4188694357872009,0.7100294232368469,0.8502157926559448,0.7032279968261719,0.6468849778175354,0.43984299898147583,0.631643533706665
5,0.01,4.717591285705566,0.5819112062454224,0.1454778015613556,4.8630690574646,0.5254237288135594,0.22962962962962963,0.3333333333333333,0.6223504377154632,0.36195856873822974,0.5380055904388428,0.593877911567688,0.5734686851501465,0.5995581150054932,0.2991443872451782,0.387370765209198,0.7456586360931396,0.7676280736923218,0.756698727607727,0.644018292427063,0.4446854591369629,0.6328192353248596
6,0.01,5.6381425857543945,0.559441089630127,0.13986027240753174,5.778002738952637,0.5423728813559322,0.4416315049226441,0.565284178187404,0.7662979823421249,0.4249445755560323,0.5230429172515869,0.5860180854797363,0.550925076007843,0.5892279148101807,0.28478699922561646,0.3763679265975952,0.6623991131782532,0.6853342056274414,0.7389393448829651,0.6586894989013672,0.43314239382743835,0.6244199872016907
7,0.01,4.0055060386657715,0.5480373501777649,0.13700933754444122,4.142515182495117,0.559322033898305,0.4602941176470588,0.576036866359447,0.7676475100074421,0.4384097706879362,0.5315119028091431,0.5504600405693054,0.5282649993896484,0.5856871604919434,0.2566327452659607,0.3828311562538147,0.6690999865531921,0.664164662361145,0.6980147361755371,0.6512966156005859,0.44037264585494995,0.6181113719940186
8,0.01,2.7581686973571777,0.5462732315063477,0.13656830787658691,2.8947370052337646,0.576271186440678,0.4710269650028686,0.5499231950844854,0.7611869831734008,0.45190933224423113,0.5371246337890625,0.5350829362869263,0.5216500163078308,0.5872365236282349,0.23551377654075623,0.3860609531402588,0.7190639972686768,0.673176109790802,0.6704907417297363,0.627017617225647,0.4435408115386963,0.6193202137947083
9,0.01,2.6719400882720947,0.5355932116508484,0.1338983029127121,2.8058383464813232,0.576271186440678,0.48045267489711935,0.58678955453149,0.773104183121161,0.45223896212596776,0.5243923664093018,0.5206666588783264,0.5184375047683716,0.5839360952377319,0.24296772480010986,0.36809617280960083,0.6830142736434937,0.6482762098312378,0.6717829704284668,0.6229509711265564,0.4235069751739502,0.6190903782844543
10,0.01,2.420603036880493,0.5234586596488953,0.13086466491222382,2.5514676570892334,0.5932203389830508,0.5024390243902439,0.597542242703533,0.7790671882352697,0.4665564282761472,0.5169682502746582,0.4881972372531891,0.5023519992828369,0.5810190439224243,0.23221606016159058,0.35978907346725464,0.6473488807678223,0.6370701193809509,0.6675678491592407,0.6305191516876221,0.40451759099960327,0.6139386892318726
11,0.01,2.906592845916748,0.5196554660797119,0.12991386651992798,3.0365066528320312,0.576271186440678,0.4710269650028686,0.5499231950844854,0.7876116055233203,0.45190933224423113,0.4999437928199768,0.4679321050643921,0.5018998980522156,0.5716403722763062,0.21555960178375244,0.36169981956481934,0.677328884601593,0.6561115980148315,0.6473088264465332,0.6126263737678528,0.4091881811618805,0.6146255731582642
12,0.01,2.412196636199951,0.5301363468170166,0.13253408670425415,2.5447306632995605,0.4745762711864407,0.46137849079025556,0.6298003072196621,0.7998148804600418,0.3354330946554277,0.495650053024292,0.4780656099319458,0.5294380187988281,0.5655589699745178,0.22491534054279327,0.36302581429481506,0.720106840133667,0.6743754148483276,0.6565296053886414,0.6127612590789795,0.42184770107269287,0.6193615198135376
13,0.01,2.918193817138672,0.5142728090286255,0.12856820225715637,3.046761989593506,0.4745762711864407,0.46137849079025556,0.6298003072196621,0.8522049540725263,0.3354330946554277,0.48607510328292847,0.45860835909843445,0.5169394016265869,0.5569562315940857,0.21509239077568054,0.34823745489120483,0.6599755883216858,0.6470309495925903,0.6618728637695312,0.6141718626022339,0.39530399441719055,0.6110091209411621
14,0.01,2.4514949321746826,0.5094674825668335,0.12736687064170837,2.578861713409424,0.4576271186440678,0.4338235294117647,0.5821812596006145,0.8421866286891754,0.3249002991026919,0.47617393732070923,0.447113573551178,0.5177594423294067,0.5509183406829834,0.20135775208473206,0.34523820877075195,0.6369767189025879,0.6475787162780762,0.6629637479782104,0.6130424737930298,0.3986155390739441,0.6158715486526489
15,0.01,2.372884750366211,0.5114847421646118,0.12787118554115295,2.500756025314331,0.4745762711864407,0.45348546841084153,0.5560675883256528,0.8286581839213417,0.3761221378221125,0.4621601998806,0.44297096133232117,0.5323519110679626,0.5460859537124634,0.18964728713035583,0.3525123596191406,0.6575222015380859,0.6622153520584106,0.6611104011535645,0.6065423488616943,0.40705594420433044,0.6176415085792542
16,0.01,2.5146467685699463,0.5027428865432739,0.12568572163581848,2.6403324604034424,0.5423728813559322,0.5435363247863247,0.6359447004608295,0.8576611089344536,0.4743453933072577,0.4383108615875244,0.43581122159957886,0.520469069480896,0.5399336814880371,0.18821442127227783,0.34584009647369385,0.6614704132080078,0.6468620300292969,0.6618744134902954,0.6041070222854614,0.38330525159835815,0.6067157983779907
17,0.01,2.358494758605957,0.49596238136291504,0.12399059534072876,2.482485294342041,0.559322033898305,0.44986449864498645,0.5391705069124424,0.8607664736696995,0.4379220063387074,0.4154367446899414,0.42767533659935,0.5117982625961304,0.5364804267883301,0.18965554237365723,0.33920666575431824,0.6448060870170593,0.6335417032241821,0.6634620428085327,0.6074167490005493,0.3680642545223236,0.614004373550415
18,0.01,2.3459949493408203,0.49111875891685486,0.12277968972921371,2.4687745571136475,0.559322033898305,0.4602941176470588,0.576036866359447,0.8703541318142337,0.4384097706879362,0.3968518376350403,0.42018699645996094,0.5129703283309937,0.532174825668335,0.18021050095558167,0.33954334259033203,0.6243059039115906,0.6346771717071533,0.6582403182983398,0.6040746569633484,0.3748655915260315,0.6153234839439392
19,0.01,2.2897753715515137,0.489205926656723,0.12230148166418076,2.412076950073242,0.576271186440678,0.48045267489711935,0.58678955453149,0.8746333368574456,0.45223896212596776,0.38489478826522827,0.4126690924167633,0.5158068537712097,0.5305449962615967,0.16915197670459747,0.342341810464859,0.6234780550003052,0.642444372177124,0.6533149480819702,0.5999774932861328,0.38754990696907043,0.6082969903945923
20,0.01,2.2667956352233887,0.4837094247341156,0.1209273561835289,2.387722969055176,0.576271186440678,0.4710269650028686,0.5499231950844854,0.8829124092281987,0.45190933224423113,0.3720209300518036,0.3968990743160248,0.5088245868682861,0.5289742350578308,0.16220712661743164,0.339491069316864,0.6313768029212952,0.63593590259552,0.6524783968925476,0.6003594398498535,0.37076854705810547,0.6051769256591797
21,0.009999830837037664,2.2807576656341553,0.4771822392940521,0.11929555982351303,2.4000532627105713,0.7627118644067796,0.7638176638176638,0.7552483358934973,0.9000577332495839,0.7630160799652327,0.3498625159263611,0.37889134883880615,0.5072917938232422,0.526710033416748,0.15920916199684143,0.33666881918907166,0.6264126300811768,0.6213202476501465,0.6521339416503906,0.6022322177886963,0.35426414012908936,0.6111900806427002
22,0.009999323359712722,2.267899513244629,0.47419124841690063,0.11854781210422516,2.3864474296569824,0.7457627118644068,0.738526857283794,0.7598566308243727,0.8947824482629235,0.7406271750785379,0.32790863513946533,0.36766040325164795,0.5160849690437317,0.5262709259986877,0.15522994101047516,0.3404633402824402,0.6169143915176392,0.6183859705924988,0.6506835222244263,0.6010336875915527,0.35948628187179565,0.6101726293563843
23,0.009998477602710573,2.164816379547119,0.47162050008773804,0.11790512502193451,2.282721519470215,0.7796610169491526,0.7734528971225858,0.8028673835125447,0.880439829930492,0.7800702150544818,0.31018149852752686,0.36390912532806396,0.5207160711288452,0.525800347328186,0.14937666058540344,0.34369489550590515,0.6087716221809387,0.6212006211280823,0.6495318412780762,0.5986756682395935,0.3637988567352295,0.6037881374359131
24,0.009997293623837585,2.193674325942993,0.46389827132225037,0.11597456783056259,2.3096489906311035,0.711864406779661,0.7073193343531265,0.7803379416282642,0.8957733456884561,0.6959617601097416,0.28991377353668213,0.3529352843761444,0.5101754069328308,0.5247700214385986,0.14558002352714539,0.33679449558258057,0.6105026006698608,0.6046531200408936,0.6498935222625732,0.59881591796875,0.33527466654777527,0.6074703335762024
25,0.00999577150401714,2.1248440742492676,0.45922669768333435,0.11480667442083359,2.2396507263183594,0.7796610169491526,0.7649087257149967,0.7762416794674859,0.9015000279855968,0.7781109824687936,0.2638929486274719,0.326160192489624,0.5195115804672241,0.5218459367752075,0.14898797869682312,0.34130609035491943,0.6001213192939758,0.5989832282066345,0.6499284505844116,0.5974050760269165,0.33558183908462524,0.6069957613945007
26,0.009993911347284109,2.1072731018066406,0.4643882215023041,0.11609705537557602,2.22337007522583,0.711864406779661,0.6799501867995019,0.6502816180235534,0.9021670180413813,0.6978773103686037,0.4134505093097687,0.30368879437446594,0.5112007260322571,0.5200226306915283,0.13732588291168213,0.33704182505607605,0.5834966897964478,0.5922108888626099,0.6494276523590088,0.5941373109817505,0.3239279091358185,0.6067280173301697
27,0.009991713280777732,2.11248779296875,0.4890795350074768,0.1222698837518692,2.234757661819458,0.6779661016949152,0.6882066276803119,0.7588325652841782,0.905555348254839,0.6548270393497869,0.5509982109069824,0.30799564719200134,0.5111029148101807,0.5146795511245728,0.13349087536334991,0.3401525616645813,0.7518156170845032,0.5889565348625183,0.6497166156768799,0.5948255658149719,0.3085489273071289,0.6166713833808899
28,0.009989177454732934,2.0235178470611572,0.4569631516933441,0.11424078792333603,2.137758731842041,0.711864406779661,0.7093914488872471,0.7752176139272913,0.9025043999577106,0.700676620061323,0.3241925835609436,0.3460652232170105,0.5138551592826843,0.5139585733413696,0.13087573647499084,0.338545024394989,0.5780836343765259,0.5956845283508301,0.6485705375671387,0.5897186398506165,0.3035949170589447,0.6004132032394409
29,0.00998630404247006,2.0516269207000732,0.5103007555007935,0.12757518887519836,2.179202079772949,0.7966101694915254,0.7839912280701755,0.8033794162826421,0.9091675632422661,0.7968889384478145,0.5732721090316772,0.709589421749115,0.5074629783630371,0.5129929780960083,0.1322314739227295,0.33858340978622437,0.6285695433616638,0.584143340587616,0.6482899188995361,0.5912595391273499,0.28381454944610596,0.6133996248245239
