epoch,lr,loss,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,cap_saturation_fraction_MRI,cap_saturation_fraction_PET,cap_saturation_fraction_CSF,cap_saturation_fraction_Risk,cap_saturation_fraction_ROI,mean_residual_shared_ratio_MRI,mean_residual_shared_ratio_PET,mean_residual_shared_ratio_CSF,mean_residual_shared_ratio_Risk,mean_residual_shared_ratio_ROI
1,0.01,3.294834613800049,21,0.35,0.1728395061728395,0.3333333333333333,0.7655378884742093,0.18148148148148147,0.0,0.0,0.0,0.0,1.0,0.11362313479185104,0.05761312320828438,0.059564702212810516,0.06491062045097351,0.15000000596046448
2,0.01,2.9287281036376953,21,0.35,0.1728395061728395,0.3333333333333333,0.6587870931915744,0.18148148148148147,0.4166666865348816,0.0,0.0,0.0,1.0,0.145162895321846,0.0717947781085968,0.07613424211740494,0.07715297490358353,0.15000000596046448
3,0.01,6.962615966796875,21,0.35,0.18918918918918917,0.21875,0.5680900162032237,0.30270270270270266,0.45000001788139343,0.0,0.0,0.0,1.0,0.14331896603107452,0.06930255889892578,0.0744096115231514,0.07415220141410828,0.15000000596046448
4,0.01,5.802088737487793,27,0.45,0.225,0.28125,0.6021486429800108,0.36000000000000004,0.0,0.0,0.0,0.0,1.0,0.07766261696815491,0.035078153014183044,0.037187691777944565,0.03771663084626198,0.15000000596046448
5,0.01,4.696820259094238,33,0.55,0.3177655677655678,0.38095238095238093,0.6569609908348116,0.40425824175824177,0.0,0.0,0.0,0.0,1.0,0.09806244820356369,0.043012723326683044,0.04561090096831322,0.04652787372469902,0.15000000596046448
6,0.01,3.123936891555786,37,0.6166666666666667,0.5288515406162465,0.6086309523809524,0.6810670657958394,0.48901960784313725,0.0,0.0,0.0,0.0,1.0,0.0958104357123375,0.0397031232714653,0.04382781311869621,0.04355878010392189,0.15000000596046448
7,0.01,4.220318794250488,37,0.6166666666666667,0.5326305220883535,0.6458333333333334,0.8273310372366977,0.4876255020080321,0.0,0.0,0.0,0.0,1.0,0.0698222666978836,0.028231684118509293,0.030789727345108986,0.031162885949015617,0.15000000596046448
8,0.01,3.692103862762451,36,0.6,0.5047619047619047,0.5982142857142857,0.816831698612359,0.4742857142857143,0.0,0.0,0.0,0.0,1.0,0.054668180644512177,0.02171427197754383,0.023542704060673714,0.024190235882997513,0.15000000596046448
9,0.01,2.9027910232543945,38,0.6333333333333333,0.5571428571428572,0.65625,0.8181099342655945,0.5025396825396825,0.0,0.0,0.0,0.0,1.0,0.048759765923023224,0.01895965076982975,0.02074468694627285,0.021294185891747475,0.15000000596046448
10,0.01,2.696613311767578,38,0.6333333333333333,0.5571428571428572,0.65625,0.8141653179978653,0.5025396825396825,0.0,0.0,0.0,0.0,1.0,0.04462289810180664,0.016933899372816086,0.01886214315891266,0.01924518123269081,0.15000000596046448
11,0.01,2.48132586479187,38,0.6333333333333333,0.5571428571428572,0.65625,0.8235708430283902,0.5025396825396825,0.0,0.0,0.0,0.0,0.9333333969116211,0.039857521653175354,0.014706207439303398,0.01677754335105419,0.017007647082209587,0.14949683845043182
